Series Ticker,H2H Markets,H2H Accuracy,Multi Markets,Multi Accuracy,Single Markets,Single Accuracy,Total Markets,Overall Accuracy
KXNFLRSHYDS,0,0.0,126,54.761904761904766,0,0.0,126,54.761904761904766
KXNFLPASSYDS,0,0.0,114,67.54385964912281,0,0.0,114,67.54385964912281
KXTRUMPMENTIONB,0,0.0,108,74.07407407407408,0,0.0,108,74.07407407407408
KXCBAGAME,8,100.0,100,86.0,0,0.0,108,87.03703703703704
KXCONGRESSMENTION,0,0.0,106,87.73584905660378,1,0.0,107,86.91588785046729
KXNCAAFTOTAL,0,0.0,105,96.19047619047619,0,0.0,105,96.19047619047619
KXNFLTEAMTOTAL,2,0.0,99,77.77777777777779,0,0.0,101,76.23762376237624
KXNCAAMENTION,0,0.0,101,79.20792079207921,0,0.0,101,79.20792079207921
KXLOLGAME,2,100.0,98,88.77551020408163,0,0.0,100,89.0
KXHOCHULMENTION,0,0.0,90,82.22222222222221,0,0.0,90,82.22222222222221
KXMRBEASTMENTION,2,100.0,87,73.5632183908046,1,0.0,90,73.33333333333333
KXNFLREC,0,0.0,89,79.7752808988764,0,0.0,89,79.7752808988764
KXWNBAGAME,24,95.83333333333334,53,79.24528301886792,12,100.0,89,86.51685393258427
KXEUROLEAGUEGAME,4,100.0,81,93.82716049382715,4,100.0,89,94.3820224719101
KXWTAMATCH,0,0.0,88,96.5909090909091,0,0.0,88,96.5909090909091
KXMAMDANIMENTION,0,0.0,86,81.3953488372093,1,0.0,87,80.45977011494253
KXNCAABMENTION,0,0.0,86,66.27906976744185,0,0.0,86,66.27906976744185
KXNHLTOTAL,0,0.0,85,90.58823529411765,0,0.0,85,90.58823529411765
KXEUROCUPGAME,4,100.0,79,83.54430379746836,2,100.0,85,84.70588235294117
KXNBATOTAL,0,0.0,84,95.23809523809523,0,0.0,84,95.23809523809523
KXCSGOGAME,10,90.0,70,88.57142857142857,3,100.0,83,89.1566265060241
KXNBAMENTION,2,100.0,81,90.12345679012346,0,0.0,83,90.36144578313254
KXNFLRECYDS,2,50.0,77,72.72727272727273,1,0.0,80,71.25
KXEPLTOTAL,4,50.0,72,81.94444444444444,3,100.0,79,81.0126582278481
KXNFLTOTAL,0,0.0,78,94.87179487179486,0,0.0,78,94.87179487179486
KXATPCHALLENGERMATCH,0,0.0,76,94.73684210526315,0,0.0,76,94.73684210526315
KXVANCEMENTION,0,0.0,75,73.33333333333333,1,100.0,76,73.68421052631578
KXNHLGAME,2,100.0,72,95.83333333333334,1,100.0,75,96.0
KXBRASILEIROGAME,10,90.0,60,78.33333333333333,3,100.0,73,80.82191780821918
KXWTACHALLENGERMATCH,4,100.0,67,92.53731343283582,1,100.0,72,93.05555555555556
KXNFLMENTION,0,0.0,71,94.36619718309859,0,0.0,71,94.36619718309859
KXATPMATCH,0,0.0,70,97.14285714285714,0,0.0,70,97.14285714285714
KXALEAGUEGAME,12,83.33333333333334,39,71.7948717948718,16,93.75,67,79.1044776119403
KXEREDIVISIEGAME,6,66.66666666666666,59,83.05084745762711,2,100.0,67,82.08955223880598
KXJBLEAGUEGAME,0,0.0,66,78.78787878787878,0,0.0,66,78.78787878787878
KXTRUMPMENTION,0,0.0,65,75.38461538461539,1,0.0,66,74.24242424242425
KXVALORANTGAME,8,87.5,56,82.14285714285714,1,100.0,65,83.07692307692308
KXCS2GAME,4,100.0,61,90.1639344262295,0,0.0,65,90.76923076923077
KXMLBGAME,2,100.0,56,92.85714285714286,7,100.0,65,93.84615384615384
KXEFLCHAMPIONSHIPGAME,2,50.0,56,89.28571428571429,6,100.0,64,89.0625
KXNBLGAME,22,86.36363636363636,15,93.33333333333333,26,84.61538461538461,63,87.3015873015873
KXUECLGAME,0,0.0,63,84.12698412698413,0,0.0,63,84.12698412698413
KXMLSGAME,16,87.5,36,83.33333333333334,11,100.0,63,87.3015873015873
KXNCAAFSPREAD,2,100.0,60,86.66666666666667,1,100.0,63,87.3015873015873
KXSURVIVORMENTION,6,100.0,56,51.78571428571429,0,0.0,62,56.451612903225815
KXBELGIANPLGAME,4,75.0,53,83.01886792452831,4,100.0,61,83.60655737704919
KXSERIEAGAME,12,83.33333333333334,43,86.04651162790698,6,100.0,61,86.88524590163934
KXARGPREMDIVGAME,0,0.0,58,86.20689655172413,2,100.0,60,86.66666666666667
KXETH15M,2,100.0,58,89.65517241379311,0,0.0,60,90.0
KXUCLTOTAL,0,0.0,58,89.65517241379311,1,100.0,59,89.83050847457628
KXSAUDIPLGAME,8,100.0,49,91.83673469387756,1,100.0,58,93.10344827586206
KXBUNDESLIGAGAME,14,71.42857142857143,38,89.47368421052632,6,100.0,58,86.20689655172413
KXDOTA2GAME,2,100.0,51,88.23529411764706,5,80.0,58,87.93103448275862
KXFIFAGAME,0,0.0,56,94.64285714285714,2,100.0,58,94.82758620689656
KXUELGAME,0,0.0,58,91.37931034482759,0,0.0,58,91.37931034482759
KXLIGUE1GAME,8,87.5,45,95.55555555555556,4,100.0,57,94.73684210526315
KXLATENIGHTMENTION,2,0.0,53,54.71698113207547,2,50.0,57,52.63157894736842
KXLALIGAGAME,6,66.66666666666666,43,90.69767441860465,8,87.5,57,87.71929824561403
KXSUPERLIGGAME,12,100.0,36,86.11111111111111,8,100.0,56,91.07142857142857
KXBTC15M,0,0.0,54,92.5925925925926,1,100.0,55,92.72727272727272
KXLIGAPORTUGALGAME,16,87.5,32,81.25,7,100.0,55,85.45454545454545
KXLIGAMXGAME,6,83.33333333333334,41,80.48780487804879,6,100.0,53,83.01886792452831
KXSOL15M,0,0.0,52,92.3076923076923,1,100.0,53,92.45283018867924
KXSCOTTISHPREMGAME,10,90.0,35,97.14285714285714,7,100.0,52,96.15384615384616
KXBUNDESLIGATOTAL,8,100.0,41,87.8048780487805,3,66.66666666666666,52,88.46153846153845
KXKIMMELMENTION,6,50.0,45,73.33333333333333,1,100.0,52,71.15384615384616
KXSTARMERMENTION,2,50.0,48,56.25,1,100.0,51,56.86274509803921
KXUCLGAME,0,0.0,51,92.15686274509804,0,0.0,51,92.15686274509804
KXCOLBERTMENTION,4,75.0,44,56.81818181818182,3,66.66666666666666,51,58.82352941176471
KXNCAAFGAME,0,0.0,41,97.5609756097561,10,100.0,51,98.0392156862745
KXSWISSLEAGUEGAME,4,100.0,44,77.27272727272727,2,100.0,50,80.0
KXLALIGATOTAL,14,92.85714285714286,33,81.81818181818183,2,100.0,49,85.71428571428571
KXCRICKETT20IMATCH,12,75.0,22,81.81818181818183,15,86.66666666666667,49,81.63265306122449
KXSERIEATOTAL,10,70.0,34,85.29411764705883,5,40.0,49,77.55102040816327
KXNFLPASSTDS,4,75.0,40,65.0,4,100.0,48,68.75
KXKBLGAME,18,83.33333333333334,19,89.47368421052632,10,90.0,47,87.2340425531915
KXATPSETWINNER,4,75.0,41,75.60975609756098,2,100.0,47,76.59574468085107
KXAFCONGAME,8,87.5,34,88.23529411764706,5,100.0,47,89.36170212765957
KXNFLSPREAD,0,0.0,46,93.47826086956522,0,0.0,46,93.47826086956522
KXEPLGAME,4,100.0,38,89.47368421052632,4,100.0,46,91.30434782608695
KXSNLMENTION,2,50.0,43,48.837209302325576,1,100.0,46,50.0
KXCASED,0,0.0,0,0.0,46,95.65217391304348,46,95.65217391304348
KXINXZ,0,0.0,0,0.0,46,93.47826086956522,46,93.47826086956522
KXRAINSEA,2,100.0,0,0.0,43,88.37209302325581,45,88.88888888888889
KXFOWOMEN,6,50.0,0,0.0,39,89.74358974358975,45,84.44444444444444
KXAHLGAME,2,100.0,43,83.72093023255815,0,0.0,45,84.44444444444444
KXUFCFIGHT,2,100.0,42,92.85714285714286,0,0.0,44,93.18181818181817
KXCLUBWCGAME,18,83.33333333333334,21,80.95238095238095,5,100.0,44,84.0909090909091
KXGDP,4,50.0,33,100.0,6,83.33333333333334,43,93.02325581395348
KXFIBACHAMPLEAGUEGAME,2,50.0,40,87.5,1,100.0,43,86.04651162790698
KXKHLGAME,4,75.0,28,85.71428571428571,9,88.88888888888889,41,85.36585365853658
KXLOLMAP,0,0.0,40,70.0,1,100.0,41,70.73170731707317
KXMLBSPREAD,10,100.0,27,88.88888888888889,3,100.0,40,92.5
KXUNITEDCUPMATCH,10,100.0,29,89.65517241379311,0,0.0,39,92.3076923076923
KXFOMEN,6,50.0,0,0.0,32,90.625,38,84.21052631578947
KXNFLGAME,4,100.0,31,96.7741935483871,1,100.0,36,97.22222222222221
KXLNBELITEGAME,2,50.0,29,86.20689655172413,5,100.0,36,86.11111111111111
KXNFLPREPACK2ML,4,50.0,27,81.48148148148148,4,75.0,35,77.14285714285715
KXCODGAME,12,83.33333333333334,18,72.22222222222221,5,80.0,35,77.14285714285715
KXR6GAME,10,70.0,23,82.6086956521739,2,100.0,35,80.0
KXLIGUE1TOTAL,6,83.33333333333334,25,88.0,4,75.0,35,85.71428571428571
KXRAINNYC,0,0.0,0,0.0,34,82.35294117647058,34,82.35294117647058
KXRAINNYCM,8,62.5,19,94.73684210526315,6,83.33333333333334,33,84.84848484848484
KXNFLPREPACKSGP,12,91.66666666666666,13,92.3076923076923,7,100.0,32,93.75
KXGAS,12,91.66666666666666,7,85.71428571428571,13,84.61538461538461,32,87.5
KXHIGHAUS,6,50.0,0,0.0,26,96.15384615384616,32,87.5
KXXRP15M,0,0.0,32,75.0,0,0.0,32,75.0
KXNBAGAME,6,100.0,21,100.0,5,100.0,32,100.0
KXUFCMOV,0,0.0,32,34.375,0,0.0,32,34.375
KXCOPADELREYGAME,0,0.0,29,68.96551724137932,3,100.0,32,71.875
KXATPTOTALSETS,4,25.0,26,65.38461538461539,0,0.0,30,60.0
KXCPI,12,100.0,4,75.0,14,85.71428571428571,30,90.0
KXFACUPGAME,0,0.0,29,93.10344827586206,0,0.0,29,93.10344827586206
KXNHLSPREAD,2,100.0,27,77.77777777777779,0,0.0,29,79.3103448275862
KXU3,16,81.25,6,100.0,7,100.0,29,89.65517241379311
KXHIGHLAX,2,50.0,0,0.0,26,100.0,28,96.42857142857143
KXCPIYOY,10,90.0,12,100.0,6,83.33333333333334,28,92.85714285714286
KXNASDAQ100Z,0,0.0,0,0.0,27,92.5925925925926,27,92.5925925925926
KXCS2MAP,0,0.0,27,88.88888888888889,0,0.0,27,88.88888888888889
KXHNLGAME,12,91.66666666666666,3,66.66666666666666,12,100.0,27,92.5925925925926
KXHIGHMIA,0,0.0,0,0.0,27,92.5925925925926,27,92.5925925925926
KXAAAGASM,10,80.0,12,100.0,5,100.0,27,92.5925925925926
KXHIGHNY,0,0.0,0,0.0,26,96.15384615384616,26,96.15384615384616
KXHIGHDEN,2,50.0,0,0.0,24,91.66666666666666,26,88.46153846153845
KXLOLGAMES,6,50.0,0,0.0,20,100.0,26,88.46153846153845
KXARGLNBGAME,6,83.33333333333334,13,76.92307692307693,6,100.0,25,84.0
KXHIGHCHI,2,50.0,0,0.0,23,86.95652173913044,25,84.0
KXSPACEXSTARSHIP,2,100.0,14,85.71428571428571,9,66.66666666666666,25,80.0
KXAAAGASW,0,0.0,0,0.0,25,88.0,25,88.0
KXHIGHHOU,6,50.0,0,0.0,18,94.44444444444444,24,83.33333333333334
KXJLEAGUEGAME,2,100.0,21,85.71428571428571,1,100.0,24,87.5
KXNBASPREAD,0,0.0,24,100.0,0,0.0,24,100.0
KXHIGHTSFO,8,50.0,0,0.0,15,80.0,23,69.56521739130434
KXJOBLESSCLAIMS,8,50.0,4,100.0,11,72.72727272727273,23,69.56521739130434
KXVAXX,0,0.0,0,0.0,23,82.6086956521739,23,82.6086956521739
KXATPEXACTMATCH,2,100.0,16,43.75,4,75.0,22,54.54545454545454
KXLOWTPHIL,0,0.0,0,0.0,22,95.45454545454545,22,95.45454545454545
KXSLGREECEGAME,0,0.0,21,90.47619047619048,1,100.0,22,90.9090909090909
KXSNOWNYM,6,100.0,14,92.85714285714286,1,100.0,21,95.23809523809523
KXEKSTRAKLASAGAME,0,0.0,17,82.35294117647058,4,100.0,21,85.71428571428571
KXHURCAT,10,90.0,7,100.0,4,75.0,21,90.47619047619048
KXLOWTNYC,2,50.0,0,0.0,19,84.21052631578947,21,80.95238095238095
KXLOWTLAX,4,50.0,0,0.0,17,88.23529411764706,21,80.95238095238095
KXFIBAECUPGAME,0,0.0,18,88.88888888888889,3,100.0,21,90.47619047619048
KXNFLPREPACK,0,0.0,21,61.904761904761905,0,0.0,21,61.904761904761905
KXATPIT,0,0.0,0,0.0,20,100.0,20,100.0
KXDARTSMATCH,4,75.0,13,84.61538461538461,3,66.66666666666666,20,80.0
KXLOWTCHI,2,50.0,0,0.0,18,83.33333333333334,20,80.0
KXMLBTOTAL,8,87.5,5,80.0,7,57.14285714285714,20,75.0
KXWTAIT,4,50.0,0,0.0,15,93.33333333333333,19,84.21052631578947
KXCPICOREYOY,6,66.66666666666666,0,0.0,13,76.92307692307693,19,73.68421052631578
KXLEAVITTMENTIONDURATION,4,50.0,11,36.36363636363637,4,25.0,19,36.84210526315789
KXCOUPEDEFRANCEGAME,2,100.0,15,86.66666666666667,2,100.0,19,89.47368421052632
KXHIGHPHIL,2,50.0,0,0.0,17,88.23529411764706,19,84.21052631578947
KXBANKRUPTS,10,90.0,0,0.0,9,88.88888888888889,19,89.47368421052632
KXHIGHTSEA,6,50.0,0,0.0,12,91.66666666666666,18,77.77777777777779
KXNETFLIXRANKMOVIE,8,50.0,3,33.33333333333333,7,85.71428571428571,18,61.111111111111114
KXLEAVITTLATE,10,100.0,6,100.0,2,50.0,18,94.44444444444444
KXCPIGAS,8,100.0,3,100.0,7,85.71428571428571,18,94.44444444444444
KXNFLANYTD,2,100.0,14,85.71428571428571,2,0.0,18,77.77777777777779
KXLALIGASPREAD,6,100.0,10,80.0,1,100.0,17,88.23529411764706
KXCOPADELREYADVANCE,6,83.33333333333334,8,62.5,3,100.0,17,76.47058823529412
KXHIGHTLV,2,50.0,0,0.0,15,100.0,17,94.11764705882352
KXHIGHTDC,6,50.0,0,0.0,11,100.0,17,82.35294117647058
KXLOWTDEN,2,50.0,0,0.0,15,66.66666666666666,17,64.70588235294117
KXTNOTE,12,100.0,0,0.0,5,100.0,17,100.0
KXKLEAGUEGAME,4,50.0,12,75.0,1,0.0,17,64.70588235294117
KXVALORANTMAP,4,100.0,12,83.33333333333334,0,0.0,16,87.5
KXMTA,0,0.0,0,0.0,16,93.75,16,93.75
KXF1RACEPODIUM,8,87.5,4,75.0,4,75.0,16,81.25
KXNFLPREPACK3ML,0,0.0,11,45.45454545454545,5,80.0,16,56.25
KXLOLTOTALMAPS,2,50.0,6,100.0,8,75.0,16,81.25
KXHIGHTNOLA,0,0.0,0,0.0,16,100.0,16,100.0
KXCPICORE,4,75.0,0,0.0,11,81.81818181818183,15,80.0
KXNCAAMBGAME,0,0.0,15,100.0,0,0.0,15,100.0
KXLOWTAUS,4,50.0,0,0.0,11,100.0,15,86.66666666666667
KXTOPSONG,8,50.0,0,0.0,7,85.71428571428571,15,66.66666666666666
KXFRM,2,100.0,0,0.0,13,100.0,15,100.0
KXPGARYDERMATCH,0,0.0,15,80.0,0,0.0,15,80.0
KXLOWTMIA,0,0.0,0,0.0,14,100.0,14,100.0
KXGBP,6,100.0,0,0.0,8,100.0,14,100.0
KXNETFLIXRANKSHOWRUNNERUP,2,50.0,6,16.666666666666664,6,83.33333333333334,14,50.0
KXEFLCUPGAME,2,100.0,8,87.5,4,75.0,14,85.71428571428571
KXCASEW,4,100.0,0,0.0,10,90.0,14,92.85714285714286
KXAFCONADVANCE,4,100.0,3,66.66666666666666,6,83.33333333333334,13,84.61538461538461
KXCPIUSEDCAR,2,100.0,3,100.0,8,87.5,13,92.3076923076923
