Series_Ticker,Series_Title,Category,Events_Analyzed,Events_Crossed_90,Crossing_Rate_Pct,Correct_Predictions,Incorrect_Predictions,Accuracy_Pct,Avg_Betting_Window_Minutes,Reliability_Tier
KXSPOTIFYALBUMW,Weekly US Spotify album chart,Entertainment,14,2,14.29,2,0,100.00,2851.80,LOW (1-19)
KXNETFLIXRANKSHOW,Netflix TV ranking,Entertainment,16,8,50.00,8,0,100.00,5150.89,LOW (1-19)
KXRANKLISTSONGTOP10,WHICH SONG WILL BE IN THE TOP 10 OF THE BILLBOARD HOT 100 HUNDERED FOR THE WEEK OF DATE ,Entertainment,11,5,45.45,5,0,100.00,6012.14,LOW (1-19)
KXSPOTIFYD,Daily US Spotify chart,Entertainment,13,1,7.69,1,0,100.00,220.30,LOW (1-19)
KXCPIFOOD,CPI on food,Economics,24,2,8.33,2,0,100.00,45144.95,LOW (1-19)
KXFED,Fed funds rate,Economics,20,2,10.00,2,0,100.00,95185.30,LOW (1-19)
KXCPICORE,CPI core,Economics,30,5,16.67,5,0,100.00,38997.28,LOW (1-19)
KXBANKRUPTS,Companies going bankrupt,Economics,20,9,45.00,9,0,100.00,15114.42,LOW (1-19)
KXCPIGAS,CPI on gas,Economics,34,10,29.41,10,0,100.00,41334.71,LOW (1-19)
KXEUROIMF,EUR/USD,Financials,21,10,47.62,10,0,100.00,313.83,LOW (1-19)
KXUSDJPY,USD/JPY daily range,Financials,14,2,14.29,2,0,100.00,474.35,LOW (1-19)
KXGBP,British Pound/US Dollar exchange rate ,Financials,23,12,52.17,12,0,100.00,278.73,LOW (1-19)
KXLAGODAYS,Mar-a-Lago trips,Politics,11,4,36.36,4,0,100.00,8546.93,LOW (1-19)
KXKNVBCUPGAME,KNVB Cup Game,Sports,12,9,75.00,9,0,100.00,57.14,LOW (1-19)
KXNFLTOTAL,Pro Football Total Points,Sports,21,4,19.05,4,0,100.00,63.75,LOW (1-19)
KXMLBTOTAL,Pro Baseball Total Points,Sports,17,3,17.65,3,0,100.00,95.77,LOW (1-19)
KXNHLGOAL,Pro Hockey Goalscorer,Sports,12,5,41.67,5,0,100.00,868.02,LOW (1-19)
KXSLGREECEGAME,Super League Greece Game,Sports,21,11,52.38,11,0,100.00,30.09,LOW (1-19)
KXAFCCLGAME,AFC Champions League Game,Sports,12,8,66.67,8,0,100.00,58.96,LOW (1-19)
KXUCLGOAL,UCL Goalscorer,Sports,100,1,1.00,1,0,100.00,80.10,LOW (1-19)
KXNCAAFTOTAL,College Football Total Points,Sports,22,9,40.91,9,0,100.00,183.44,LOW (1-19)
KXNBASPREAD,Pro Basketball Spread,Sports,17,4,23.53,4,0,100.00,55.35,LOW (1-19)
KXNBAGAME,Professional Basketball Game,Sports,100,98,98.00,98,0,100.00,44.59,HIGH (50+)
KXF1RACE,F1 Race,Sports,10,5,50.00,5,0,100.00,275.40,LOW (1-19)
KXHIGHTLV,Las Vegas Max Daily Temperature,Climate and Weather,28,3,10.71,3,0,100.00,562.27,LOW (1-19)
KXHIGHTNOLA,New Orleans Max temp Daily,Climate and Weather,28,6,21.43,6,0,100.00,619.92,LOW (1-19)
KXHURCAT,Hurricane category,Climate and Weather,40,7,17.50,7,0,100.00,6669.79,LOW (1-19)
KXSPACEXSTARSHIP,SpaceX Starship launch,Companies,10,9,90.00,9,0,100.00,48098.02,LOW (1-19)
KXTRUMPMENTION,What will Trump say?,Mentions,10,5,50.00,5,0,100.00,210.76,LOW (1-19)
KXNFLMENTION,NFL Mention,Mentions,10,6,60.00,6,0,100.00,1472.90,LOW (1-19)
KXNBAMENTION,NBA Mention,Mentions,12,12,100.00,12,0,100.00,1409.24,LOW (1-19)
KXNFLGAME,Professional Football Game,Sports,100,99,99.00,98,1,98.99,38.03,HIGH (50+)
KXNCAAFGAME,College Football Game,Sports,100,97,97.00,96,1,98.97,910.52,HIGH (50+)
KXNCAAMBGAME,Men's College Basketball Men's Game,Sports,100,99,99.00,97,2,97.98,294.40,HIGH (50+)
