Hierarchical_Path,Total_Markets,Correct,Wrong,Accuracy,EV_per_Contract,Profitable
Mentions > Mentions,1769,1312,457,0.7416619559072922,-17.87822940927078,No
Sports > Football > NFL,1214,895,319,0.7372322899505767,-18.32119600494234,No
Sports > Basketball > NBA,795,682,113,0.8578616352201258,-6.258261477987421,No
Climate and Weather > Temperature,745,602,143,0.8080536912751678,-11.239055872483224,No
Sports > Other Sports,637,541,96,0.8492935635792779,-7.115068642072216,No
Economics > Inflation,456,404,52,0.8859649122807017,-3.4479337719298297,No
Sports > Esports > Counter-Strike,360,308,52,0.8555555555555555,-6.488869444444451,No
Sports > Tennis > ATP,357,263,94,0.7366946778711485,-18.374957212885153,No
Sports > Esports > League of Legends,353,289,64,0.8186968838526912,-10.174736614730879,No
Sports > Hockey > NHL,349,307,42,0.8796561604584527,-4.078808954154729,No
Sports > Football > NCAA Football,311,289,22,0.9292604501607717,0.8816200160771711,Yes
Climate and Weather > Precipitation,299,247,52,0.8260869565217391,-9.43572934782609,No
Sports > Baseball > MLB,274,246,28,0.8978102189781022,-2.2634031021897836,No
Economics > Employment & Fed,256,212,44,0.828125,-9.231925000000004,No
Sports > Esports > Rainbow Six Siege,225,178,47,0.7911111111111111,-12.933313888888893,No
Sports > Soccer > Bundesliga,208,166,42,0.7980769230769231,-12.23673269230769,No
Sports > Soccer > UEFA Champions League,201,169,32,0.8407960199004975,-7.964823009950257,No
Sports > Soccer > Ligue 1,195,160,35,0.8205128205128205,-9.993142948717956,No
Sports > Soccer > La Liga,193,161,32,0.8341968911917098,-8.624735880829022,No
Sports > Esports > Valorant,193,152,41,0.7875647668393783,-13.287948316062176,No
Sports > Soccer > Serie A,189,154,35,0.8148148148148148,-10.562943518518527,No
Economics > Energy Prices,184,165,19,0.8967391304347826,-2.3705119565217436,No
Sports > Soccer > English Premier League,180,151,29,0.8388888888888889,-8.155536111111113,No
Entertainment > Music charts,176,77,99,0.4375,-48.294425,No
Sports > MMA > UFC,176,109,67,0.6193181818181818,-30.112606818181824,No
Sports > Golf > PGA,161,131,30,0.8136645962732919,-10.677965372670814,No
Health > COVID-19,154,136,18,0.8831168831168831,-3.7327366883116953,No
Financials > Stock Indices,127,116,11,0.9133858267716536,-0.7058423228346443,No
Sports > Esports > Dota 2,123,98,25,0.7967479674796748,-12.369628252032523,No
Financials > Forex,111,77,34,0.6936936936936937,-22.67505563063063,No
Sports > Tennis > French Open Men's Singles,102,83,19,0.8137254901960784,-10.671875980392159,No
World > Flight Delays,101,81,20,0.801980198019802,-11.846405198019802,No
Sports > Tennis > French Open Women's Singles,100,86,14,0.86,-6.044425000000003,No
Sports > Hockey > KHL,98,80,18,0.8163265306122449,-10.411771938775512,No
Sports > Cricket > T20,97,78,19,0.8041237113402062,-11.632053865979383,No
Sports > Darts > Darts,96,78,18,0.8125,-10.794425000000004,No
Sports > Tennis > WTA,95,91,4,0.9578947368421052,3.7450486842105204,Yes
Climate and Weather > Other Weather,87,63,24,0.7241379310344828,-19.630631896551726,No
