ticker,category,series_title,total_markets,wins,losses,accuracy,expected_profit,profitable,breakeven,is_seasonal,is_year_round
KXLLM1,Science and Technology,Year-end top LLM,8,8,0,100.0,0.07999999999999996,True,False,False,False
KXCRICKETODIMATCH,Sports,Cricket ODI Match,7,7,0,100.0,0.07999999999999996,True,False,False,False
KXWOSSKATE,Sports,Winter Olympics Speed Skating,3,3,0,100.0,0.07999999999999996,True,False,False,False
KXF1RACE,Sports,F1 Race,10,10,0,100.0,0.07999999999999996,True,False,False,False
KXWOCURLGAME,Sports,Winter Olympics Curling Game,7,7,0,100.0,0.07999999999999996,True,False,False,False
KXSHLGAME,Sports,SHL Game,13,13,0,100.0,0.07999999999999996,True,False,False,False
KXNBAGAME,Sports,Professional Basketball Game,32,32,0,100.0,0.07999999999999996,True,False,True,False
KXGOLD,Financials,Price of gold,3,3,0,100.0,0.07999999999999996,True,False,False,False
KX538APPROVEMAX,Politics,Biden 538 highest approval rating,2,2,0,100.0,0.07999999999999996,True,False,False,False
KXTNOTE,Financials,Treasury yield 10Y,17,17,0,100.0,0.07999999999999996,True,False,False,False
KXTNOTEW,Financials,Treasury 10Y weekly yield,1,1,0,100.0,0.07999999999999996,True,False,False,False
KXEUROIMF,Financials,EUR/USD,9,9,0,100.0,0.07999999999999996,True,False,True,False
KXGBP,Financials,British Pound/US Dollar exchange rate ,14,14,0,100.0,0.07999999999999996,True,False,False,False
KXFEDDECISION,Economics,Fed meeting,11,11,0,100.0,0.07999999999999996,True,False,False,False
KXFLIGHTORD,World,O'Hare International Airport total delays and cancellations,8,8,0,100.0,0.07999999999999996,True,False,False,False
KXPCECORE,Economics,US Core PCE inflation,8,8,0,100.0,0.07999999999999996,True,False,False,False
KXFEAR,Economics,Fear and Greed index,4,4,0,100.0,0.07999999999999996,True,False,False,False
KXFRM,Economics,Mortgage 30-yr rate this week,15,15,0,100.0,0.07999999999999996,True,False,False,False
KXPPLGAMES,Sports,PPL games,4,4,0,100.0,0.07999999999999996,True,False,False,False
KXNBASPREAD,Sports,Pro Basketball Spread,24,24,0,100.0,0.07999999999999996,True,False,True,False
KXATPAMT,Sports,ATP Tour Abierto Mexican Telcel presentado por HSBC,7,7,0,100.0,0.07999999999999996,True,False,False,False
KXT20MATCH,Sports,T20 Match,11,11,0,100.0,0.07999999999999996,True,False,False,False
KXNBA3PT,Sports,Pro Basketball Player Threes,5,5,0,100.0,0.07999999999999996,True,False,True,False
KXNCAAMBGAME,Sports,Men's College Basketball Men's Game,15,15,0,100.0,0.07999999999999996,True,False,True,False
KXFACUPADVANCE,Sports,FA Cup Advance,7,7,0,100.0,0.07999999999999996,True,False,True,False
KXR6MAP,Sports,R6 Map Winner,9,9,0,100.0,0.07999999999999996,True,False,False,False
KXWTAMAD,Sports,WTA Madrid,11,11,0,100.0,0.07999999999999996,True,False,False,False
KXNBAREB,Sports,Pro Basketball Player Rebounds,10,10,0,100.0,0.07999999999999996,True,False,True,False
KXATPIT,Sports,ATP Italian Open,20,20,0,100.0,0.07999999999999996,True,False,False,False
KXFED,Economics,Fed funds rate,13,13,0,100.0,0.07999999999999996,True,False,False,False
KXHIGHTNOLA,Climate and Weather,New Orleans Max temp Daily,16,16,0,100.0,0.07999999999999996,True,False,False,True
KXLOWTMIA,Climate and Weather,Lowest temperature in Miami,14,14,0,100.0,0.07999999999999996,True,False,False,False
KXKNVBCUPGAME,Sports,KNVB Cup Game,11,11,0,100.0,0.07999999999999996,True,False,True,False
KXNBABLK,Sports,Pro Basketball Player Blocks,2,2,0,100.0,0.07999999999999996,True,False,True,False
KXRANKLISTSONGTOP10,Entertainment,WHICH SONG WILL BE IN THE TOP 10 OF THE BILLBOARD HOT 100 HUNDERED FOR THE WEEK OF DATE ,6,6,0,100.0,0.07999999999999996,True,False,False,False
KXSPOTIFYGLOBALD,Entertainment,Daily Global Spotify songs,1,1,0,100.0,0.07999999999999996,True,False,False,False
KXSPOTIFYW,Entertainment,Weekly US Spotify chart,1,1,0,100.0,0.07999999999999996,True,False,False,False
KXCPIFOOD,Economics,CPI on food,10,10,0,100.0,0.07999999999999996,True,False,False,False
KXBILLBOARDRUNNERUPALBUM,Entertainment,Will Album be runner up this week?,9,9,0,100.0,0.07999999999999996,True,False,False,False
KXARGINFLATIONM,Economics,Argentina inflation,5,5,0,100.0,0.07999999999999996,True,False,True,False
KXTOPALBUM,Entertainment,Billboard Top 200 #1,7,7,0,100.0,0.07999999999999996,True,False,False,False
KXJOBLESS,Economics,Initial jobless claims,3,3,0,100.0,0.07999999999999996,True,False,False,False
KXNCAAFGAME,Sports,College Football Game,51,50,1,98.0392156862745,0.06039215686274502,True,False,True,False
KXNFLGAME,Sports,Professional Football Game,36,35,1,97.22222222222221,0.05222222222222205,True,False,True,False
KXATPMATCH,Sports,ATP Tennis Match,70,68,2,97.14285714285714,0.051428571428571386,True,False,False,False
KXWTAMATCH,Sports,WTA Tennis Match,88,85,3,96.5909090909091,0.045909090909090906,True,False,False,False
KXHIGHLAX,Climate and Weather,Highest temperature in Los Angeles,28,27,1,96.42857142857143,0.04428571428571427,True,False,False,True
KXNCAAFTOTAL,Sports,College Football Total Points,105,101,4,96.19047619047619,0.04190476190476188,True,False,True,False
KXSCOTTISHPREMGAME,Sports,Scottish Premiership Game,52,50,2,96.15384615384616,0.041538461538461524,True,False,False,False
KXHIGHNY,Climate and Weather,Highest temperature in NYC,26,25,1,96.15384615384616,0.041538461538461524,True,False,False,True
KXNHLGAME,Sports,NHL Game,75,72,3,96.0,0.03999999999999993,True,False,True,False
KXCASED,Health,COVID daily cases,46,44,2,95.65217391304348,0.03652173913043478,True,False,False,False
KXLOWTPHIL,Climate and Weather,Lowest temperature in Philadelphia,22,21,1,95.45454545454545,0.034545454545454546,True,False,False,False
KXSNOWNYM,Climate and Weather,Total snow in NYC,21,20,1,95.23809523809523,0.03238095238095218,True,False,False,False
KXNBATOTAL,Sports,Pro Basketball Total Points,84,80,4,95.23809523809523,0.03238095238095218,True,False,True,False
KXNFLTOTAL,Sports,Pro Football Total Points,78,74,4,94.87179487179486,0.028717948717948527,True,False,True,False
KXFIFAGAME,Sports,Fifa Game,58,55,3,94.82758620689656,0.028275862068965478,True,False,False,False
KXLIGUE1GAME,Sports,Ligue 1 Game,57,54,3,94.73684210526315,0.027368421052631493,True,False,False,False
KXATPCHALLENGERMATCH,Sports,Challenger ATP ,76,72,4,94.73684210526315,0.027368421052631493,True,False,False,False
KXCPIGAS,Economics,CPI on gas,18,17,1,94.44444444444444,0.02444444444444438,True,False,False,False
KXLEAVITTLATE,Mentions,Karoline Leavitt Late,18,17,1,94.44444444444444,0.02444444444444438,True,False,False,False
KXEUROLEAGUEGAME,Sports,Euroleague Game,89,84,5,94.3820224719101,0.023820224719101064,True,False,True,False
KXNFLMENTION,Mentions,NFL Mention,71,67,4,94.36619718309859,0.023661971830985846,True,False,True,True
KXHIGHTLV,Climate and Weather,Las Vegas Max Daily Temperature,17,16,1,94.11764705882352,0.02117647058823513,True,False,False,True
KXMLBGAME,Sports,Professional Baseball Game,65,61,4,93.84615384615384,0.018461538461538307,True,False,True,False
KXNFLPREPACKSGP,Sports,MVE NFL Pre Pack,32,30,2,93.75,0.017499999999999953,True,False,True,False
KXMTA,Transportation,NYC subway riders,16,15,1,93.75,0.017499999999999953,True,False,False,False
KXNFLSPREAD,Sports,Pro Football Spread,46,43,3,93.47826086956522,0.01478260869565217,True,False,True,False
KXINXZ,Financials,S&P 500 up,46,43,3,93.47826086956522,0.01478260869565217,True,False,False,True
KXUFCFIGHT,Sports,UFC Fight,44,41,3,93.18181818181817,0.011818181818181728,True,False,False,False
KXFACUPGAME,Sports,FA Cup Game,29,27,2,93.10344827586206,0.011034482758620623,True,False,True,False
KXSAUDIPLGAME,Sports,Saudi Pro League Game,58,54,4,93.10344827586206,0.011034482758620623,True,False,False,False
KXWTACHALLENGERMATCH,Sports,Challenger WTA,72,67,5,93.05555555555556,0.01055555555555554,True,False,False,False
KXGDP,Economics,US GDP growth,43,40,3,93.02325581395348,0.01023255813953483,True,False,False,True
KXCASEW,Health,New COVID-19 cases this week,14,13,1,92.85714285714286,0.008571428571428563,True,False,False,False
KXCPIYOY,Economics,Inflation,28,26,2,92.85714285714286,0.008571428571428563,True,False,False,False
KXBTC15M,Crypto,Bitcoin price up down,55,51,4,92.72727272727272,0.0072727272727272085,True,False,False,True
KXHIGHMIA,Climate and Weather,Highest temperature in Miami,27,25,2,92.5925925925926,0.00592592592592589,True,False,False,True
KXNASDAQ100Z,Financials,Nasdaq up,27,25,2,92.5925925925926,0.00592592592592589,True,False,False,False
KXHNLGAME,Sports,Croatia HNL Game,27,25,2,92.5925925925926,0.00592592592592589,True,False,False,False
KXAAAGASM,Economics,US gas price,27,25,2,92.5925925925926,0.00592592592592589,True,False,False,False
KXMLBSPREAD,Sports,Pro Baseball Spread,40,37,3,92.5,0.0050000000000000044,True,False,True,False
KXSOL15M,Crypto,Solana 15 minutes,53,49,4,92.45283018867924,0.00452830188679243,True,True,False,True
KXUNITEDCUPMATCH,Sports,United Cup Match,39,36,3,92.3076923076923,0.003076923076922977,True,True,True,False
KXCPIUSEDCAR,Economics,CPI on used cars,13,12,1,92.3076923076923,0.003076923076922977,True,True,False,False
KXUCLGAME,Sports,UEFA Champions League Game,51,47,4,92.15686274509804,0.0015686274509802978,True,True,False,False
KXFLIGHTJFK,World,JFK International Airport total flight delays and cancellations,12,11,1,91.66666666666666,-0.0033333333333335213,False,True,False,False
KXNETFLIXRANKSHOW,Entertainment,Netflix TV ranking,12,11,1,91.66666666666666,-0.0033333333333335213,False,True,False,False
KXUELGAME,Sports,UEFA Europa League Game,58,53,5,91.37931034482759,-0.006206896551724128,False,False,False,False
KXEPLGAME,Sports,English Premier League Game,46,42,4,91.30434782608695,-0.006956521739130528,False,False,False,False
KXSUPERLIGGAME,Sports,Turkish Super Lig Game,56,51,5,91.07142857142857,-0.009285714285714342,False,False,False,False
KXCOPPAITALIAGAME,Sports,Coppa Italia Game,11,10,1,90.9090909090909,-0.01090909090909098,False,False,False,False
KXSLGREECEGAME,Sports,Super League Greece Game,22,20,2,90.9090909090909,-0.01090909090909098,False,False,False,False
KXAPPRANKFREE,Entertainment,Free app ranking,11,10,1,90.9090909090909,-0.01090909090909098,False,False,False,False
KXWOWHOCKEY,Sports,Winter Olympics Women's Hockey,11,10,1,90.9090909090909,-0.01090909090909098,False,False,False,False
KXTOPMODEL,Science and Technology,Top model,11,10,1,90.9090909090909,-0.01090909090909098,False,False,False,False
KXCS2GAME,Sports,Counter-Strike 2 Game,65,59,6,90.76923076923077,-0.012307692307692353,False,False,False,False
KXNHLTOTAL,Sports,NHL Goal Total,85,77,8,90.58823529411765,-0.014117647058823568,False,False,True,False
KXHURCAT,Climate and Weather,Hurricane category,21,19,2,90.47619047619048,-0.015238095238095273,False,False,False,False
KXFIBAECUPGAME,Sports,FIBA Europe Cup Game,21,19,2,90.47619047619048,-0.015238095238095273,False,False,True,False
KXNBAMENTION,Mentions,NBA Mention,83,75,8,90.36144578313254,-0.016385542168674605,False,False,True,True
KXDFBPOKALGAME,Sports,DFB Pokal Game,10,9,1,90.0,-0.020000000000000018,False,False,False,False
KXETH15M,Crypto,ETH 15M price up down,60,54,6,90.0,-0.020000000000000018,False,False,False,True
KXAFCCLGAME,Sports,AFC Champions League Game,10,9,1,90.0,-0.020000000000000018,False,False,False,False
KXCPI,Economics,CPI,30,27,3,90.0,-0.020000000000000018,False,False,False,False
KXUCLTOTAL,Sports,Champions League Total Goals,59,53,6,89.83050847457628,-0.02169491525423728,False,False,False,False
KXU3,Economics,Unemployment,29,26,3,89.65517241379311,-0.02344827586206899,False,False,False,False
KXBANKRUPTS,Economics,Companies going bankrupt,19,17,2,89.47368421052632,-0.025263157894736876,False,False,False,False
KXCOUPEDEFRANCEGAME,Sports,Coupe de France Gam,19,17,2,89.47368421052632,-0.025263157894736876,False,False,False,False
KXAFCONGAME,Sports,AFCON Game Winner,47,42,5,89.36170212765957,-0.026382978723404338,False,False,False,False
KXCSGOGAME,Sports,Counter-Strike 2 Games,83,74,9,89.1566265060241,-0.028433734939759092,False,False,False,False
KXEFLCHAMPIONSHIPGAME,Sports,EFL Championship Game,64,57,7,89.0625,-0.02937500000000004,False,False,False,False
KXLOLGAME,Sports,League of Legends Game,100,89,11,89.0,-0.030000000000000027,False,False,False,False
KXNBAPTS,Sports,Pro Basketball Player Points,9,8,1,88.88888888888889,-0.0311111111111112,False,False,True,False
KXRAINSEA,Climate and Weather,Seattle rain,45,40,5,88.88888888888889,-0.0311111111111112,False,False,False,True
