Series_Ticker,Series_Title,Events_Analyzed,Events_Crossed_90,Crossing_Rate_Pct,Correct_Predictions,Accuracy_Pct,Avg_Betting_Window_Minutes
KXCPIFOOD,CPI on food,24,2,8.33,2,100.00,45144.95
KXFED,Fed funds rate,20,2,10.00,2,100.00,95185.30
KXCPICORE,CPI core,30,5,16.67,5,100.00,38997.28
KXBANKRUPTS,Companies going bankrupt,20,9,45.00,9,100.00,15114.42
KXCPIGAS,CPI on gas,34,10,29.41,10,100.00,41334.71
KXCPI,CPI,55,23,41.82,21,91.30,38040.84
KXCPIUSEDCAR,CPI on used cars,40,22,55.00,20,90.91,35944.20
KXFRM,Mortgage 30-yr rate this week,40,9,22.50,8,88.89,2383.33
KXPAYROLLS,Jobs numbers,47,25,53.19,22,88.00,37402.45
KXCPIYOY,Inflation,21,7,33.33,6,85.71,30034.24
KXGDP,US GDP growth,23,13,56.52,11,84.62,92878.66
KXAAAGASW,US gas price up,100,43,43.00,35,81.40,6353.93
KXARGINFLATIONM,Argentina inflation,19,8,42.11,6,75.00,41682.50
KXCPIAPPAREL,CPI on apparel,38,4,10.53,3,75.00,27245.48
KXOILW,Price of oil weekly,16,7,43.75,5,71.43,7478.11
KXCPICOREYOY,Core inflation,23,6,26.09,4,66.67,32611.20
KXJOBLESS,Initial jobless claims,69,6,8.70,4,66.67,4167.55
KXPCECORE,US Core PCE inflation,16,6,37.50,4,66.67,18975.10
KXFEDDECISION,Fed meeting,24,3,12.50,2,66.67,54394.43
KXADP,ADP employment change,21,11,52.38,6,54.55,25135.88
KXCPISHELTER,CPI on shelter,17,2,11.76,1,50.00,36950.05
KXAAAGASM,US gas price,26,6,23.08,3,50.00,14739.07
KXGAS,Gas weekly,29,6,20.69,2,33.33,7150.37
KXU3,Unemployment,24,1,4.17,0,0.00,92.50
KXJOBLESSCLAIMS,Weekly initial jobless claims,22,2,9.09,0,0.00,3043.90
KXFEAR,Fear and Greed index,18,2,11.11,0,0.00,4232.00
