Series_Ticker,Series_Title,Events_Analyzed,Events_Crossed_90,Crossing_Rate_Pct,Correct_Predictions,Accuracy_Pct,Avg_Betting_Window_Minutes
KXSPOTIFYALBUMW,Weekly US Spotify album chart,14,2,14.29,2,100.00,2851.80
KXNETFLIXRANKSHOW,Netflix TV ranking,16,8,50.00,8,100.00,5150.89
KXRANKLISTSONGTOP10,WHICH SONG WILL BE IN THE TOP 10 OF THE BILLBOARD HOT 100 HUNDERED FOR THE WEEK OF DATE ,11,5,45.45,5,100.00,6012.14
KXSPOTIFYD,Daily US Spotify chart,13,1,7.69,1,100.00,220.30
KXDGAAWARDS,DGA Awards,12,5,41.67,4,80.00,10368.08
KXTOPSONG,Billboard Hot 100 #1,19,9,47.37,7,77.78,10730.36
KXAPPRANKFREE,Free app ranking,40,9,22.50,7,77.78,1033.46
KXSPOTIFYW,Weekly US Spotify chart,13,4,30.77,3,75.00,4314.48
KXTOPALBUM,Billboard Top 200 #1,19,8,42.11,6,75.00,10484.37
KXNETFLIXRANKMOVIE,Netflix movie ranking,15,9,60.00,6,66.67,5491.58
KXNETFLIXRANKSHOWRUNNERUP,RUNNER UP NETFLIX SHOW,11,6,54.55,4,66.67,3458.90
KXBILLBOARDRUNNERUPSONG,Will Song be number 2 on Billboard 100?,18,4,22.22,2,50.00,6173.77
KXNETFLIXRANKMOVIERUNNERUP,RUNNER UP NETFLIX MOVIE,11,4,36.36,2,50.00,2413.75
KXAPPRANKFREE2,Free app ranking,40,8,20.00,4,50.00,1030.90
KXBILLBOARDRUNNERUPALBUM,Will Album be runner up this week?,19,5,26.32,2,40.00,5371.70
KXSPOTIFYARTISTD,Daily US Spotify artist chart,14,1,7.14,0,0.00,822.50
KXSPOTIFY2D,Daily US Spotify chart Runner-up,14,2,14.29,0,0.00,439.05
KXSPOTIFYVIRALD,Daily US Viral Spotify chart,11,1,9.09,0,0.00,771.80
KXSPOTIFYGLOBALD,Daily Global Spotify songs,14,5,35.71,0,0.00,914.78
KXSURVIVORELIMINATION,WHO WILL BE ELIMINATED FROM SURVIVOR,11,2,18.18,0,0.00,3152.50
