Series_Ticker,Series_Title,Events_Analyzed,Events_Crossed_90,Crossing_Rate_Pct,Correct_Predictions,Accuracy_Pct,Avg_Betting_Window_Minutes
KXTRUMPMENTION,What will Trump say?,10,5,50.00,5,100.00,210.76
KXNFLMENTION,NFL Mention,10,6,60.00,6,100.00,1472.90
KXNBAMENTION,NBA Mention,12,12,100.00,12,100.00,1409.24
KXHOCHULMENTION,Kathy Hochul,11,11,100.00,10,90.91,980.40
KXMAMDANIMENTION,What will Zohran Mamdani say?,14,9,64.29,8,88.89,126.80
KXCONGRESSMENTION,Congress Mention,11,9,81.82,8,88.89,1220.73
KXTRUMPMENTIONB,Trump Mention B,10,8,80.00,7,87.50,1478.11
KXKIMMELMENTION,Jimmy Kimmel Mention,14,7,50.00,6,85.71,1598.16
KXVANCEMENTION,Vance Says,11,6,54.55,5,83.33,1730.27
KXNCAAMENTION,NCAA Mention,11,11,100.00,9,81.82,314.60
KXMRBEASTMENTION,What Will Mr Beast say in his next video,12,8,66.67,6,75.00,9433.96
KXNCAABMENTION,College Basketball,13,13,100.00,8,61.54,1019.42
KXCOLBERTMENTION,Colbert Mention,12,10,83.33,6,60.00,2333.96
KXLEAVITTLATE,Karoline Leavitt Late,10,5,50.00,3,60.00,289.52
KXLEAVITTMENTIONDURATION,Leavitt Duration,10,2,20.00,1,50.00,271.95
KXLATENIGHTMENTION,Late Night Mention,15,12,80.00,5,41.67,1078.61
KXSNLMENTION,SNL Mention,11,8,72.73,3,37.50,2789.53
KXSTARMERMENTION,Starmer mentions,11,9,81.82,3,33.33,3505.80
KXSURVIVORMENTION,Survivor Mention,12,7,58.33,2,28.57,2783.17
