Series_Ticker,Series_Title,Events_Analyzed,Events_Crossed_90,Crossing_Rate_Pct,Correct_Predictions,Accuracy_Pct,Avg_Betting_Window_Minutes
KXKNVBCUPGAME,KNVB Cup Game,12,9,75.00,9,100.00,57.14
KXNFLTOTAL,Pro Football Total Points,21,4,19.05,4,100.00,63.75
KXMLBTOTAL,Pro Baseball Total Points,17,3,17.65,3,100.00,95.77
KXNHLGOAL,Pro Hockey Goalscorer,12,5,41.67,5,100.00,868.02
KXSLGREECEGAME,Super League Greece Game,21,11,52.38,11,100.00,30.09
KXAFCCLGAME,AFC Champions League Game,12,8,66.67,8,100.00,58.96
KXUCLGOAL,UCL Goalscorer,100,1,1.00,1,100.00,80.10
KXNCAAFTOTAL,College Football Total Points,22,9,40.91,9,100.00,183.44
KXNBASPREAD,Pro Basketball Spread,17,4,23.53,4,100.00,55.35
KXNBAGAME,Professional Basketball Game,100,98,98.00,98,100.00,44.59
KXF1RACE,F1 Race,10,5,50.00,5,100.00,275.40
KXNFLGAME,Professional Football Game,100,99,99.00,98,98.99,38.03
KXNCAAFGAME,College Football Game,100,97,97.00,96,98.97,910.52
KXNCAAMBGAME,Men's College Basketball Men's Game,100,99,99.00,97,97.98,294.40
KXLIGUE1GAME,Ligue 1 Game,67,48,71.64,47,97.92,34.77
KXSCOTTISHPREMGAME,Scottish Premiership Game,67,43,64.18,42,97.67,42.58
KXWTAMATCH,WTA Tennis Match,100,96,96.00,93,96.88,74.01
KXMLBGAME,Professional Baseball Game,100,96,96.00,92,95.83,91.53
KXATPIT,ATP Italian Open,46,45,97.83,43,95.56,407.72
KXFIFAGAME,Fifa Game,67,42,62.69,40,95.24,281.06
KXT20MATCH,T20 Match,23,20,86.96,19,95.00,1376.55
KXFACUPGAME,FA Cup Game,32,19,59.38,18,94.74,187.91
KXWTAATX,WTA Tour ATX Open,19,18,94.74,17,94.44,701.78
KXAFCONGAME,AFCON Game Winner,51,35,68.63,33,94.29,44.47
KXNHLGAME,NHL Game,100,99,99.00,93,93.94,66.28
KXATPCHALLENGERMATCH,Challenger ATP ,100,97,97.00,91,93.81,54.28
KXPPLGAMES,PPL games,15,15,100.00,14,93.33,1275.55
KXEUROLEAGUEGAME,Euroleague Game,100,100,100.00,93,93.00,55.62
KXATPMATCH,ATP Tennis Match,100,95,95.00,88,92.63,76.17
KXBUNDESLIGAGAME,Bundesliga Game,67,40,59.70,37,92.50,23.54
KXKBLGAME,Korea KBL Game,53,53,100.00,49,92.45,104.15
KXLALIGATOTAL,La Liga Total,64,38,59.38,35,92.11,310.08
KXUELGAME,UEFA Europa League Game,67,38,56.72,35,92.11,49.38
KXEFLCHAMPIONSHIPGAME,EFL Championship Game,67,36,53.73,33,91.67,25.95
KXLIGUE1SPREAD,Ligue 1 Spread,50,12,24.00,11,91.67,45.69
KXUCLGAME,UEFA Champions League Game,67,35,52.24,32,91.43,229.57
KXNHLTOTAL,NHL Goal Total,40,23,57.50,21,91.30,82.67
KXMLBSPREAD,Pro Baseball Spread,34,11,32.35,10,90.91,51.88
