category,sub_category,total_markets,wins,losses,accuracy_pct,avg_entry_price,flag
Sports,KXNBAGAME,97,97,0,100.0,0.9419587628865979,
Sports,KXNBAREB,55,55,0,100.0,0.967636363636364,
Sports,KXNBASPREAD,39,39,0,100.0,0.9223076923076925,
Economics,KXFED,33,33,0,100.0,0.9393939393939394,
Financials,KXGBP,32,32,0,100.0,0.9353125,
Financials,KXEUROIMF,27,27,0,100.0,0.9492592592592591,
Sports,KXNCAAMBGAME,20,20,0,100.0,0.9179999999999998,
Sports,KXF1RACE,10,10,0,100.0,0.9020000000000001,⚠️ LOW SAMPLE
Sports,KXNCAAFGAME,101,100,1,99.00990099009901,0.932772277227723,
Sports,KXNFLGAME,101,100,1,99.00990099009901,0.9477227722772277,
Climate and Weather,KXLOWTMIA,32,31,1,96.875,0.9296875,
Sports,KXSCOTTISHPREMGAME,59,57,2,96.61016949152543,0.9077966101694915,
Financials,KXNASDAQ100Z,57,55,2,96.49122807017544,0.9324561403508772,
Transportation,KXMTA,26,25,1,96.15384615384616,0.9292307692307694,
Economics,KXCPIGAS,48,46,2,95.83333333333334,0.945625,
Sports,KXWTAMATCH,95,91,4,95.78947368421052,0.9072631578947372,
Economics,KXAAAGASM,69,66,3,95.65217391304348,0.943913043478261,
Economics,KXCPIUSEDCAR,44,42,2,95.45454545454545,0.9513636363636363,
Sports,KXLIGUE1GAME,61,58,3,95.08196721311475,0.9036065573770491,
Sports,KXMLBGAME,101,96,5,95.04950495049505,0.9202970297029706,
Sports,KXT20MATCH,20,19,1,95.0,0.9334999999999999,
Sports,KXWTAATX,19,18,1,94.73684210526315,0.9852631578947366,⚠️ LOW SAMPLE
Sports,KXNCAAFTOTAL,119,112,7,94.11764705882352,0.9157142857142859,
Sports,KXATPCHALLENGERMATCH,85,80,5,94.11764705882352,0.9082352941176475,
Sports,KXATPMATCH,85,80,5,94.11764705882352,0.9121176470588236,
Economics,KXBANKRUPTS,51,48,3,94.11764705882352,0.943921568627451,
Sports,KXFACUPGAME,34,32,2,94.11764705882352,0.9085294117647059,
Sports,KXNBA3PT,50,47,3,94.0,0.9699999999999999,
Climate and Weather,KXSNOWNYM,33,31,2,93.93939393939394,0.9260606060606061,
Sports,KXEUROLEAGUEGAME,96,90,6,93.75,0.9044791666666668,
Economics,KXCPIFOOD,16,15,1,93.75,0.9199999999999999,⚠️ LOW SAMPLE
Sports,KXPPLGAMES,16,15,1,93.75,0.964375,⚠️ LOW SAMPLE
Mentions,KXNFLMENTION,110,103,7,93.63636363636364,0.9256363636363638,
Sports,KXNHLGAME,106,99,7,93.39622641509435,0.9155660377358493,
Sports,KXFIFAGAME,72,67,5,93.05555555555556,0.9080555555555557,
Sports,KXNBATOTAL,100,93,7,93.0,0.9099000000000003,
Health,KXBOOSTER,14,13,1,92.85714285714286,0.9228571428571429,⚠️ LOW SAMPLE
Crypto,KXBTC15M,55,51,4,92.72727272727272,0.9007272727272726,
Sports,KXUCLGAME,54,50,4,92.5925925925926,0.905185185185185,
Sports,KXAFCCLGAME,13,12,1,92.3076923076923,0.9100000000000001,⚠️ LOW SAMPLE
Sports,KXDFBPOKALGAME,13,12,1,92.3076923076923,0.9107692307692309,⚠️ LOW SAMPLE
Economics,KXU3,90,83,7,92.22222222222223,0.9498888888888888,
Sports,KXNFLTOTAL,90,83,7,92.22222222222223,0.908666666666667,
Economics,KXGDP,76,70,6,92.10526315789474,0.9301315789473685,
Health,KXCASED,85,78,7,91.76470588235294,0.9321176470588234,
Sports,KXUFCFIGHT,84,77,7,91.66666666666666,0.9269047619047621,
Economics,KXFEDDECISION,24,22,2,91.66666666666666,0.9387500000000001,
Economics,KXGAS,58,53,5,91.37931034482759,0.9301724137931034,
Sports,KXSLGREECEGAME,23,21,2,91.30434782608695,0.9026086956521737,
Climate and Weather,KXHIGHMIA,34,31,3,91.17647058823529,0.911470588235294,
Sports,KXUNITEDCUPMATCH,55,50,5,90.9090909090909,0.9169090909090908,
Sports,KXNHLTOTAL,142,129,13,90.84507042253522,0.9257746478873242,
Sports,KXUELGAME,65,59,6,90.76923076923077,0.9064615384615387,
Sports,KXEPLGAME,54,49,5,90.74074074074075,0.9087037037037037,
Mentions,KXLEAVITTLATE,43,39,4,90.69767441860465,0.940232558139535,
Sports,KXSUPERLIGGAME,64,58,6,90.625,0.9057812500000001,
Entertainment,KXRANKLISTSONGTOP10,32,29,3,90.625,0.9634375,
Sports,KXWTACHALLENGERMATCH,85,77,8,90.58823529411765,0.9105882352941179,
Climate and Weather,KXTORNADO,21,19,2,90.47619047619048,0.9319047619047619,
Sports,KXWOWHOCKEY,21,19,2,90.47619047619048,0.939047619047619,
Mentions,KXNBAMENTION,93,84,9,90.32258064516128,0.9109677419354841,
Economics,KXCPI,81,73,8,90.12345679012346,0.9412345679012345,
Economics,KXFRM,29,26,3,89.65517241379311,0.9344827586206897,
Sports,KXCS2MAP,85,76,9,89.41176470588236,0.9465882352941177,
Sports,KXLALIGATOTAL,94,84,10,89.36170212765957,0.929148936170213,
Sports,KXAFCONGAME,56,50,6,89.28571428571429,0.9092857142857144,
Sports,KXNFLSPREAD,56,50,6,89.28571428571429,0.9121428571428573,
Sports,KXSAUDIPLGAME,65,58,7,89.23076923076924,0.9053846153846156,
Economics,KXCPIYOY,74,66,8,89.1891891891892,0.9389189189189188,
Science and Technology,KXTSAW,45,40,5,88.88888888888889,0.944,
Climate and Weather,KXHIGHLAX,35,31,4,88.57142857142857,0.9154285714285714,
Climate and Weather,KXHIGHNY,35,31,4,88.57142857142857,0.9157142857142858,
Climate and Weather,KXLOWTAUS,35,31,4,88.57142857142857,0.9305714285714286,
Crypto,KXSOL15M,60,53,7,88.33333333333333,0.907,
Sports,KXKBLGAME,60,53,7,88.33333333333333,0.9139999999999999,
Climate and Weather,KXRAINSEA,68,60,8,88.23529411764706,0.9252941176470589,
Sports,KXEFLCHAMPIONSHIPGAME,68,60,8,88.23529411764706,0.9039705882352941,
