Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26FEB07-B34.5,"Will the maximum temperature be  34-35° on Feb 7, 2026?",yes,100,2026-02-07T10:14:25.91711Z,92,2026-02-07T12:55:15.901034Z,94,2026-02-08T05:00:00Z,964.7,57884,CORRECT,893
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26FEB06-B33.5,"Will the maximum temperature be  33-34° on Feb 6, 2026?",yes,100,2026-02-06T21:08:37.74457Z,92,2026-02-06T22:48:58.794485Z,91,2026-02-07T05:00:00Z,371.0,22261,CORRECT,396
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26FEB04-T38,"Will the maximum temperature be  >38° on Feb 4, 2026?",yes,100,2026-02-04T19:55:15.829545Z,93,2026-02-04T23:54:05.465244Z,92,2026-02-05T05:00:00Z,305.9,18354,CORRECT,447
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26FEB03-B42.5,"Will the maximum temperature be  42-43° on Feb 3, 2026?",yes,100,2026-02-03T21:42:29.945693Z,92,2026-02-04T03:07:13.729937Z,98,2026-02-04T05:00:00Z,112.8,6766,CORRECT,826
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26FEB02-B35.5,"Will the maximum temperature be  35-36° on Feb 2, 2026?",scalar,99,2026-02-02T20:08:07.874823Z,92,2026-02-03T01:46:47.65201Z,96,2026-02-03T05:00:00Z,193.2,11592,CORRECT,442
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26FEB01-B26.5,"Will the maximum temperature be  26-27° on Feb 1, 2026?",yes,100,2026-02-01T21:14:52.07638Z,92,2026-02-02T04:29:18.045242Z,94,2026-02-02T05:00:00Z,30.7,1841,CORRECT,575
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN31-B22.5,"Will the maximum temperature be  22-23° on Jan 31, 2026?",yes,100,2026-01-31T18:06:16.418585Z,92,2026-02-01T04:58:34.386228Z,90,2026-02-01T05:00:00Z,1.4,85,CORRECT,277
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN30-B20.5,"Will the maximum temperature be  20-21° on Jan 30, 2026?",yes,100,2026-01-30T22:16:34.088387Z,95,2026-01-30T22:44:04.765696Z,94,2026-01-31T05:00:00Z,375.9,22555,CORRECT,680
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN29-B24.5,"Will the maximum temperature be  24-25° on Jan 29, 2026?",yes,100,2026-01-29T22:08:02.337767Z,91,2026-01-29T23:19:32.669023Z,91,2026-01-30T05:00:00Z,340.4,20427,CORRECT,441
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN28-B25.5,"Will the maximum temperature be  25-26° on Jan 28, 2026?",yes,100,2026-01-28T19:59:06.641322Z,93,2026-01-28T23:54:14.630967Z,97,2026-01-29T05:00:00Z,305.8,18345,CORRECT,884
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN27-B31.5,"Will the maximum temperature be  31-32° on Jan 27, 2026?",yes,100,2026-01-27T23:54:09.772936Z,93,2026-01-27T23:54:09.798905Z,97,2026-01-28T05:00:00Z,305.8,18350,CORRECT,195
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN27-B29.5,"Will the maximum temperature be  29-30° on Jan 27, 2026?",no,0,2026-01-27T21:10:54.407998Z,93,,,2026-01-28T05:00:00Z,,,WRONG,264
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN26-B28.5,"Will the maximum temperature be  28-29° on Jan 26, 2026?",yes,100,2026-01-26T19:59:31.284197Z,93,2026-01-26T19:59:31.284197Z,93,2026-01-27T05:00:00Z,540.5,32428,CORRECT,258
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN25-B28.5,"Will the maximum temperature be  28-29° on Jan 25, 2026?",yes,100,2026-01-25T23:54:17.915593Z,91,2026-01-26T00:58:26.768518Z,95,2026-01-26T05:00:00Z,241.6,14493,CORRECT,500
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN24-B21.5,"Will the maximum temperature be  21-22° on Jan 24, 2026?",yes,100,2026-01-24T20:13:59.409555Z,95,2026-01-25T02:39:45.273405Z,95,2026-01-25T05:00:00Z,140.2,8414,CORRECT,423
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN23-B48.5,"Will the maximum temperature be  48-49° on Jan 23, 2026?",yes,100,2026-01-23T20:40:33.227756Z,90,2026-01-23T20:40:33.227756Z,90,2026-01-24T05:00:00Z,499.4,29966,CORRECT,325
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN23-B46.5,"Will the maximum temperature be  46-47° on Jan 23, 2026?",no,0,2026-01-23T18:55:48.257872Z,92,,,2026-01-24T05:00:00Z,,,WRONG,406
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN22-B55.5,"Will the maximum temperature be  55-56° on Jan 22, 2026?",yes,100,2026-01-22T17:39:33.520759Z,93,2026-01-22T21:24:21.361874Z,93,2026-01-23T05:00:00Z,455.6,27338,CORRECT,446
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN21-B43.5,"Will the maximum temperature be  43-44° on Jan 21, 2026?",yes,100,2026-01-21T20:34:32.786092Z,91,2026-01-22T03:58:56.614253Z,99,2026-01-22T05:00:00Z,61.0,3663,CORRECT,434
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN21-B41.5,"Will the maximum temperature be  41-42° on Jan 21, 2026?",no,0,2026-01-21T19:14:58.518857Z,90,,,2026-01-22T05:00:00Z,,,WRONG,466
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN20-B33.5,"Will the maximum temperature be  33-34° on Jan 20, 2026?",yes,100,2026-01-20T20:03:15.844706Z,90,2026-01-20T23:11:20.396658Z,94,2026-01-21T05:00:00Z,348.6,20919,CORRECT,564
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN19-B41.5,"Will the maximum temperature be  41-42° on Jan 19, 2026?",yes,100,2026-01-19T21:29:26.399263Z,94,2026-01-19T23:54:26.003557Z,98,2026-01-20T05:00:00Z,305.6,18333,CORRECT,673
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN18-B38.5,"Will the maximum temperature be  38-39° on Jan 18, 2026?",yes,100,2026-01-18T15:25:44.974904Z,93,2026-01-18T17:38:04.388727Z,91,2026-01-19T05:00:00Z,681.9,40915,CORRECT,290
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN17-B42.5,"Will the maximum temperature be  42-43° on Jan 17, 2026?",yes,100,2026-01-17T21:58:00.580486Z,90,2026-01-18T04:31:16.361834Z,98,2026-01-18T05:00:00Z,28.7,1723,CORRECT,345
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN16-T36,"Will the maximum temperature be  <36° on Jan 16, 2026?",no,0,2026-01-16T22:16:41.223277Z,90,,,2026-01-17T05:00:00Z,,,WRONG,1000
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN16-B38.5,"Will the maximum temperature be  38-39° on Jan 16, 2026?",yes,100,2026-01-17T02:54:14.806075Z,90,,,2026-01-17T05:00:00Z,,,CORRECT,818
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN16-B36.5,"Will the maximum temperature be  36-37° on Jan 16, 2026?",no,0,2026-01-16T19:07:05.775657Z,95,,,2026-01-17T05:00:00Z,,,WRONG,990
KXHIGHTDC,Washington DC Daily Max Temp,KXHIGHTDC-26JAN15-B45.5,"Will the maximum temperature be  45-46° on Jan 15, 2026?",yes,100,2026-01-15T06:03:19.345665Z,93,2026-01-15T06:03:19.345665Z,93,2026-01-16T05:00:00Z,1376.7,82600,CORRECT,101
