Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
KXSPACEXSTARSHIP,SpaceX Starship launch,KXSPACEXSTARSHIP-11-25OCT31,"Will SpaceX launch another Starship by Oct 31, 2025?",yes,100,2025-09-18T00:48:15.05925Z,90,2025-10-01T23:38:46.908047Z,91,2025-11-01T03:59:00Z,43460.2,2607613,CORRECT,347
KXSPACEXSTARSHIP,SpaceX Starship launch,KXSPACEXSTARSHIP-11-25OCT15,"Will SpaceX launch another Starship by Oct 15, 2025?",yes,100,2025-10-11T18:53:10.688969Z,94,2025-10-13T22:02:59.813708Z,90,2025-10-16T03:59:00Z,3236.0,194160,CORRECT,1000
KXSPACEXSTARSHIP,SpaceX Starship launch,KXSPACEXSTARSHIP-25AUG27,"Will SpaceX launch another Starship by Aug 27, 2025?",yes,100,2025-08-26T23:23:01.343391Z,91,2025-08-26T23:30:12.015448Z,99,2025-08-28T03:59:00Z,1708.8,102527,CORRECT,39
KXSPACEXSTARSHIP,SpaceX Starship launch,KXSPACEXSTARSHIP-25AUG26,"Will SpaceX launch another Starship by Aug 26, 2025?",yes,100,2025-08-26T23:30:04.64013Z,97,2025-08-26T23:30:46.709652Z,99,2025-08-27T03:59:00Z,268.2,16093,CORRECT,381
KXSPACEXSTARSHIP,SpaceX Starship launch,KXSPACEXSTARSHIP-25AUG24,"Will SpaceX launch another Starship by Aug 24, 2025?",no,0,2025-08-24T22:00:38.415808Z,90,,,2025-08-25T03:59:00Z,,,WRONG,479
KXSPACEXSTARSHIP,SpaceX Starship launch,KXSPACEXSTARSHIP-25SEP06,"Will SpaceX launch another Starship by Sep 6, 2025?",yes,100,2025-08-15T16:49:04.980432Z,90,2025-08-25T12:28:18.817626Z,98,2025-09-07T03:59:00Z,18210.7,1092641,CORRECT,186
KXSPACEXSTARSHIP,SpaceX Starship launch,KXSPACEXSTARSHIP-25AUG23,"Will SpaceX launch another Starship by Aug 23, 2025?",no,0,2025-08-11T19:13:39.194899Z,90,,,2025-08-24T03:59:00Z,,,WRONG,820
KXSPACEXSTARSHIP,SpaceX Starship launch,KXSPACEXSTARSHIP-25AUG09,"Will SpaceX launch another Starship by Aug 9, 2025?",no,0,2025-08-02T02:25:04.809552Z,97,,,2025-08-10T03:59:00Z,,,WRONG,81
KXSPACEXSTARSHIP,SpaceX Starship launch,KXSPACEXSTARSHIP-25AUG30,"Will SpaceX launch another Starship by Aug 30, 2025?",yes,100,2025-08-15T17:25:48.259279Z,93,2025-08-26T23:22:11.957602Z,92,2025-08-31T03:59:00Z,6036.8,362208,CORRECT,1000
KXSPACEXSTARSHIP,SpaceX Starship launch,KXSPACEXSTARSHIP-25AUG16,"Will SpaceX launch another Starship by Aug 16, 2025?",no,0,2025-07-30T19:26:01.88251Z,94,,,2025-08-17T03:59:00Z,,,WRONG,880
