Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
KXSOL15M,Solana 15 minutes,KXSOL15M-26FEB120130-30,SOL price up in next 15 mins?,yes,100,2026-02-12T06:25:23.52347Z,90,2026-02-12T06:29:49.674239Z,94,2026-02-12T06:30:00Z,0.2,10,CORRECT,263
KXSOL15M,Solana 15 minutes,KXSOL15M-26FEB120115-15,SOL price up in next 15 mins?,yes,100,2026-02-12T06:12:49.730711Z,90,2026-02-12T06:12:57.122914Z,93,2026-02-12T06:15:00Z,2.0,122,CORRECT,279
KXSOL15M,Solana 15 minutes,KXSOL15M-26FEB120100-00,SOL price up in next 15 mins?,yes,100,2026-02-12T05:59:29.699342Z,96,2026-02-12T05:59:29.699342Z,96,2026-02-12T06:00:00Z,0.5,30,CORRECT,241
KXSOL15M,Solana 15 minutes,KXSOL15M-26FEB120045-45,SOL price up in next 15 mins?,yes,100,2026-02-12T05:36:14.161855Z,90,2026-02-12T05:40:10.984578Z,90,2026-02-12T05:45:00Z,4.8,289,CORRECT,151
KXSOL15M,Solana 15 minutes,KXSOL15M-26FEB120030-30,SOL price up in next 15 mins?,yes,100,2026-02-12T05:22:15.633358Z,92,2026-02-12T05:29:57.463558Z,95,2026-02-12T05:30:00Z,,2,CORRECT,271
KXSOL15M,Solana 15 minutes,KXSOL15M-26FEB120015-15,SOL price up in next 15 mins?,no,0,2026-02-12T05:09:00.897836Z,90,,,2026-02-12T05:15:00Z,,,WRONG,268
KXSOL15M,Solana 15 minutes,KXSOL15M-26FEB112345-45,SOL price up in next 15 mins?,yes,100,2026-02-12T04:37:03.074916Z,91,2026-02-12T04:39:20.152332Z,92,2026-02-12T04:45:00Z,5.7,339,CORRECT,208
KXSOL15M,Solana 15 minutes,KXSOL15M-26FEB112315-15,SOL price up in next 15 mins?,yes,100,2026-02-12T04:08:13.95733Z,90,2026-02-12T04:08:47.040807Z,90,2026-02-12T04:15:00Z,6.2,372,CORRECT,284
KXSOL15M,Solana 15 minutes,KXSOL15M-26FEB112300-00,SOL price up in next 15 mins?,yes,100,2026-02-12T03:56:42.621631Z,90,2026-02-12T03:56:42.621631Z,90,2026-02-12T04:00:00Z,3.3,197,CORRECT,197
KXSOL15M,Solana 15 minutes,KXSOL15M-26FEB112245-45,SOL price up in next 15 mins?,yes,100,2026-02-12T03:34:40.124646Z,90,2026-02-12T03:38:41.315793Z,93,2026-02-12T03:45:00Z,6.3,378,CORRECT,182
KXSOL15M,Solana 15 minutes,KXSOL15M-26FEB112215-15,SOL price up in next 15 mins?,yes,100,2026-02-12T03:04:50.608227Z,94,2026-02-12T03:12:25.243626Z,92,2026-02-12T03:15:00Z,2.6,154,CORRECT,189
KXSOL15M,Solana 15 minutes,KXSOL15M-26FEB112145-45,SOL price up in next 15 mins?,yes,100,2026-02-12T02:33:13.074646Z,90,2026-02-12T02:34:05.466254Z,92,2026-02-12T02:45:00Z,10.9,654,CORRECT,94
KXSOL15M,Solana 15 minutes,KXSOL15M-26FEB112130-30,SOL price up in next 15 mins?,yes,100,2026-02-12T02:25:59.336382Z,90,2026-02-12T02:29:06.539284Z,90,2026-02-12T02:30:00Z,0.9,53,CORRECT,229
KXSOL15M,Solana 15 minutes,KXSOL15M-26FEB112045-45,SOL price up in next 15 mins?,yes,100,2026-02-12T01:37:54.761973Z,90,2026-02-12T01:41:39.882668Z,92,2026-02-12T01:45:00Z,3.3,200,CORRECT,214
KXSOL15M,Solana 15 minutes,KXSOL15M-26FEB112030-30,SOL price up in next 15 mins?,yes,100,2026-02-12T01:27:06.351692Z,90,2026-02-12T01:28:28.612781Z,92,2026-02-12T01:30:00Z,1.5,91,CORRECT,275
KXSOL15M,Solana 15 minutes,KXSOL15M-26FEB112015-15,SOL price up in next 15 mins?,yes,100,2026-02-12T01:07:14.768214Z,90,2026-02-12T01:09:50.846407Z,92,2026-02-12T01:15:00Z,5.2,309,CORRECT,117
KXSOL15M,Solana 15 minutes,KXSOL15M-26FEB112000-00,SOL price up in next 15 mins?,no,0,2026-02-12T00:57:05.545435Z,98,,,2026-02-12T01:00:00Z,,,WRONG,355
