Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
KXBILLBOARDRUNNERUPSONG,Will Song be number 2 on Billboard 100?,KXBILLBOARDRUNNERUPSONG-26FEB14-MAN,"Billboard Hot 100 #2 on Feb 14, 2026 chart?",yes,100,2026-02-07T14:56:49.0302Z,91,2026-02-08T19:52:50.247574Z,91,2026-02-09T03:59:00Z,486.1,29169,CORRECT,29
KXBILLBOARDRUNNERUPSONG,Will Song be number 2 on Billboard 100?,KXBILLBOARDRUNNERUPSONG-26FEB07-GOL,"Billboard Hot 100 #2 on Feb 7, 2026 chart?",no,0,2026-02-01T16:58:02.70129Z,96,,,2026-02-02T03:59:00Z,,,WRONG,45
KXBILLBOARDRUNNERUPSONG,Will Song be number 2 on Billboard 100?,KXBILLBOARDRUNNERUPSONG-26FEB07-CHO,"Billboard Hot 100 #2 on Feb 7, 2026 chart?",yes,100,2026-02-01T10:14:06.398264Z,94,2026-02-01T10:14:06.398264Z,94,2026-02-02T03:59:00Z,1064.9,63893,CORRECT,44
KXBILLBOARDRUNNERUPSONG,Will Song be number 2 on Billboard 100?,KXBILLBOARDRUNNERUPSONG-26JAN31-MAN,"Billboard Hot 100 #2 on Jan 31, 2026 chart?",yes,100,2026-01-23T00:48:00.154314Z,93,,,2026-01-26T03:59:00Z,,,CORRECT,44
KXBILLBOARDRUNNERUPSONG,Will Song be number 2 on Billboard 100?,KXBILLBOARDRUNNERUPSONG-26JAN24-IJU,"Billboard Hot 100 #2 on Jan 24, 2026 chart?",no,0,2026-01-15T02:56:57.563334Z,91,,,2026-01-19T03:59:00Z,,,WRONG,72
KXBILLBOARDRUNNERUPSONG,Will Song be number 2 on Billboard 100?,KXBILLBOARDRUNNERUPSONG-26JAN24-THE,"Billboard Hot 100 #2 on Jan 24, 2026 chart?",yes,100,2026-01-13T16:20:23.417782Z,95,2026-01-18T03:13:47.694993Z,92,2026-01-19T03:59:00Z,1485.2,89112,CORRECT,155
KXBILLBOARDRUNNERUPSONG,Will Song be number 2 on Billboard 100?,KXBILLBOARDRUNNERUPSONG-26JAN17-ORD,"Billboard Hot 100 #2 on Jan 17, 2026 chart?",yes,100,2026-01-11T15:09:38.956841Z,94,2026-01-12T02:06:38.785425Z,96,2026-01-12T03:59:00Z,112.3,6741,CORRECT,34
KXBILLBOARDRUNNERUPSONG,Will Song be number 2 on Billboard 100?,KXBILLBOARDRUNNERUPSONG-26JAN10-GOL,"Billboard Hot 100 #2 on Jan 10, 2026 chart?",yes,100,2025-12-31T08:57:57.527122Z,91,2025-12-31T08:57:57.527122Z,91,2026-01-05T03:59:00Z,6901.0,414062,CORRECT,5
KXBILLBOARDRUNNERUPSONG,Will Song be number 2 on Billboard 100?,KXBILLBOARDRUNNERUPSONG-26JAN03-ROC,"Billboard Hot 100 #2 on Jan 3, 2026 chart?",yes,100,2025-12-23T03:52:09.808543Z,92,2025-12-28T16:48:54.084666Z,90,2025-12-29T03:59:00Z,670.1,40205,CORRECT,474
KXBILLBOARDRUNNERUPSONG,Will Song be number 2 on Billboard 100?,KXBILLBOARDRUNNERUPSONG-26JAN03-LAS,"Billboard Hot 100 #2 on Jan 3, 2026 chart?",no,0,2025-12-22T14:09:17.418394Z,99,,,2025-12-29T03:59:00Z,,,WRONG,60
KXBILLBOARDRUNNERUPSONG,Will Song be number 2 on Billboard 100?,KXBILLBOARDRUNNERUPSONG-26JAN03-JIN,"Billboard Hot 100 #2 on Jan 3, 2026 chart?",no,0,2025-12-23T13:29:03.344678Z,95,,,2025-12-29T03:59:00Z,,,WRONG,603
KXBILLBOARDRUNNERUPSONG,Will Song be number 2 on Billboard 100?,KXBILLBOARDRUNNERUPSONG-25DEC27-JIN,"Billboard Hot 100 #2 on Dec 27, 2025 chart?",yes,100,2025-12-21T00:21:42.153526Z,94,,,2025-12-22T03:59:00Z,,,CORRECT,103
