Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
KXBOOSTER,COVID boosters,BOOSTER-22APR27-T100.2,"Will more than 100.2 million Americans have **COVID-19 boosters** by April 27, 2022?",yes,100,2022-04-25T01:52:47.322886Z,94,2022-04-25T14:47:57.641543Z,96,2022-04-27T14:04:47.85529Z,2836.8,170210,CORRECT,23
KXBOOSTER,COVID boosters,BOOSTER-22MAY1-T100,"Will more than 100 million Americans have **COVID-19 boosters** by May 1, 2022?",yes,100,2022-04-13T18:41:30.994887Z,95,2022-04-13T18:41:30.994887Z,95,2022-04-26T14:05:49.338412Z,18444.3,1106658,CORRECT,11
KXBOOSTER,COVID boosters,BOOSTER-22APR06-T98.1,"Will more than 98.1 million Americans have **COVID-19 boosters** by April 6, 2022?",yes,100,2022-04-01T14:05:04.907777Z,90,2022-04-01T20:18:43.567805Z,90,2022-04-06T14:08:34.182437Z,6829.8,409790,CORRECT,31
KXBOOSTER,COVID boosters,BOOSTER-22MAR09-T95,Will more than 95.5 million Americans have **COVID-19 boosters** by March 9?,no,0,2022-03-03T23:32:28.185348Z,92,,,2022-03-09T16:59:00Z,,,WRONG,154
KXBOOSTER,COVID boosters,BOOSTER-22MAR02-T94,Will more than 94.5 million Americans have **COVID-19 boosters** by March 2?,yes,100,2022-02-25T20:25:04.971679Z,99,,,2022-03-02T16:59:00Z,,,CORRECT,284
KXBOOSTER,COVID boosters,BOOSTER-22FEB16-T92,"Will more than 92 million Americans have **COVID-19 boosters** by February 16, 2022?",yes,100,2022-02-13T19:28:12.607931Z,90,2022-02-15T19:17:23.350636Z,92,2022-02-16T16:59:00Z,1301.6,78096,CORRECT,410
KXBOOSTER,COVID boosters,BOOSTER-22JAN15-T78,"Will more than 78 million Americans have **COVID-19 boosters** by January 19, 2022?",yes,100,2022-01-12T19:25:30.865263Z,94,2022-01-12T19:25:30.865263Z,94,2022-01-15T15:02:15.265705Z,4056.7,243404,CORRECT,15
KXBOOSTER,COVID boosters,BOOSTER-21DEC20-T60,"Will more than 60 million Americans receive a **booster shot** for COVID-19 by December 20, 2021?",yes,100,2021-12-19T17:32:48.833766Z,90,2021-12-19T17:32:48.833766Z,90,2021-12-20T16:00:00Z,1347.2,80831,CORRECT,269
KXBOOSTER,COVID boosters,BOOSTER-21DEC13-T52,"Will more than 52 million Americans receive a **booster shot** for COVID-19 by December 13, 2021?",yes,100,2021-12-10T01:49:27.809395Z,90,2021-12-10T01:49:27.809395Z,90,2021-12-13T16:00:00Z,5170.5,310232,CORRECT,92
KXBOOSTER,COVID boosters,BOOSTER-21DEC06-T42,"Will more than 42 million Americans receive a **booster shot** for COVID-19 by December 6, 2021?",yes,100,2021-11-29T20:38:05.54482Z,91,2021-11-29T20:38:05.54482Z,91,2021-12-06T16:00:00Z,9801.9,588114,CORRECT,33
