Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN22-TRUM,What will Martin Short say during Jimmy Kimmel Live!?,yes,100,2026-01-22T04:52:48.815227Z,90,2026-01-22T05:14:39.042186Z,99,2026-01-22T15:00:00Z,585.3,35120,CORRECT,1000
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN22-STEV,What will Martin Short say during Jimmy Kimmel Live!?,yes,100,2026-01-21T00:22:31.733023Z,90,2026-01-22T05:00:13.696749Z,94,2026-01-22T15:00:00Z,599.8,35986,CORRECT,389
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN22-SELE,What will Martin Short say during Jimmy Kimmel Live!?,yes,100,2026-01-20T03:43:11.149769Z,91,2026-01-22T04:59:57.768676Z,92,2026-01-22T15:00:00Z,600.0,36002,CORRECT,443
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN22-GOLD,What will Martin Short say during Jimmy Kimmel Live!?,yes,100,2026-01-22T04:46:56.513389Z,91,2026-01-22T05:00:11.734787Z,92,2026-01-22T15:00:00Z,599.8,35988,CORRECT,398
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN16-SHAK,What will Jessie Buckley say during Jimmy Kimmel Live!?,yes,100,2026-01-16T05:32:51.331312Z,97,2026-01-16T05:32:51.331312Z,95,2026-01-16T15:00:00Z,567.1,34028,CORRECT,109
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN16-PAUL,What will Jessie Buckley say during Jimmy Kimmel Live!?,yes,100,2026-01-16T05:27:58.6441Z,91,2026-01-16T05:28:03.447543Z,99,2026-01-16T15:00:00Z,571.9,34316,CORRECT,71
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN16-IRIS,What will Jessie Buckley say during Jimmy Kimmel Live!?,yes,100,2026-01-16T05:31:07.818874Z,97,2026-01-16T05:31:08.974664Z,98,2026-01-16T15:00:00Z,568.9,34131,CORRECT,136
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN16-HAMN,What will Jessie Buckley say during Jimmy Kimmel Live!?,yes,100,2026-01-16T02:42:47.968549Z,90,2026-01-16T05:33:03.710675Z,99,2026-01-16T15:00:00Z,566.9,34016,CORRECT,261
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN16-GOLD,What will Jessie Buckley say during Jimmy Kimmel Live!?,yes,100,2026-01-16T05:29:31.650655Z,90,2026-01-16T05:29:35.275317Z,91,2026-01-16T15:00:00Z,570.4,34224,CORRECT,120
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN14-PITT,What will Noah Wyle say during Jimmy Kimmel Live!?,yes,100,2026-01-14T03:19:09.960031Z,99,2026-01-14T05:07:12.701239Z,96,2026-01-14T15:00:00Z,592.8,35567,CORRECT,155
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN14-GOLD,What will Noah Wyle say during Jimmy Kimmel Live!?,yes,100,2026-01-14T04:58:15.123778Z,95,2026-01-14T05:28:18.710104Z,98,2026-01-14T15:00:00Z,571.7,34301,CORRECT,220
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN14-ER,What will Noah Wyle say during Jimmy Kimmel Live!?,yes,100,2026-01-14T05:08:50.188556Z,93,2026-01-14T05:08:50.188556Z,93,2026-01-14T15:00:00Z,591.1,35469,CORRECT,164
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN14-DOCT,What will Noah Wyle say during Jimmy Kimmel Live!?,yes,100,2026-01-14T04:27:58.053723Z,91,2026-01-14T05:00:10.640836Z,90,2026-01-14T15:00:00Z,599.8,35989,CORRECT,295
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN14-COVI,What will Noah Wyle say during Jimmy Kimmel Live!?,yes,100,2026-01-14T05:10:44.092535Z,97,,,2026-01-14T15:00:00Z,,,CORRECT,613
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN15-PRAN,What will Johnny Knoxville say during Jimmy Kimmel Live!?,yes,100,2026-01-15T04:45:13.453208Z,90,2026-01-15T05:01:51.007021Z,97,2026-01-15T15:00:00Z,598.1,35888,CORRECT,284
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN15-MOVI,What will Johnny Knoxville say during Jimmy Kimmel Live!?,yes,100,2026-01-13T03:04:06.952327Z,91,2026-01-15T05:05:34.980461Z,93,2026-01-15T15:00:00Z,594.4,35665,CORRECT,767
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN15-FILM,What will Johnny Knoxville say during Jimmy Kimmel Live!?,yes,100,2026-01-13T04:16:36.937304Z,90,2026-01-15T05:07:32.294539Z,90,2026-01-15T15:00:00Z,592.5,35547,CORRECT,430
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN15-BAM,What will Johnny Knoxville say during Jimmy Kimmel Live!?,no,0,2026-01-13T02:11:38.399915Z,91,,,2026-01-15T15:00:00Z,,,WRONG,393
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN09-MADU,What will Rachel Maddow say during Jimmy Kimmel Live!?,yes,100,2026-01-09T05:24:13.04316Z,91,2026-01-09T05:24:28.727798Z,99,2026-01-09T15:00:00Z,575.5,34531,CORRECT,346
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN09-TRUM,What will Rachel Maddow say during Jimmy Kimmel Live!?,yes,100,2026-01-04T23:59:49.719947Z,91,2026-01-09T05:25:02.382804Z,96,2026-01-09T15:00:00Z,575.0,34497,CORRECT,571
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN09-ICE,What will Rachel Maddow say during Jimmy Kimmel Live!?,no,0,2026-01-08T19:11:15.128049Z,90,,,2026-01-09T15:00:00Z,,,WRONG,1000
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN09-HEAL,What will Rachel Maddow say during Jimmy Kimmel Live!?,yes,100,2026-01-09T05:24:06.216868Z,99,2026-01-09T05:24:06.216868Z,91,2026-01-09T15:00:00Z,575.9,34553,CORRECT,644
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-25DEC26-FREE,What will Jimmy Kimmel say during Alternative Christmas Message?,no,0,2025-12-25T16:02:38.755245Z,96,,,2025-12-25T19:38:22.143913Z,,,WRONG,342
