Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
KX538APPROVEMAX,Biden 538 highest approval rating,KX538APPROVEMAX-24NOV30-T42,"Will the President's approval rating ever get above 42% by Nov 30, 2024?",no,0,2024-11-08T16:14:20.632319Z,97,,,2024-12-01T04:59:00Z,,,WRONG,80
KX538APPROVEMAX,Biden 538 highest approval rating,538APPROVEMAX-24SEP30-T42,"Will the President's approval rating ever get above 42% by Sep 30, 2024?",yes,100,2024-09-02T17:01:14.182747Z,99,2024-09-02T17:01:14.182747Z,99,2024-09-03T14:02:12.96185Z,1261.0,75658,CORRECT,1
KX538APPROVEMAX,Biden 538 highest approval rating,538APPROVEMAX-24SEP30-T41,"Will the President's approval rating ever get above 41% by Sep 30, 2024?",yes,100,2024-09-02T16:14:47.118995Z,99,2024-09-02T16:14:47.118995Z,99,2024-09-03T14:01:52.07237Z,1307.1,78424,CORRECT,1
KX538APPROVEMAX,Biden 538 highest approval rating,538APPROVEMAX-24AUG31-T39,"Will the President's approval rating ever get above 39% by Aug 31, 2024?",yes,100,2024-08-03T20:16:03.624232Z,96,2024-08-03T20:16:03.624232Z,96,2024-08-04T14:00:15.49711Z,1064.2,63851,CORRECT,11
KX538APPROVEMAX,Biden 538 highest approval rating,538APPROVEMAX-24AUG31-T40,"Will the President's approval rating ever get above 40% by Aug 31, 2024?",yes,100,2024-08-29T18:36:14.87915Z,95,2024-08-29T18:36:14.87915Z,95,2024-08-30T14:01:06.557032Z,1164.8,69891,CORRECT,203
KX538APPROVEMAX,Biden 538 highest approval rating,538APPROVEMAX-24JUL31-T38,"Will the President's approval rating ever get above 38% by Jul 31, 2024?",yes,100,2024-07-16T13:24:28.004894Z,97,2024-07-16T21:11:32.628012Z,93,2024-07-17T14:09:36.444587Z,1018.0,61083,CORRECT,212
KX538APPROVEMAX,Biden 538 highest approval rating,538APPROVEMAX-24JUL31-T40,"Will Biden's approval rating ever get above 40% by Jul 31, 2024?",no,0,2024-07-03T16:00:53.470842Z,97,,,2024-08-01T03:59:00Z,,,WRONG,256
KX538APPROVEMAX,Biden 538 highest approval rating,538APPROVEMAX-24JUN30-T39,"Will Biden's approval rating ever get above 39% by Jun 30, 2024?",yes,100,2024-06-21T00:08:48.884151Z,97,2024-06-21T00:08:48.884151Z,97,2024-06-21T14:00:10.211721Z,831.4,49881,CORRECT,50
KX538APPROVEMAX,Biden 538 highest approval rating,538APPROVEMAX-24MAR31-T40,"Will Biden's approval rating ever get above 40% by Mar 31, 2024?",yes,100,2024-03-21T15:02:33.503737Z,97,,,2024-03-22T14:01:24.06363Z,,,CORRECT,87
KX538APPROVEMAX,Biden 538 highest approval rating,538APPROVEMAX-24DEC31-T41,"Will Biden's approval rating ever get above 41% by Dec 31, 2024?",yes,100,2024-08-30T20:05:44.509908Z,99,2024-08-30T20:05:44.509908Z,99,2024-09-03T14:02:33.92956Z,5396.8,323809,CORRECT,33
