Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,KXFLIGHTJFK-25NOV13-T200,"Will there be more than 200 delays and cancellations at JFK on November 13, 2025?",yes,100,2025-11-13T22:23:18.906057Z,90,2025-11-13T22:49:21.366818Z,90,2025-11-14T04:59:00Z,369.6,22178,CORRECT,52
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,KXFLIGHTJFK-25NOV12-T200,"Will there be more than 200 delays and cancellations at JFK on November 12, 2025?",no,0,2025-11-12T07:26:08.079964Z,99,,,2025-11-13T04:59:00Z,,,WRONG,57
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,KXFLIGHTJFK-25NOV11-T200,"Will there be more than 200 delays and cancellations at JFK on November 11, 2025?",yes,100,2025-11-11T17:42:57.242633Z,95,2025-11-11T17:42:57.242633Z,95,2025-11-12T04:59:00Z,676.0,40562,CORRECT,22
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,KXFLIGHTJFK-25NOV10-T400,"Will there be more than 400 delays and cancellations at JFK on November 10, 2025?",yes,100,2025-11-10T18:18:47.580438Z,97,2025-11-10T20:50:39.010679Z,92,2025-11-11T04:59:00Z,488.3,29300,CORRECT,52
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22AUG31-T600,"Will there be more than 600 delays and cancellations at JFK on August 31, 2022?",no,0,2022-08-31T15:48:33.468161Z,95,,,2022-09-01T03:59:00Z,,,WRONG,14
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22AUG30-T400,"Will there be more than 400 delays and cancellations at JFK on August 30, 2022?",yes,100,2022-08-30T21:48:05.719415Z,92,2022-08-31T00:12:50.079188Z,94,2022-08-31T03:59:00Z,226.2,13569,CORRECT,30
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22AUG29-T400,"Will there be more than 400 delays and cancellations at JFK on August 29, 2022?",yes,100,2022-08-29T23:14:49.806748Z,90,2022-08-30T01:43:34.666823Z,92,2022-08-30T03:59:00Z,135.4,8125,CORRECT,28
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22AUG23-T400,"Will there be more than 400 delays and cancellations at JFK on August 23, 2022?",yes,100,2022-08-23T23:51:04.748553Z,99,,,2022-08-24T03:59:00Z,,,CORRECT,319
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22AUG22-T600,"Will there be more than 600 delays and cancellations at JFK on August 22, 2022?",yes,100,2022-08-22T21:52:04.073728Z,99,2022-08-22T21:52:04.073728Z,99,2022-08-23T03:59:00Z,366.9,22015,CORRECT,53
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22AUG22-T400,"Will there be more than 400 delays and cancellations at JFK on August 22, 2022?",yes,100,2022-08-22T15:00:04.962536Z,92,2022-08-22T15:00:04.962536Z,92,2022-08-23T03:59:00Z,778.9,46735,CORRECT,53
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22AUG21-T400,"Will there be more than 400 delays and cancellations at JFK on August 21, 2022?",yes,100,2022-08-21T18:49:21.088417Z,91,2022-08-21T20:14:28.383263Z,90,2022-08-22T03:59:00Z,464.5,27871,CORRECT,75
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22AUG17-T400,"Will there be more than 400 delays and cancellations at JFK on August 17, 2022?",no,0,2022-08-17T21:07:25.318487Z,90,,,2022-08-18T03:59:00Z,,,WRONG,332
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22AUG12-T400,"Will there be more than 400 delays and cancellations at JFK on August 12, 2022?",yes,100,2022-08-12T15:13:31.992323Z,91,2022-08-13T00:03:39.605495Z,94,2022-08-13T03:59:00Z,235.3,14120,CORRECT,79
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22AUG11-T400,"Will there be more than 400 delays and cancellations at JFK on August 11, 2022?",yes,100,2022-08-11T15:30:56.305235Z,90,2022-08-11T15:30:56.305235Z,90,2022-08-12T03:59:00Z,748.0,44883,CORRECT,30
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22AUG10-T400,"Will there be more than 400 delays and cancellations at JFK on August 10, 2022?",yes,100,2022-08-10T17:59:31.695467Z,98,2022-08-10T21:42:40.258072Z,97,2022-08-11T03:59:00Z,376.3,22579,CORRECT,155
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22AUG09-T400,"Will there be more than 400 delays and cancellations at JFK on August 09, 2022?",yes,100,2022-08-10T01:27:08.242014Z,90,2022-08-10T01:27:08.242014Z,90,2022-08-10T03:59:00Z,151.8,9111,CORRECT,11
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22AUG07-T600,"Will there be more than 600 delays and cancellations at JFK on August 07, 2022?",yes,100,2022-08-08T01:42:48.59814Z,94,2022-08-08T01:42:48.59814Z,94,2022-08-08T03:59:00Z,136.2,8171,CORRECT,7
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22AUG07-T400,"Will there be more than 400 delays and cancellations at JFK on August 07, 2022?",yes,100,2022-08-07T23:26:46.072537Z,98,2022-08-07T23:26:46.072537Z,98,2022-08-08T03:59:00Z,272.2,16333,CORRECT,2
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22AUG06-T400,"Will there be more than 400 delays and cancellations at JFK on August 06, 2022?",yes,100,2022-08-06T15:07:06.194245Z,93,2022-08-06T15:07:06.194245Z,93,2022-08-07T03:59:00Z,771.9,46313,CORRECT,42
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22AUG05-T600,"Will there be more than 600 delays and cancellations at JFK on August 05, 2022?",yes,100,2022-08-06T02:28:36.976205Z,98,2022-08-06T02:28:36.976205Z,98,2022-08-06T03:59:00Z,90.4,5423,CORRECT,2
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22AUG04-T400,"Will there be more than 400 delays and cancellations at JFK on August 04, 2022?",yes,100,2022-08-04T21:32:04.465331Z,96,2022-08-04T21:32:04.465331Z,96,2022-08-05T03:59:00Z,386.9,23215,CORRECT,87
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22JUL28-T400,"Will there be more than 400 delays and cancellations at JFK on July 28, 2022?",yes,100,2022-07-28T19:27:07.788083Z,99,2022-07-28T19:27:07.788083Z,99,2022-07-29T03:59:00Z,511.9,30712,CORRECT,74
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22JUL27-T400,"Will there be more than 400 delays and cancellations at JFK on July 27, 2022?",no,0,2022-07-27T18:06:42.889064Z,95,,,2022-07-28T03:59:00Z,,,WRONG,26
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22JUL26-T400,"Will there be more than 400 delays and cancellations at JFK on July 26, 2022?",yes,100,2022-07-26T12:45:13.302105Z,93,2022-07-26T13:18:48.834666Z,90,2022-07-27T03:59:00Z,880.2,52811,CORRECT,80
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22JUL25-T600,"Will there be more than 600 delays and cancellations at JFK on July 25, 2022?",yes,100,2022-07-25T14:51:17.796813Z,90,2022-07-25T14:51:17.796813Z,90,2022-07-26T03:59:00Z,787.7,47262,CORRECT,109
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22JUL25-T500,"Will there be more than 500 delays and cancellations at JFK on July 25, 2022?",yes,100,2022-07-25T16:26:42.48462Z,99,2022-07-25T16:26:42.48462Z,99,2022-07-26T03:59:00Z,692.3,41537,CORRECT,94
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22JUL24-T400,"Will there be more than 400 delays and cancellations at JFK on July 24, 2022?",yes,100,2022-07-24T18:18:11.744802Z,99,2022-07-25T01:08:50.055252Z,95,2022-07-25T03:59:00Z,170.2,10209,CORRECT,143
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22JUL18-T500,"Will there be more than 500 delays and cancellations at JFK on July 18, 2022?",yes,100,2022-07-18T19:27:18.388065Z,99,2022-07-18T20:33:51.830082Z,90,2022-07-19T03:59:00Z,445.1,26708,CORRECT,127
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22JUL18-T300,"Will there be more than 300 delays and cancellations at JFK on July 18, 2022?",yes,100,2022-07-18T17:07:54.257094Z,98,2022-07-18T17:07:54.257094Z,98,2022-07-19T03:59:00Z,651.1,39065,CORRECT,64
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22JUL17-T400,"Will there be more than 400 delays and cancellations at JFK on July 17, 2022?",yes,100,2022-07-18T00:55:35.664501Z,90,2022-07-18T03:43:37.850498Z,95,2022-07-18T03:59:00Z,15.4,922,CORRECT,128
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22JUL16-T400,"Will there be more than 400 delays and cancellations at JFK on July 16, 2022?",yes,100,2022-07-17T01:25:34.455405Z,99,2022-07-17T01:25:34.455405Z,99,2022-07-17T03:59:00Z,153.4,9205,CORRECT,211
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,FLIGHTJFK-22JUL16-T300,"Will there be more than 300 delays and cancellations at JFK on July 16, 2022?",yes,100,2022-07-16T21:03:57.008082Z,90,2022-07-16T21:13:19.593543Z,91,2022-07-17T03:59:00Z,405.7,24340,CORRECT,69
KXFLIGHTLAX,Los Angeles International Airport total delays and cancellations,KXFLIGHTLAX-25NOV13-T200,"Will there be more than 200 delays and cancellations at Los Angeles on November 13, 2025?",yes,100,2025-11-13T00:38:41.557884Z,94,2025-11-13T21:30:47.214762Z,96,2025-11-14T04:59:00Z,448.2,26892,CORRECT,75
KXFLIGHTLAX,Los Angeles International Airport total delays and cancellations,KXFLIGHTLAX-25NOV11-T600,"Will there be more than 600 delays and cancellations at Los Angeles on November 11, 2025?",no,0,2025-11-11T10:36:19.587039Z,99,,,2025-11-12T04:59:00Z,,,WRONG,12
KXFLIGHTLAX,Los Angeles International Airport total delays and cancellations,KXFLIGHTLAX-25NOV11-T200,"Will there be more than 200 delays and cancellations at Los Angeles on November 11, 2025?",no,0,2025-11-11T18:05:16.123871Z,96,,,2025-11-12T04:59:00Z,,,WRONG,69
KXFLIGHTLAX,Los Angeles International Airport total delays and cancellations,KXFLIGHTLAX-25NOV10-T600,"Will there be more than 600 delays and cancellations at Los Angeles on November 10, 2025?",no,0,2025-11-10T19:40:50.351907Z,90,,,2025-11-11T04:59:00Z,,,WRONG,84
