ticker,category,wait_minutes,median_gap_minutes,total_markets,wins,accuracy,profitable,kelly_fraction
KXNCAAFGAME,Football,3,11.733984066666666,51,50,98.0392156862745,True,0.25
KXATPMATCH,Tennis,5,18.31726313333333,70,68,97.14285714285714,True,0.25
KXWTAMATCH,Tennis,3,11.863803216666668,88,85,96.5909090909091,True,0.25
KXNCAAFTOTAL,Football,5,45.104683,105,101,96.1904761904762,True,0.25
KXSCOTTISHPREMGAME,Soccer,3,6.593384599999999,52,50,96.15384615384616,True,0.25
KXNHLGAME,Hockey,3,7.574111683333333,75,72,96.0,True,0.25
KXNBATOTAL,Basketball,5,25.46696495,84,80,95.23809523809524,True,0.25
KXNFLTOTAL,Football,5,26.497942625,78,74,94.87179487179486,True,0.25
KXFIFAGAME,Esports,5,16.774749183333334,58,55,94.82758620689656,True,0.25
KXATPCHALLENGERMATCH,Tennis,3,12.455084708333334,76,72,94.73684210526316,True,0.25
KXLIGUE1GAME,Soccer,3,5.96295915,57,54,94.73684210526316,True,0.25
KXEUROLEAGUEGAME,Other Sports,3,8.55334455,89,84,94.3820224719101,True,0.25
KXMLBGAME,Baseball,5,29.58665768333333,65,61,93.84615384615384,True,0.25
KXNFLPREPACKSGP,Football,3,12.562076783333334,32,30,93.75,True,0.25
KXNFLSPREAD,Football,3,7.714590558333333,46,43,93.47826086956522,True,0.25
KXINXZ,Stock Indices,5,49.976666083333335,46,43,93.47826086956522,True,0.25
KXUFCFIGHT,MMA,3,5.3357057,44,41,93.18181818181816,True,0.2424242424242392
KXSAUDIPLGAME,Soccer,3,8.340808266666667,58,54,93.10344827586206,True,0.2337164750957849
KXWTACHALLENGERMATCH,Tennis,5,28.61217543333333,72,67,93.05555555555556,True,0.22839506172839516
KXBTC15M,Bitcoin,1,3.358754283333333,55,51,92.72727272727272,True,0.19191919191919138
KXMLBSPREAD,Baseball,5,30.25746468333333,40,37,92.5,True,0.16666666666666696
KXSOL15M,Solana,1,3.4165898833333337,53,49,92.45283018867924,True,0.16142557651991615
KXUNITEDCUPMATCH,Tennis,3,12.006374633333332,39,36,92.3076923076923,True,0.14529914529914434
KXUCLGAME,Soccer,1,3.7912596833333336,51,47,92.15686274509804,True,0.12854030501089242
KXUELGAME,Soccer,3,5.626678066666667,58,53,91.3793103448276,True,0.042145593869733336
KXEPLGAME,Soccer,1,2.5487093,46,42,91.30434782608695,True,0.03381642512077209
KXSUPERLIGGAME,Soccer,1,4.587217058333334,56,51,91.07142857142856,True,0.007936507936506167
