Hierarchical_Path,Category,Sub_Category,Sub_Sub_Category,Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),First Touch Price (¢),First Touch Time,Permanent Cross Time,Market Close Time,Prediction Correct,Trades Count
Climate and Weather > Severe Weather,Climate and Weather,Severe Weather,,KXTORNADO,Number of Tornadoes,KXTORNADO-25APR-200,Will there be more than 200 tornadoes in April?,yes,100,91,2025-03-31T18:58:29.4457Z,2025-04-09T00:29:18.798255Z,2025-05-01T03:59:00Z,CORRECT,171
Climate and Weather > Severe Weather,Climate and Weather,Severe Weather,,KXTORNADO,Number of Tornadoes,KXTORNADO-25APR-300,Will there be more than 300 tornadoes in April?,yes,100,94,2025-04-02T15:28:06.349616Z,2025-04-26T15:20:54.820381Z,2025-05-01T03:59:00Z,CORRECT,1000
Climate and Weather > Severe Weather,Climate and Weather,Severe Weather,,KXTORNADO,Number of Tornadoes,KXTORNADO-25APR-250,Will there be more than 250 tornadoes in April?,yes,100,91,2025-04-03T12:03:14.472956Z,2025-04-23T21:36:31.170022Z,2025-05-01T03:59:00Z,CORRECT,698
Climate and Weather > Severe Weather,Climate and Weather,Severe Weather,,KXTORNADO,Number of Tornadoes,KXTORNADO-25APR-325,Will there be more than 325 tornadoes in April?,yes,100,93,2025-04-27T18:02:12.798743Z,2025-04-30T21:16:41.046865Z,2025-05-01T03:59:00Z,CORRECT,386
Climate and Weather > Severe Weather,Climate and Weather,Severe Weather,,KXTORNADO,Number of Tornadoes,KXTORNADO-25MAY-200,Will there be more than 200 tornadoes in May?,yes,100,95,2025-05-02T13:41:12.067054Z,2025-05-20T06:23:15.302295Z,2025-06-01T03:59:00Z,CORRECT,330
Climate and Weather > Severe Weather,Climate and Weather,Severe Weather,,KXTORNADO,Number of Tornadoes,KXTORNADO-25MAY-250,Will there be more than 250 tornadoes in May?,yes,100,92,2025-05-21T13:17:03.315816Z,2025-05-21T13:17:03.315816Z,2025-06-01T03:59:00Z,CORRECT,433
Climate and Weather > Severe Weather,Climate and Weather,Severe Weather,,KXTORNADO,Number of Tornadoes,KXTORNADO-25MAY-275,Will there be more than 275 tornadoes in May?,yes,100,90,2025-05-22T23:32:29.086402Z,2025-05-22T23:45:49.14658Z,2025-06-01T03:59:00Z,CORRECT,156
Climate and Weather > Severe Weather,Climate and Weather,Severe Weather,,KXTORNADO,Number of Tornadoes,KXTORNADO-25MAY-300,Will there be more than 300 tornadoes in May?,yes,100,90,2025-05-23T20:46:46.23149Z,2025-05-27T03:08:14.150661Z,2025-06-01T03:59:00Z,CORRECT,874
Climate and Weather > Severe Weather,Climate and Weather,Severe Weather,,KXTORNADO,Number of Tornadoes,KXTORNADO-25MAY-325,Will there be more than 325 tornadoes in May?,yes,100,92,2025-05-29T22:03:19.347109Z,2025-05-30T14:02:03.933335Z,2025-06-01T03:59:00Z,CORRECT,226
Climate and Weather > Severe Weather,Climate and Weather,Severe Weather,,KXTORNADO,Number of Tornadoes,KXTORNADO-25JUN-50,Will there be more than 50 tornadoes in June?,yes,100,97,2025-05-29T22:22:54.278789Z,2025-05-29T22:22:54.278789Z,2025-07-01T03:59:00Z,CORRECT,8
Climate and Weather > Severe Weather,Climate and Weather,Severe Weather,,KXTORNADO,Number of Tornadoes,KXTORNADO-25JUN-75,Will there be more than 75 tornadoes in June?,yes,100,96,2025-05-29T22:23:04.510023Z,2025-05-31T16:17:45.92395Z,2025-07-01T03:59:00Z,CORRECT,8
Climate and Weather > Severe Weather,Climate and Weather,Severe Weather,,KXTORNADO,Number of Tornadoes,KXTORNADO-25JUN-175,Will there be more than 175 tornadoes in June?,yes,100,90,2025-06-17T23:44:37.136103Z,2025-06-17T23:44:37.136103Z,2025-07-01T03:59:00Z,CORRECT,45
Climate and Weather > Severe Weather,Climate and Weather,Severe Weather,,KXTORNADO,Number of Tornadoes,KXTORNADO-25JUN-225,Will there be more than 225 tornadoes in June?,yes,100,92,2025-06-26T18:45:04.054204Z,2025-06-27T19:44:26.740212Z,2025-07-01T03:59:00Z,CORRECT,807
Climate and Weather > Severe Weather,Climate and Weather,Severe Weather,,KXTORNADO,Number of Tornadoes,KXTORNADO-25JUN-250,Will there be more than 250 tornadoes in June?,yes,100,94,2025-06-29T12:00:30.45Z,2025-07-01T03:58:14.492864Z,2025-07-01T03:59:00Z,CORRECT,519
Climate and Weather > Severe Weather,Climate and Weather,Severe Weather,,KXTORNADO,Number of Tornadoes,KXTORNADO-25JUL-100,Will there be more than 100 tornadoes in July?,no,0,90,2025-07-01T04:17:57.101535Z,,2025-08-01T03:59:00Z,WRONG,585
