Hierarchical_Path,Total_Markets,Correct,Accuracy,EV_per_Contract,Break_Even_Accuracy
Sports > Basketball > NCAA Men's Basketball,20,20,1.0,7.955574999999997,0.9204442500000001
Sports > Soccer > Scottish Premiership,59,57,0.9661016949152542,4.565744491525419,0.9204442500000001
Sports > Tennis > WTA,95,91,0.9578947368421052,3.7450486842105204,0.9204442500000001
Sports > Tennis > ATP Challenger,85,80,0.9411764705882353,2.0732220588235246,0.9204442500000001
Sports > Esports > FIFA,72,67,0.9305555555555556,1.0111305555555545,0.9204442500000001
Sports > Football > NCAA Football,311,289,0.9292604501607717,0.8816200160771711,0.9204442500000001
Crypto > Bitcoin,55,51,0.9272727272727272,0.6828477272727215,0.9204442500000001
Economics > GDP,76,70,0.9210526315789473,0.060838157894732015,0.9204442500000001
Financials > Stock Indices,127,116,0.9133858267716536,-0.7058423228346443,0.9204442500000001
Sports > Soccer > Super League Greece,23,21,0.9130434782608695,-0.7400771739130517,0.9204442500000001
Sports > Tennis > United Cup,55,50,0.9090909090909091,-1.135334090909096,0.9204442500000001
Sports > Soccer > UEFA Europa League,65,59,0.9076923076923077,-1.2751942307692343,0.9204442500000001
Sports > Soccer > Turkish Super Lig,64,58,0.90625,-1.4194250000000035,0.9204442500000001
Sports > Tennis > WTA Challenger,85,77,0.9058823529411765,-1.4561897058823559,0.9204442500000001
Sports > Hockey > Winter Olympics,21,19,0.9047619047619048,-1.5682345238095263,0.9204442500000001
Climate and Weather > Severe Weather,21,19,0.9047619047619048,-1.5682345238095263,0.9204442500000001
