ticker,title,category,series_ticker,result,hit_90_percent,crossing_timestamp,crossing_price,volume,signal_timing
KXMVESPORTSMULTIGAMEEXTENDED-S2026626E45632E3-6971AD6ECEE,"yes Jalen Brunson: 25+,yes Karl-Anthony Towns: 15+,yes Jalen Brunson: 4+,yes Josh Hart: 9+,yes Karl-Anthony Towns: 8+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026193A78A4749-10E5D1F795E,"yes Jalen Brunson: 25+,yes Karl-Anthony Towns: 15+,yes Jalen Brunson: 4+,yes Josh Hart: 9+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20265FE229F3520-BF825C71822,"yes Pittsburgh,yes Nebraska",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026DC299D1555C-EB59EE3F6DC,"yes Arkansas,yes Colorado St.,yes Western Illinois,yes Iowa St.,yes Villanova,yes Arizona St.,yes Purdue,yes Illinois,no Villanova wins by over 3.5 Points,no Illinois wins by over 11.5 Points,yes Over 161.5 points scored,no Over 143.5 points scored,no Over 139.5 points scored,no Over 141.5 points scored,yes Over 142.5 points scored,yes Over 154.5 points scored,no Over 142.5 points scored",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,1538,
KXMVESPORTSMULTIGAMEEXTENDED-S2026C6446459670-DCE4696E084,"yes TCU,yes Arizona St.,yes Nebraska",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20267713D13BBA2-B7B63F2066E,"yes Villanova,yes Purdue,no Over 142.5 points scored",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026A21F16ED4C8-159F307F4FD,"yes Arkansas,yes Eastern Illinois,yes Houston,yes Marquette,yes Arizona St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20269F4244FBA48-4D28FCA2BE7,"yes Arkansas,yes Western Illinois,yes Iowa St.,yes Villanova,yes Arizona St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20260898602C6F1-F1B90AF1F39,"yes Arkansas,yes Eastern Illinois,yes Marquette,yes Arizona St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20260898602C6F1-B87B4A0FDAB,"yes Arkansas,yes Eastern Illinois,yes Marquette,yes Oklahoma St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
