ticker,title,category,series_ticker,result,hit_90_percent,data_method,crossing_timestamp,crossing_price,volume,signal_timing
KXNCAAMBTOTAL-26FEB10EIUWIU-142,Eastern Illinois at Western Illinois: Total Points,Sports,KXNCAAMBTOTAL,yes,True,fallback_last_price,,99.0,33665,unknown
KXNCAAMBTOTAL-26FEB10EIUWIU-139,Eastern Illinois at Western Illinois: Total Points,Sports,KXNCAAMBTOTAL,yes,True,fallback_last_price,,99.0,6230,unknown
KXNCAAMBTOTAL-26FEB10EIUWIU-136,Eastern Illinois at Western Illinois: Total Points,Sports,KXNCAAMBTOTAL,yes,True,fallback_last_price,,99.0,8252,unknown
KXNCAAMBTOTAL-26FEB10EIUWIU-133,Eastern Illinois at Western Illinois: Total Points,Sports,KXNCAAMBTOTAL,yes,True,fallback_last_price,,99.0,25561,unknown
KXNCAAMBTOTAL-26FEB10EIUWIU-130,Eastern Illinois at Western Illinois: Total Points,Sports,KXNCAAMBTOTAL,yes,True,fallback_last_price,,99.0,30103,unknown
KXNCAAMBTOTAL-26FEB10EIUWIU-127,Eastern Illinois at Western Illinois: Total Points,Sports,KXNCAAMBTOTAL,yes,True,fallback_last_price,,99.0,5702,unknown
KXMVESPORTSMULTIGAMEEXTENDED-S202646D9837622C-CFD7394450C,"yes Cooper Flagg: 15+,yes Alperen Sengun: 15+,yes Amen Thompson: 10+,yes Alperen Sengun: 6+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202646D9837622C-BE312F2FF94,"yes Cooper Flagg: 15+,yes Alperen Sengun: 15+,yes Kevin Durant: 20+,yes Bennedict Mathurin: 2+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202646D9837622C-51BB7111762,"yes Cooper Flagg: 15+,yes Amen Thompson: 10+,yes Kevin Durant: 20+,yes Alperen Sengun: 6+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,2,
KXMVESPORTSMULTIGAMEEXTENDED-S20263D8FBC63832-FD20A9200F1,"yes Cooper Flagg: 15+,yes Mikal Bridges: 10+,yes Alperen Sengun: 6+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
