Series Ticker,NO_API_DATA,VALID,NEGATIVE,OVER_100,MISSING_DATA,Total_Markets,Lost_Markets,Loss_Pct
KXNFLPASSYDS,114.0,0.0,0,0,0,114.0,114.0,100.0
KXTRUMPMENTIONB,108.0,0.0,0,0,0,108.0,108.0,100.0
KXNCAAFTOTAL,105.0,0.0,0,0,0,105.0,105.0,100.0
KXNCAAMENTION,101.0,0.0,0,0,0,101.0,101.0,100.0
KXNFLTEAMTOTAL,101.0,0.0,0,0,0,101.0,101.0,100.0
KXWNBAGAME,89.0,0.0,0,0,0,89.0,89.0,100.0
KXWTAMATCH,88.0,0.0,0,0,0,88.0,88.0,100.0
KXNCAABMENTION,86.0,0.0,0,0,0,86.0,86.0,100.0
KXNBATOTAL,84.0,0.0,0,0,0,84.0,84.0,100.0
KXNBAMENTION,83.0,0.0,0,0,0,83.0,83.0,100.0
KXVANCEMENTION,76.0,0.0,0,0,0,76.0,76.0,100.0
KXWTACHALLENGERMATCH,72.0,0.0,0,0,0,72.0,72.0,100.0
KXNFLMENTION,71.0,0.0,0,0,0,71.0,71.0,100.0
KXVALORANTGAME,65.0,0.0,0,0,0,65.0,65.0,100.0
KXNCAAFSPREAD,63.0,0.0,0,0,0,63.0,63.0,100.0
KXUCLTOTAL,59.0,0.0,0,0,0,59.0,59.0,100.0
KXSAUDIPLGAME,58.0,0.0,0,0,0,58.0,58.0,100.0
KXSUPERLIGGAME,56.0,0.0,0,0,0,56.0,56.0,100.0
KXSOL15M,53.0,0.0,0,0,0,53.0,53.0,100.0
KXUCLGAME,51.0,0.0,0,0,0,51.0,51.0,100.0
KXNCAAFGAME,51.0,0.0,0,0,0,51.0,51.0,100.0
KXSWISSLEAGUEGAME,50.0,0.0,0,0,0,50.0,50.0,100.0
KXSERIEATOTAL,49.0,0.0,0,0,0,49.0,49.0,100.0
KXNFLPASSTDS,48.0,0.0,0,0,0,48.0,48.0,100.0
KXSNLMENTION,46.0,0.0,0,0,0,46.0,46.0,100.0
KXNFLSPREAD,46.0,0.0,0,0,0,46.0,46.0,100.0
KXUFCFIGHT,44.0,0.0,0,0,0,44.0,44.0,100.0
KXUNITEDCUPMATCH,39.0,0.0,0,0,0,39.0,39.0,100.0
KXNFLGAME,36.0,0.0,0,0,0,36.0,36.0,100.0
KXNFLPREPACK2ML,35.0,0.0,0,0,0,35.0,35.0,100.0
KXR6GAME,35.0,0.0,0,0,0,35.0,35.0,100.0
KXRAINNYCM,33.0,0.0,0,0,0,33.0,33.0,100.0
KXUFCMOV,32.0,0.0,0,0,0,32.0,32.0,100.0
KXNFLPREPACKSGP,32.0,0.0,0,0,0,32.0,32.0,100.0
KXU3,29.0,0.0,0,0,0,29.0,29.0,100.0
KXNHLSPREAD,29.0,0.0,0,0,0,29.0,29.0,100.0
KXSPACEXSTARSHIP,25.0,0.0,0,0,0,25.0,25.0,100.0
KXNBASPREAD,24.0,0.0,0,0,0,24.0,24.0,100.0
KXVAXX,23.0,0.0,0,0,0,23.0,23.0,100.0
KXSNOWNYM,21.0,0.0,0,0,0,21.0,21.0,100.0
