Category,Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB10SHAJOD-SHA,Will Denis Shapovalov win the Shapovalov vs Jodar : Round Of 32 match?,,100,2026-02-11T04:48:30.451607Z,90,,,,43.1,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB09FRIGIR-FRI,Will Taylor Fritz win the Fritz vs Giron : Round Of 32 match?,,100,2026-02-11T03:53:48.424331Z,90,,,,8.3,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB10KOVKYP-KOV,Will Aleksandar Kovacevic win the Kovacevic vs Kypson : Round Of 32 match?,,100,2026-02-11T02:49:33.039725Z,91,,,,16.6,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB08UGOCOM-UGO,Will Camilo Ugo Carabelli win the Ugo Carabelli vs Comesana : Round Of 32 match?,,100,2026-02-11T01:19:11.906793Z,93,,,,62.7,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB09DIASHE-SHE,Will Ben Shelton win the Diallo vs Shelton : Round Of 32 match?,,100,2026-02-10T23:09:00.636859Z,92,,,,77.3,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB08CORBER-BER,Will Matteo Berrettini win the Coria vs Berrettini : Round Of 32 match?,,100,2026-02-10T22:46:58.045388Z,90,,,,74.7,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB10BERMED-MED,Will Hamad Medjedovic win the Bergs vs Medjedovic : Round Of 32 match?,,100,2026-02-10T22:55:35.692466Z,99,,,,6.5,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB10BUSPAS-BUS,Will Ignacio Buse win the Buse vs Passaro : Round Of 32 match?,,100,2026-02-10T22:36:59.638237Z,90,,,,14.7,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB10COBPIN-PIN,Will Jack Pinnington Jones win the Cobolli vs Pinnington Jones : Round Of 32 match?,,100,2026-02-10T22:20:24.45523Z,90,,,,21.5,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB09DIMMIC-MIC,Will Alex Michelsen win the Dimitrov vs Michelsen : Round Of 32 match?,,100,2026-02-10T22:11:13.055402Z,90,,,,20.3,,CORRECT,
