Category,Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count,Market Open Time,Time_Elapsed_Pct,Time_Bucket
Sports,KXNBATOTAL,Pro Basketball Total Points,KXNBATOTAL-26FEB11SACUTA-219,Sacramento at Utah: Total Points,no,0,2026-02-12T03:25:15.693885Z,93,,,2026-02-12T04:27:29Z,,,WRONG,942,2026-02-11T02:06:00Z,96.06560706193552,75-100%
Sports,KXNBATOTAL,Pro Basketball Total Points,KXNBATOTAL-26FEB11MIANOP-235,Miami at New Orleans: Total Points,no,0,2026-02-12T02:59:20.516987Z,93,,,2026-02-12T03:37:40Z,,,WRONG,538,2026-02-11T02:06:00Z,97.49784220565832,75-100%
Sports,KXNBATOTAL,Pro Basketball Total Points,KXNBATOTAL-26FEB11MIANOP-232,Miami at New Orleans: Total Points,yes,100,2026-02-12T03:13:24.617194Z,90,2026-02-12T03:26:05.344793Z,94.0,2026-02-12T03:37:40Z,11.6,694.0,CORRECT,1000,2026-02-11T02:06:00Z,98.41634079869424,75-100%
Sports,KXNBATOTAL,Pro Basketball Total Points,KXNBATOTAL-26FEB11MIANOP-229,Miami at New Orleans: Total Points,yes,100,2026-02-12T03:00:29.469214Z,91,2026-02-12T03:22:11.424469Z,95.0,2026-02-12T03:37:39Z,15.4,927.0,CORRECT,372,2026-02-11T02:06:00Z,97.57393357272657,75-100%
Sports,KXNBATOTAL,Pro Basketball Total Points,KXNBATOTAL-26FEB11MIANOP-226,Miami at New Orleans: Total Points,yes,100,2026-02-12T02:44:55.130183Z,90,2026-02-12T03:21:56.826524Z,99.0,2026-02-12T03:25:37Z,3.7,220.0,CORRECT,269,2026-02-11T02:06:00Z,97.3218357513408,75-100%
Sports,KXNBATOTAL,Pro Basketball Total Points,KXNBATOTAL-26FEB11MIANOP-223,Miami at New Orleans: Total Points,yes,100,2026-02-12T02:46:31.031168Z,92,2026-02-12T03:11:51.070319Z,98.0,2026-02-12T03:21:43Z,9.8,591.0,CORRECT,140,2026-02-11T02:06:00Z,97.67770050251256,75-100%
Sports,KXNBATOTAL,Pro Basketball Total Points,KXNBATOTAL-26FEB11MIANOP-220,Miami at New Orleans: Total Points,yes,100,2026-02-12T02:42:11.446146Z,90,2026-02-12T02:42:11.446146Z,90.0,2026-02-12T03:21:42Z,39.5,2370.0,CORRECT,162,2026-02-11T02:06:00Z,97.39333437355677,75-100%
Sports,KXNBATOTAL,Pro Basketball Total Points,KXNBATOTAL-26FEB11MIANOP-217,Miami at New Orleans: Total Points,yes,100,2026-02-12T02:34:22.128602Z,90,2026-02-12T02:35:55.057421Z,94.0,2026-02-12T03:20:08Z,44.2,2652.0,CORRECT,225,2026-02-11T02:06:00Z,96.97751034915463,75-100%
Sports,KXNBATOTAL,Pro Basketball Total Points,KXNBATOTAL-26FEB11INDBKN-222,Indiana at Brooklyn: Total Points,yes,100,2026-02-12T02:30:29.196573Z,90,2026-02-12T02:49:45.062504Z,99.0,2026-02-12T03:07:47Z,18.0,1081.0,CORRECT,220,2026-02-11T02:06:00Z,97.51650434816385,75-100%
Sports,KXNBATOTAL,Pro Basketball Total Points,KXNBATOTAL-26FEB11INDBKN-219,Indiana at Brooklyn: Total Points,yes,100,2026-02-12T02:11:13.226375Z,90,2026-02-12T02:47:55.718777Z,93.0,2026-02-12T02:53:54Z,6.0,358.0,CORRECT,187,2026-02-11T02:06:00Z,97.13155720030467,75-100%
Sports,KXNBATOTAL,Pro Basketball Total Points,KXNBATOTAL-26FEB11INDBKN-216,Indiana at Brooklyn: Total Points,yes,100,2026-02-12T02:00:18.143176Z,91,2026-02-12T02:29:04.424365Z,96.0,2026-02-12T02:53:54Z,24.8,1489.0,CORRECT,412,2026-02-11T02:06:00Z,96.39776774424804,75-100%
Sports,KXNBATOTAL,Pro Basketball Total Points,KXNBATOTAL-26FEB11INDBKN-213,Indiana at Brooklyn: Total Points,yes,100,2026-02-12T01:52:25.883705Z,90,2026-02-12T01:52:25.883705Z,90.0,2026-02-12T02:53:53Z,61.5,3687.0,CORRECT,244,2026-02-11T02:06:00Z,95.86984161504598,75-100%
Sports,KXNBATOTAL,Pro Basketball Total Points,KXNBATOTAL-26FEB11INDBKN-210,Indiana at Brooklyn: Total Points,yes,100,2026-02-12T01:36:30.274136Z,91,2026-02-12T01:36:30.274136Z,91.0,2026-02-12T02:53:53Z,77.4,4642.0,CORRECT,59,2026-02-11T02:06:00Z,94.79940646780103,75-100%
Sports,KXNBATOTAL,Pro Basketball Total Points,KXNBATOTAL-26FEB11INDBKN-207,Indiana at Brooklyn: Total Points,yes,100,2026-02-12T01:25:13.90773Z,90,2026-02-12T01:36:30.274461Z,94.0,2026-02-12T02:53:53Z,77.4,4642.0,CORRECT,79,2026-02-11T02:06:00Z,94.04176820539246,75-100%
