timestamp,event_id,market_id,question,league,outcome_name,implied_prob,best_bid,best_ask,last_trade_price,clob_buy_price,token_id,game_start_time
2026-02-24T07:33:02.379605+00:00,205363,1367320,LoL: JD Gaming vs Top Esports (BO5) - LPL Playoffs,league-of-legends,JD Gaming,0.605,0.6,0.61,0.61,0.62,48847989117936793837218406277020490504829859849624931285646100489103000629498,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367320,LoL: JD Gaming vs Top Esports (BO5) - LPL Playoffs,league-of-legends,Top Esports,0.395,0.6,0.61,0.61,,24492750583777426379319824553547099472549131608960039913860691791233366243760,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367323,LoL: JD Gaming vs Top Esports - Game 2 Winner,league-of-legends,JD Gaming,0.995,0.99,1,0.99,0.999,74122337614556932971845372181107564727253232545328806247637517009146220507058,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367323,LoL: JD Gaming vs Top Esports - Game 2 Winner,league-of-legends,Top Esports,0.005,0.99,1,0.99,,102438128486198732205184791183009471489220737904262637439677773342898739370288,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367328,Game Handicap: JDG (-2.5) vs Top Esports (+2.5),league-of-legends,JD Gaming,0.001,,0.002,0.45,,82490939506264646450822286180925428150195817440315767071970050934492609678761,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367328,Game Handicap: JDG (-2.5) vs Top Esports (+2.5),league-of-legends,Top Esports,0.999,,0.002,0.45,0.999,15014533316188190299478237313955762636300393529508523357246127432986574520985,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367322,LoL: JD Gaming vs Top Esports - Game 1 Winner,league-of-legends,JD Gaming,0.0005,,0.001,0.001,,80661665305241200811686822354290750425047446343105777986581683915973631071939,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367322,LoL: JD Gaming vs Top Esports - Game 1 Winner,league-of-legends,Top Esports,0.9995,,0.001,0.001,0.999,101509660804531154642445447460393632993430996896171607466571517401054700113302,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367324,LoL: JD Gaming vs Top Esports - Game 3 Winner,league-of-legends,JD Gaming,0.585,0.58,0.59,0.58,0.59,12740813902947054158077253264348705184576609594958178945026719466908020350532,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367324,LoL: JD Gaming vs Top Esports - Game 3 Winner,league-of-legends,Top Esports,0.415,0.58,0.59,0.58,,8016015957786172303976876951793991341672436941985974092952155125045620297583,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367325,Games Total: O/U 3.5,league-of-legends,Over,0.995,0.99,1,0.99,0.999,2213716365148943107236229045968153434970072420473770294055020370494850270348,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367325,Games Total: O/U 3.5,league-of-legends,Under,0.005,0.99,1,0.99,,111276090855639678109497156826339072047357260001231838074146992678196266151667,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367326,Games Total: O/U 4.5,league-of-legends,Over,0.36,0.07,0.65,0.28,,23388634680725434274572113913698955710678319027546985336097364925580533959266,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367326,Games Total: O/U 4.5,league-of-legends,Under,0.64,0.07,0.65,0.28,0.44,44539172637157997707900672928659675823024109838692722785676854393530186373079,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367327,Game Handicap: JDG (-1.5) vs Top Esports (+1.5),league-of-legends,JD Gaming,0.435,0.32,0.55,0.4,,87437720198782034503966753310158564291279014332815905254650783811837879977355,2026-02-24 06:10:00+00
