sub_category,wins,total_markets,avg_entry_price,category,losses,accuracy,ev_no_fees_cents,kalshi_fee_cents,ev_after_fees_cents,breakeven_accuracy,accuracy_cushion
KXNCAAMBGAME,20,20,0.9179999999999999,Sports,0,1.0,8.200000000000003,0.5269320000000004,7.673068000000002,0.92326932,0.07673068000000005
KXNBASPREAD,39,39,0.9223076923076923,Sports,0,1.0,7.769230769230774,0.5015934911242607,7.267637278106513,0.9273236272189348,0.0726763727810652
KXGBP,32,32,0.9353125,Financials,0,1.0,6.46875,0.42352119140625,6.04522880859375,0.9395477119140625,0.0604522880859375
KXFED,33,33,0.9393939393939394,Economics,0,1.0,6.060606060606062,0.39853076216712546,5.662075298438937,0.9433792470156106,0.0566207529843894
KXNBAGAME,97,97,0.941958762886598,Sports,0,1.0,5.804123711340196,0.38270716335423516,5.421416547985961,0.9457858345201404,0.05421416547985958
KXNCAAFGAME,100,101,0.9327722772277227,Sports,1,0.9900990099009901,5.732673267326746,0.4389570924419179,5.293716174884828,0.9371618481521419,0.052937161748848216
KXSCOTTISHPREMGAME,57,59,0.9077966101694915,Sports,2,0.9661016949152542,5.830508474576277,0.5859134731399024,5.244595001436375,0.9136557449008904,0.05244595001436381
KXEUROIMF,27,27,0.9492592592592592,Financials,0,1.0,5.074074074074076,0.33716282578875184,4.736911248285324,0.9526308875171468,0.04736911248285325
KXWTAMATCH,91,95,0.9072631578947368,Sports,4,0.9578947368421052,5.063157894736847,0.588957041551247,4.4742008531856,0.9131527283102493,0.04474200853185595
KXLIGUE1GAME,58,61,0.9036065573770492,Sports,3,0.9508196721311475,4.721311475409834,0.609712227895727,4.111599247514107,0.9097036796560064,0.04111599247514108
KXNFLGAME,100,101,0.9477227722772277,Sports,1,0.9900990099009901,4.237623762376245,0.34681023429075614,3.8908135280854887,0.9511908746201353,0.038908135280854794
KXLOWTMIA,31,32,0.9296875,Climate and Weather,1,0.96875,3.90625,0.45758056640625,3.44866943359375,0.9342633056640625,0.03448669433593754
KXNBAREB,55,55,0.9676363636363636,Sports,0,1.0,3.2363636363636346,0.21921361983471083,3.0171500165289236,0.9698284998347106,0.030171500165289356
KXNASDAQ100Z,55,57,0.9324561403508772,Financials,2,0.9649122807017544,3.245614035087712,0.44087180670975684,2.8047422283779553,0.9368648584179747,0.028047422283779655
KXMTA,25,26,0.9292307692307692,Transportation,1,0.9615384615384616,3.2307692307692406,0.4603266272189352,2.7704426035503054,0.9338340355029585,0.02770442603550305
KXMLBGAME,96,101,0.9202970297029703,Sports,5,0.9504950495049505,3.019801980198011,0.5134528477600234,2.5063491324379874,0.9254315581805705,0.025063491324379905
KXT20MATCH,19,20,0.9335000000000001,Sports,1,0.95,1.6499999999999915,0.4345442499999994,1.215455749999992,0.9378454425000001,0.01215455749999983
KXCPIGAS,46,48,0.945625,Economics,2,0.9583333333333334,1.2708333333333428,0.3599285156249997,0.9109048177083431,0.94922428515625,0.009109048177083356
KXAAAGASM,66,69,0.9439130434782608,Economics,3,0.9565217391304348,1.260869565217405,0.37058846880907437,0.8902810964083305,0.9476189281663515,0.008902810964083296
KXCPIUSEDCAR,42,44,0.9513636363636363,Economics,2,0.9545454545454546,0.3181818181818272,0.3238960743801657,-0.005714256198338485,0.954602597107438,-5.7142561983414275e-05
