ticker,category,wait_minutes,median_gap_minutes,total_markets,wins,accuracy,profitable
KXBTC15M,Bitcoin,1,3.358754283333333,55,51,92.72727272727272,True
KXSOL15M,Solana,1,3.4165898833333337,53,49,92.45283018867924,True
KXUCLGAME,Soccer,1,3.7912596833333336,51,47,92.15686274509804,True
KXEPLGAME,Soccer,1,2.5487093,46,42,91.30434782608695,True
KXSUPERLIGGAME,Soccer,1,4.587217058333334,56,51,91.07142857142857,True
KXNCAAFGAME,Football,3,11.733984066666666,51,50,98.0392156862745,True
KXWTAMATCH,Tennis,3,11.863803216666668,88,85,96.5909090909091,True
KXSCOTTISHPREMGAME,Soccer,3,6.593384599999999,52,50,96.15384615384616,True
KXNHLGAME,Hockey,3,7.574111683333333,75,72,96.0,True
KXLIGUE1GAME,Soccer,3,5.96295915,57,54,94.73684210526315,True
KXATPCHALLENGERMATCH,Tennis,3,12.455084708333334,76,72,94.73684210526315,True
KXEUROLEAGUEGAME,Other Sports,3,8.55334455,89,84,94.3820224719101,True
KXNFLPREPACKSGP,Football,3,12.562076783333334,32,30,93.75,True
KXNFLSPREAD,Football,3,7.714590558333333,46,43,93.47826086956522,True
KXUFCFIGHT,MMA,3,5.3357057,44,41,93.18181818181817,True
KXSAUDIPLGAME,Soccer,3,8.340808266666667,58,54,93.10344827586206,True
KXFACUPGAME,Soccer,3,9.824646,29,27,93.10344827586206,True
KXHNLGAME,Soccer,3,7.575739216666666,27,25,92.5925925925926,True
KXUNITEDCUPMATCH,Tennis,3,12.006374633333332,39,36,92.3076923076923,True
KXUELGAME,Soccer,3,5.626678066666667,58,53,91.37931034482759,True
KXATPMATCH,Tennis,5,18.31726313333333,70,68,97.14285714285714,True
KXHIGHLAX,Temperature,5,52.71860614166667,28,27,96.42857142857143,True
KXNCAAFTOTAL,Football,5,45.104683,105,101,96.19047619047619,True
KXNBATOTAL,Basketball,5,25.46696495,84,80,95.23809523809523,True
KXNFLTOTAL,Football,5,26.497942625,78,74,94.87179487179486,True
KXFIFAGAME,Esports,5,16.774749183333334,58,55,94.82758620689656,True
KXMLBGAME,Baseball,5,29.586657683333332,65,61,93.84615384615384,True
KXINXZ,Stock Indices,5,49.976666083333335,46,43,93.47826086956522,True
KXWTACHALLENGERMATCH,Tennis,5,28.61217543333333,72,67,93.05555555555556,True
KXMLBSPREAD,Baseball,5,30.257464683333332,40,37,92.5,True
