Series Ticker,Category,Total Markets,Wins,Losses,Accuracy,Avg Profit,First Market,Last Market,Date Span (days),Date Span (months)
KXGDP,Economics,76,70,6,92.1,-0.91,2021-07-28,2025-10-30,1554,51.1
KXCPI,Economics,81,73,8,90.1,-4.0,2023-06-13,2026-01-13,945,31.0
KXCPICORE,Economics,58,50,8,86.2,-8.57,2023-10-12,2026-01-13,824,27.1
KXRAINNYCM,Climate and Weather,103,83,20,80.6,-13.87,2024-03-01,2026-02-01,702,23.1
KXU3,Economics,90,83,7,92.2,-2.77,2024-04-05,2026-02-11,677,22.2
KXCPICOREYOY,Economics,52,43,9,82.7,-11.81,2024-06-12,2026-01-13,580,19.1
KXCPIYOY,Economics,74,66,8,89.2,-4.7,2024-07-11,2026-01-13,551,18.1
KXBANKRUPTS,Economics,51,48,3,94.1,-0.27,2023-11-10,2025-05-12,549,18.0
KXHURCAT,Climate and Weather,57,46,11,80.7,-13.16,2024-08-05,2025-12-02,483,15.9
KXAAAGASM,Economics,69,66,3,95.7,1.26,2024-10-31,2026-01-31,457,15.0
KXSTARMERMENTION,Mentions,67,40,27,59.7,-31.99,2025-02-27,2026-02-04,341,11.2
KXCASED,Health,85,78,7,91.8,-1.45,2021-10-31,2022-08-17,290,9.5
KXINXZ,Financials,70,61,9,87.1,-5.39,2023-08-04,2024-03-21,230,7.6
KXNASDAQ100Z,Financials,57,55,2,96.5,3.25,2023-08-07,2024-03-22,228,7.5
KXJOBLESSCLAIMS,Economics,50,33,17,66.0,-27.96,2025-07-17,2026-02-05,203,6.7
KXRAINNYC,Climate and Weather,95,73,22,76.8,-18.09,2025-07-26,2026-02-11,200,6.6
KXRAINSEA,Climate and Weather,68,60,8,88.2,-4.29,2022-02-01,2022-08-10,189,6.2
KXGAS,Economics,58,53,5,91.4,-1.64,2023-03-13,2023-09-18,188,6.2
KXMRBEASTMENTION,Mentions,122,91,31,74.6,-17.83,2025-09-28,2026-02-07,132,4.3
KXCONGRESSMENTION,Mentions,120,104,16,86.7,-4.27,2025-10-09,2026-02-11,125,4.1
KXKIMMELMENTION,Mentions,88,60,28,68.2,-25.08,2025-09-24,2026-01-22,120,3.9
KXSNLMENTION,Mentions,65,30,35,46.2,-46.23,2025-10-05,2026-02-01,119,3.9
KXCOLBERTMENTION,Mentions,67,41,26,61.2,-30.9,2025-10-16,2026-01-21,96,3.2
KXJLEAGUEGAME,Sports,52,40,12,76.9,-15.35,2025-11-08,2026-02-08,92,3.0
KXLATENIGHTMENTION,Mentions,72,38,34,52.8,-38.82,2025-10-22,2026-01-21,91,3.0
KXUFCFIGHT,Sports,84,77,7,91.7,-1.02,2025-11-09,2026-02-08,91,3.0
KXR6GAME,Sports,128,95,33,74.2,-20.15,2025-11-15,2026-02-10,87,2.9
KXVANCEMENTION,Mentions,104,84,20,80.8,-11.09,2025-11-14,2026-02-04,82,2.7
KXBRASILEIROGAME,Sports,75,61,14,81.3,-9.13,2025-11-23,2026-02-12,80,2.6
KXSURVIVORMENTION,Mentions,116,58,58,50.0,-43.58,2025-10-02,2025-12-18,77,2.5
KXLIGAMXGAME,Sports,68,57,11,83.8,-7.4,2025-11-24,2026-02-08,76,2.5
KXALEAGUEGAME,Sports,82,63,19,76.8,-14.43,2025-11-30,2026-02-08,70,2.3
KXMLSGAME,Sports,79,67,12,84.8,-6.1,2025-09-28,2025-12-06,69,2.3
KXNBLGAME,Sports,94,80,14,85.1,-6.86,2025-12-04,2026-02-08,65,2.1
KXSUPERLIGGAME,Sports,64,58,6,90.6,0.05,2025-12-07,2026-02-09,64,2.1
KXEUROCUPGAME,Sports,102,86,16,84.3,-6.8,2025-12-10,2026-02-11,63,2.1
KXBELGIANPLGAME,Sports,70,58,12,82.9,-8.0,2025-12-07,2026-02-08,63,2.1
