ticker,category,count,median_gap,p25_gap,p75_gap,mean_gap
KXEPLGAME,Soccer,31,2.5487093,1.6633946166666667,6.274137249999999,7.8853823672043015
KXBTC15M,Bitcoin,26,3.3587542833333335,2.3286731291666665,4.7327700708333325,3.632965154487179
KXSOL15M,Solana,28,3.4165898833333337,2.5419406458333333,4.5857270833333335,3.8026068107142854
KXBUNDESLIGAGAME,Soccer,36,3.6894679833333335,2.7682114291666666,11.252948341666666,9.92882790925926
KXLALIGAGAME,Soccer,41,3.6952948666666665,2.2933252,8.3007608,11.968748310162601
KXUCLGAME,Soccer,31,3.7912596833333336,2.2919812333333334,7.074569500000001,8.506265613978496
KXETH15M,Ethereum,34,4.065940683333333,2.319672983333333,5.2740488333333335,3.946306267647059
KXEREDIVISIEGAME,Soccer,36,4.338934633333333,2.459764275,12.960090941666667,15.776122120833334
KXSUPERLIGGAME,Soccer,34,4.587217058333334,2.3390856083333333,10.107643258333333,13.263027932843137
KXSERIEAGAME,Soccer,34,5.172612091666667,2.4567168083333333,19.737976579166666,15.537031046568627
KXUFCFIGHT,MMA,26,5.3357057,2.5248696791666667,9.843205454166666,307.8361823448719
KXUELGAME,Soccer,45,5.626678066666667,2.77102075,22.026979266666668,19.372499783703706
KXLIGUE1GAME,Soccer,44,5.96295915,2.8277000166666664,30.37070836666667,19.25416913598485
KXEFLCHAMPIONSHIPGAME,Soccer,34,6.3004479,3.5520302833333335,13.393513954166666,12.949249850980392
KXAFCONGAME,Soccer,35,6.346421733333333,2.8651195166666668,17.697369508333335,15.979289848095238
KXALEAGUEGAME,Soccer,42,6.413334133333334,4.1095859125,16.956165120833333,16.082350811507936
KXUECLGAME,Soccer,30,6.50332105,2.2561918458333334,25.406134191666666,16.55683442388889
KXSWISSLEAGUEGAME,Soccer,27,6.558602766666667,2.2381751583333336,21.426930491666667,15.483436255555556
KXSCOTTISHPREMGAME,Soccer,33,6.593384599999999,3.775498466666667,26.931431566666667,20.227404014141417
KXARGPREMDIVGAME,Soccer,44,7.031162358333333,3.727166,20.230046954166667,17.673186160606058
KXLIGAPORTUGALGAME,Soccer,36,7.031194425000001,2.3339762333333334,24.902390708333332,18.847231675462968
KXMLSGAME,Soccer,42,7.0632521666666666,3.8095348458333333,26.773316354166667,21.29336504642857
KXFIBACHAMPLEAGUEGAME,Other Sports,31,7.121716766666666,4.510674516666667,22.905062774999998,22.538287732795702
KXBELGIANPLGAME,Soccer,37,7.459674566666666,3.0671182333333333,21.92168846666667,18.796582470270266
KXNHLGAME,Hockey,53,7.574111683333333,3.2692953333333334,21.565353650000002,18.549753301572327
KXHNLGAME,Soccer,20,7.575739216666666,3.0455261083333336,22.727802508333333,19.122455452500002
KXNFLSPREAD,Football,38,7.714590558333333,4.165854783333334,17.455403941666663,13.72309633464912
KXBRASILEIROGAME,Soccer,48,7.836662041666667,3.15477925,22.971129350000002,19.536199261805557
KXLIGAMXGAME,Soccer,40,8.023901258333334,3.5355494291666667,45.8292867125,27.15471265
KXSAUDIPLGAME,Soccer,48,8.340808266666667,4.754523675,29.072906791666668,110.87377067569444
KXEUROLEAGUEGAME,Other Sports,75,8.55334455,4.05887585,24.425581291666667,25.319821122666667
KXLOLMAP,Esports,24,9.393529783333333,3.9779197625,21.169919370833334,15.119680519444444
KXFACUPGAME,Soccer,22,9.824646,3.8910297458333334,18.567141366666668,115.22294975303029
KXNCAAFGAME,Football,30,11.733984066666666,4.2686308875,39.631738462499996,1098.3017334233332
KXWTAMATCH,Tennis,69,11.863803216666668,4.714315016666666,30.662833616666667,28.963272856280195
KXUNITEDCUPMATCH,Tennis,31,12.006374633333333,4.66427315,39.32228430833334,44.21821570967742
KXNBLGAME,Other Sports,47,12.246143633333332,7.519295666666666,25.405149066666667,145.15798758085108
KXATPCHALLENGERMATCH,Tennis,56,12.455084708333334,6.317032866666667,24.7026565125,34.91258938988096
KXNFLPREPACKSGP,Football,23,12.562076783333334,7.9183876500000006,36.750674024999995,24.968781097826085
KXLOLGAME,Esports,60,12.784272958333332,4.031480108333334,27.87766285833333,133.16854278222223
KXDOTA2GAME,Esports,29,14.430985616666668,7.369651416666667,29.952428966666666,24.384136458620684
KXFIFAGAME,Esports,42,16.774749183333334,7.13516645,56.4109625125,255.23476768968254
KXATPMATCH,Tennis,51,18.31726313333333,6.610456825,46.50168601666667,38.00590972875817
KXEUROCUPGAME,Golf,62,18.721524225,8.522051574999999,44.73689312083334,80.53922197903228
KXCBAGAME,Other Sports,80,18.77099405,9.407170991666668,70.9395516875,133.04268161270835
KXCS2GAME,Esports,51,20.935256883333334,5.541722583333334,54.28254940833333,53.33612031503268
KXLALIGATOTAL,Soccer,23,22.866312416666666,6.329100333333334,54.89187483333333,31.225364418115937
KXCLUBWCGAME,Soccer,34,24.70784163333333,5.200265325,77.15583234583335,115.69787360539215
KXCSGOGAME,Esports,59,25.25823675,6.866150741666667,45.16444828333333,33.57720078474576
KXNBATOTAL,Basketball,62,25.466964949999998,8.1204453125,37.2809716625,85.27389870860215
KXNFLTOTAL,Football,50,26.497942625,8.257468995833333,60.23911980416667,38.623876855333336
KXKBLGAME,Other Sports,37,26.802297016666667,10.86554515,45.93103755,32.60098032072072
KXWTACHALLENGERMATCH,Tennis,51,28.612175433333334,14.284852675,61.68390036666666,75.91020090588235
KXMLBGAME,Baseball,42,29.586657683333335,9.161486770833333,60.16893036249999,39.348725177380956
KXMLBSPREAD,Baseball,29,30.257464683333335,20.827206316666665,41.95924541666667,33.66524456264368
KXVALORANTGAME,Esports,42,30.2733673,14.626539087500001,74.670983025,154.15343486309524
KXWNBAGAME,Basketball,62,31.119293141666667,10.491862758333333,60.58100805,191.69249952150534
KXCODGAME,Esports,23,32.389889866666664,12.741940725,71.62561225833333,505.9440462463768
KXUCLTOTAL,Soccer,33,35.031284,19.536160600000002,62.32012486666667,106.8316524409091
KXJBLEAGUEGAME,Other Sports,45,39.049201016666665,18.2074687,83.14362164999999,117.60439396333334
KXEPLTOTAL,Soccer,39,39.971526266666665,11.684322541666667,54.972444833333334,797.8559733653846
KXMAMDANIMENTION,Mentions,27,41.72905806666667,27.171703858333334,94.47145855,68.8846506191358
KXNCAAFSPREAD,Football,48,42.54760998333333,14.650840991666668,71.83917456249999,56.49015893993055
KXNCAAFTOTAL,Football,75,45.104683,14.596807908333332,117.80541113333334,362.0852317253333
KXKHLGAME,Hockey,20,46.030357433333336,8.881878175,84.924191225,48.52610018833334
KXNCAABMENTION,Mentions,35,46.86311001666666,19.124087691666666,284.56440035,242.0557350666666
KXBUNDESLIGATOTAL,Soccer,29,47.29585341666667,12.321145783333332,59.516604550000004,447.4704569931034
KXINXZ,Stock Indices,21,49.976666083333335,11.478834516666666,179.16601806666668,113.31442775158732
KXHIGHAUS,Temperature,26,50.23149765833333,25.39445160416667,72.080912175,66.68233532179487
KXHIGHLAX,Temperature,26,52.71860614166667,31.865965799999998,113.73387361666667,71.96314240769232
KXHIGHDEN,Temperature,23,53.58719043333333,35.248264524999996,124.97413744166667,109.72578357391305
KXLNBELITEGAME,Other Sports,24,54.293603775,30.094914916666667,85.80234774583333,61.74427235277778
KXNHLTOTAL,Hockey,57,58.821548750000005,21.1207191,142.37079766666665,223.9015350236843
KXCRICKETT20IMATCH,Cricket,20,64.789361625,22.6173461125,175.24901072083333,267.60021152
KXHOCHULMENTION,Mentions,44,68.96649641666667,36.85805695,102.89263473333334,459.47252501590907
KXFOMEN,Tennis,26,71.97674098333333,24.63334675,147.52638942916667,291.5341350660256
KXNFLPASSYDS,Football,61,87.02934821666666,24.502295483333334,161.95703048333334,1189.7415407155736
KXNFLRSHYDS,Football,50,92.80567094166666,34.0805672875,132.69342522083332,928.3245019683332
KXFOWOMEN,Tennis,27,94.63300318333333,22.27495245833333,406.11923829166665,361.6698517623457
KXNFLRECYDS,Football,28,98.77184980000001,43.600048145833334,168.69339535,446.25011747976197
KXHIGHMIA,Temperature,24,104.99651226666668,63.01293188333333,139.481247975,103.35141361736112
KXHIGHCHI,Temperature,21,112.28228575,42.92568778333334,234.44713996666667,166.87141939126985
KXNFLTEAMTOTAL,Football,57,118.92743848333333,34.44262773333333,6087.2897795,2390.559148944737
KXHIGHNY,Temperature,22,128.32282561666668,67.16670435416667,200.0334921625,166.43009721060605
KXHIGHHOU,Temperature,20,132.19622059166667,52.75698921666667,382.36608978749996,251.1507102283333
