Ticker,Title,Result,Settlement (¢),Crossed 90%,First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
KXATPMATCH-26FEB10SHAJOD-SHA,Will Denis Shapovalov win the Shapovalov vs Jodar : Round Of 32 match?,yes,100,YES,2026-02-11T04:48:30.451607Z,90,2026-02-11T04:54:46.966879Z,91,2026-02-11T05:31:35Z,36.8,2208,CORRECT,1000
KXATPMATCH-26FEB10SHAJOD-JOD,Will Rafael Jodar win the Shapovalov vs Jodar : Round Of 32 match?,no,0,NO,,,,,2026-02-11T05:31:35Z,,,,1000
KXATPMATCH-26FEB09FRIGIR-GIR,Will Marcos Giron win the Fritz vs Giron : Round Of 32 match?,no,0,NO,,,,,2026-02-11T04:02:05Z,,,,1000
KXATPMATCH-26FEB09FRIGIR-FRI,Will Taylor Fritz win the Fritz vs Giron : Round Of 32 match?,yes,100,YES,2026-02-11T03:53:48.424331Z,90,2026-02-11T03:54:24.572546Z,90,2026-02-11T04:02:05Z,7.7,460,CORRECT,1000
KXATPMATCH-26FEB10KOVKYP-KYP,Will Patrick Kypson win the Kovacevic vs Kypson : Round Of 32 match?,no,0,NO,,,,,2026-02-11T03:06:09Z,,,,425
KXATPMATCH-26FEB10KOVKYP-KOV,Will Aleksandar Kovacevic win the Kovacevic vs Kypson : Round Of 32 match?,yes,100,YES,2026-02-11T02:49:33.039725Z,91,2026-02-11T03:01:09.744294Z,91,2026-02-11T03:06:09Z,5.0,299,CORRECT,519
KXATPMATCH-26FEB08UGOCOM-UGO,Will Camilo Ugo Carabelli win the Ugo Carabelli vs Comesana : Round Of 32 match?,yes,100,YES,2026-02-11T01:19:11.906793Z,93,2026-02-11T02:16:39.737832Z,90,2026-02-11T02:21:53Z,5.2,313,CORRECT,1000
KXATPMATCH-26FEB08UGOCOM-COM,Will Francisco Comesana win the Ugo Carabelli vs Comesana : Round Of 32 match?,no,0,NO,,,,,2026-02-11T02:21:53Z,,,,1000
KXATPMATCH-26FEB09DIASHE-SHE,Will Ben Shelton win the Diallo vs Shelton : Round Of 32 match?,yes,100,YES,2026-02-10T23:09:00.636859Z,92,2026-02-10T23:09:00.636859Z,92,2026-02-11T00:26:17Z,77.3,4636,CORRECT,1000
KXATPMATCH-26FEB09DIASHE-DIA,Will Gabriel Diallo win the Diallo vs Shelton : Round Of 32 match?,no,0,NO,,,,,2026-02-11T00:26:17Z,,,,1000
KXATPMATCH-26FEB08CORBER-COR,Will Federico Coria win the Coria vs Berrettini : Round Of 32 match?,no,0,NO,,,,,2026-02-11T00:01:41Z,,,,1000
KXATPMATCH-26FEB08CORBER-BER,Will Matteo Berrettini win the Coria vs Berrettini : Round Of 32 match?,yes,100,YES,2026-02-10T22:46:58.045388Z,90,2026-02-10T23:46:58.769109Z,90,2026-02-11T00:01:41Z,14.7,882,CORRECT,1000
KXATPMATCH-26FEB10BERMED-MED,Will Hamad Medjedovic win the Bergs vs Medjedovic : Round Of 32 match?,yes,100,YES,2026-02-10T22:55:35.692466Z,99,2026-02-10T22:55:35.692466Z,99,2026-02-10T23:02:05Z,6.5,389,CORRECT,1000
KXATPMATCH-26FEB10BERMED-BER,Will Zizou Bergs win the Bergs vs Medjedovic : Round Of 32 match?,no,0,NO,,,,,2026-02-10T23:02:05Z,,,,1000
KXATPMATCH-26FEB10BUSPAS-PAS,Will Francesco Passaro win the Buse vs Passaro : Round Of 32 match?,no,0,NO,,,,,2026-02-10T22:51:43Z,,,,1000
KXATPMATCH-26FEB10BUSPAS-BUS,Will Ignacio Buse win the Buse vs Passaro : Round Of 32 match?,yes,100,YES,2026-02-10T22:36:59.638237Z,90,2026-02-10T22:44:18.734528Z,91,2026-02-10T22:51:43Z,7.4,444,CORRECT,1000
