Category,Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),Crossed 90%,First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26FEB10SHAJOD-SHA,Will Denis Shapovalov win the Shapovalov vs Jodar : Round Of 32 match?,yes,100,YES,2026-02-11T04:48:30.451607Z,90,,,2026-02-11T05:31:35Z,43.1,2584,CORRECT,2000
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26FEB09FRIGIR-FRI,Will Taylor Fritz win the Fritz vs Giron : Round Of 32 match?,yes,100,YES,2026-02-11T03:53:48.424331Z,90,,,2026-02-11T04:02:05Z,8.3,496,CORRECT,2000
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26FEB10KOVKYP-KOV,Will Aleksandar Kovacevic win the Kovacevic vs Kypson : Round Of 32 match?,yes,100,YES,2026-02-11T02:49:33.039725Z,91,,,2026-02-11T03:06:09Z,16.6,995,CORRECT,944
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26FEB08UGOCOM-UGO,Will Camilo Ugo Carabelli win the Ugo Carabelli vs Comesana : Round Of 32 match?,yes,100,YES,2026-02-11T01:19:11.906793Z,93,,,2026-02-11T02:21:53Z,62.7,3761,CORRECT,2000
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26FEB09DIASHE-SHE,Will Ben Shelton win the Diallo vs Shelton : Round Of 32 match?,yes,100,YES,2026-02-10T23:09:00.636859Z,92,,,2026-02-11T00:26:17Z,77.3,4636,CORRECT,2000
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26FEB08CORBER-BER,Will Matteo Berrettini win the Coria vs Berrettini : Round Of 32 match?,yes,100,YES,2026-02-10T22:46:58.045388Z,90,,,2026-02-11T00:01:41Z,74.7,4482,CORRECT,2000
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26FEB10BERMED-MED,Will Hamad Medjedovic win the Bergs vs Medjedovic : Round Of 32 match?,yes,100,YES,2026-02-10T22:55:35.692466Z,99,,,2026-02-10T23:02:05Z,6.5,389,CORRECT,2000
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26FEB10BUSPAS-BUS,Will Ignacio Buse win the Buse vs Passaro : Round Of 32 match?,yes,100,YES,2026-02-10T22:36:59.638237Z,90,,,2026-02-10T22:51:43Z,14.7,883,CORRECT,2000
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26FEB10COBPIN-PIN,Will Jack Pinnington Jones win the Cobolli vs Pinnington Jones : Round Of 32 match?,yes,100,YES,2026-02-10T22:20:24.45523Z,90,,,2026-02-10T22:41:53Z,21.5,1288,CORRECT,1767
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26FEB09DIMMIC-MIC,Will Alex Michelsen win the Dimitrov vs Michelsen : Round Of 32 match?,yes,100,YES,2026-02-10T22:11:13.055402Z,90,,,2026-02-10T22:31:29Z,20.2,1215,CORRECT,2000
