ticker,category,wait_minutes,markets,accuracy,expected_profit_per_bet,roi_pct
KXNCAAFGAME,Football,3,51,98.0392156862745,0.06039215686274502,6.564364876385327
KXATPMATCH,Tennis,5,70,97.14285714285714,0.051428571428571386,5.590062111801237
KXWTAMATCH,Tennis,3,88,96.5909090909091,0.045909090909090906,4.990118577075099
KXHIGHLAX,Temperature,5,28,96.42857142857144,0.044285714285714366,4.8136645962733
KXNCAAFTOTAL,Football,5,105,96.1904761904762,0.041904761904762,4.554865424430652
KXSCOTTISHPREMGAME,Soccer,3,52,96.15384615384616,0.041538461538461524,4.515050167224079
KXNHLGAME,Hockey,3,75,96.0,0.03999999999999993,4.347826086956514
KXNBATOTAL,Basketball,5,84,95.23809523809524,0.0323809523809524,3.519668737060043
KXNFLTOTAL,Football,5,78,94.87179487179486,0.028717948717948527,3.121516164994405
KXFIFAGAME,Esports,5,58,94.82758620689656,0.028275862068965478,3.073463268365813
KXLIGUE1GAME,Soccer,3,57,94.73684210526316,0.027368421052631597,2.974828375286043
KXATPCHALLENGERMATCH,Tennis,3,76,94.73684210526316,0.027368421052631597,2.974828375286043
KXEUROLEAGUEGAME,Other Sports,3,89,94.3820224719101,0.023820224719101064,2.5891548607718544
KXMLBGAME,Baseball,5,65,93.84615384615384,0.018461538461538307,2.0066889632106855
KXNFLPREPACKSGP,Football,3,32,93.75,0.017499999999999953,1.9021739130434732
KXNFLSPREAD,Football,3,46,93.47826086956522,0.01478260869565217,1.6068052930056704
KXINXZ,Stock Indices,5,46,93.47826086956522,0.01478260869565217,1.6068052930056704
KXUFCFIGHT,MMA,3,44,93.18181818181816,0.011818181818181506,1.28458498023712
KXFACUPGAME,Soccer,3,29,93.10344827586206,0.011034482758620623,1.1994002998500677
KXSAUDIPLGAME,Soccer,3,58,93.10344827586206,0.011034482758620623,1.1994002998500677
KXWTACHALLENGERMATCH,Tennis,5,72,93.05555555555556,0.01055555555555554,1.1473429951690806
KXBTC15M,Bitcoin,1,55,92.72727272727272,0.0072727272727272085,0.7905138339920879
KXHNLGAME,Soccer,3,27,92.5925925925926,0.00592592592592589,0.6441223832528141
KXMLBSPREAD,Baseball,5,40,92.5,0.0050000000000000044,0.5434782608695656
KXSOL15M,Solana,1,53,92.45283018867924,0.00452830188679243,0.4922067268252641
KXUNITEDCUPMATCH,Tennis,3,39,92.3076923076923,0.003076923076922977,0.33444816053510623
KXUCLGAME,Soccer,1,51,92.15686274509804,0.0015686274509802978,0.17050298380220627
KXUELGAME,Soccer,3,58,91.3793103448276,-0.006206896551724017,-0.674662668665654
KXEPLGAME,Soccer,1,46,91.30434782608695,-0.006956521739130528,-0.7561436672967965
KXSUPERLIGGAME,Soccer,1,56,91.07142857142856,-0.009285714285714453,-1.0093167701863535
