sub_category,markets_0-25%,accuracy_0-25%,status_0-25%,markets_25-50%,accuracy_25-50%,status_25-50%,markets_50-75%,accuracy_50-75%,status_50-75%,markets_75-100%,accuracy_75-100%,status_75-100%
Climate and Weather > Other Weather,19,78.9,NOT,6,100.0,PROFITABLE,2,100.0,PROFITABLE,0,,N/A
Climate and Weather > Precipitation,52,88.5,NOT,50,86.0,NOT,19,89.5,NOT,12,83.3,NOT
Climate and Weather > Temperature,0,,N/A,139,86.3,NOT,261,87.7,NOT,28,75.0,NOT
Companies > Companies,18,77.8,NOT,3,100.0,PROFITABLE,4,75.0,NOT,0,,N/A
Crypto > Bitcoin,0,,N/A,0,,N/A,0,,N/A,55,92.7,PROFITABLE
Crypto > Ethereum,0,,N/A,0,,N/A,0,,N/A,60,90.0,NOT
Crypto > Solana,0,,N/A,0,,N/A,0,,N/A,53,92.5,PROFITABLE
Crypto > XRP,0,,N/A,0,,N/A,0,,N/A,32,75.0,NOT
Economics > Employment & Fed,85,88.2,NOT,7,42.9,NOT,2,100.0,PROFITABLE,3,100.0,PROFITABLE
Economics > Energy Prices,79,89.9,NOT,5,60.0,NOT,2,100.0,PROFITABLE,0,,N/A
Economics > GDP,41,92.7,PROFITABLE,2,100.0,PROFITABLE,0,,N/A,0,,N/A
Economics > Inflation,141,88.7,NOT,7,85.7,NOT,4,75.0,NOT,1,100.0,PROFITABLE
Economics > Other Economics,19,94.7,PROFITABLE,3,100.0,PROFITABLE,1,0.0,NOT,0,,N/A
Entertainment > Movies,41,61.0,NOT,9,66.7,NOT,3,100.0,PROFITABLE,2,50.0,NOT
Entertainment > Music charts,21,71.4,NOT,9,55.6,NOT,5,100.0,PROFITABLE,0,,N/A
Entertainment > Other,27,81.5,NOT,1,100.0,PROFITABLE,0,,N/A,0,,N/A
Financials > Forex,6,66.7,NOT,13,92.3,PROFITABLE,2,50.0,NOT,10,100.0,PROFITABLE
Financials > Stock Indices,0,,N/A,2,50.0,NOT,43,93.0,PROFITABLE,28,96.4,PROFITABLE
Health > COVID-19,39,89.7,NOT,40,92.5,PROFITABLE,9,100.0,PROFITABLE,4,75.0,NOT
Mentions > Mentions,226,77.4,NOT,361,74.2,NOT,484,70.2,NOT,250,76.8,NOT
Politics > Approval Ratings,5,80.0,NOT,8,75.0,NOT,6,66.7,NOT,2,100.0,PROFITABLE
Politics > Other Politics,14,78.6,NOT,8,75.0,NOT,2,50.0,NOT,2,100.0,PROFITABLE
Sports > Baseball > MLB,0,,N/A,1,100.0,PROFITABLE,8,87.5,NOT,116,90.5,NOT
Sports > Basketball > NBA,0,,N/A,15,86.7,NOT,12,91.7,PROFITABLE,252,89.7,NOT
Sports > Cricket > T20,0,,N/A,9,77.8,NOT,21,81.0,NOT,30,90.0,NOT
Sports > Darts > Darts,0,,N/A,0,,N/A,3,100.0,PROFITABLE,17,76.5,NOT
Sports > Esports > Call of Duty,2,100.0,PROFITABLE,2,100.0,PROFITABLE,0,,N/A,31,74.2,NOT
Sports > Esports > Counter-Strike,0,,N/A,2,100.0,PROFITABLE,16,81.2,NOT,169,88.8,NOT
Sports > Esports > Dota 2,0,,N/A,1,100.0,PROFITABLE,1,0.0,NOT,56,89.3,NOT
Sports > Esports > FIFA,2,100.0,PROFITABLE,1,100.0,PROFITABLE,1,100.0,PROFITABLE,54,94.4,PROFITABLE
Sports > Esports > League of Legends,4,75.0,NOT,8,75.0,NOT,32,84.4,NOT,139,84.9,NOT
Sports > Esports > Rainbow Six Siege,0,,N/A,5,100.0,PROFITABLE,5,60.0,NOT,34,85.3,NOT
Sports > Esports > Valorant,2,50.0,NOT,1,100.0,PROFITABLE,8,87.5,NOT,70,84.3,NOT
Sports > Football > NCAA Football,7,100.0,PROFITABLE,1,100.0,PROFITABLE,73,90.4,NOT,149,94.6,PROFITABLE
Sports > Football > NFL,70,68.6,NOT,12,83.3,NOT,230,62.2,NOT,538,80.7,NOT
Sports > Golf > PGA,0,,N/A,5,80.0,NOT,5,80.0,NOT,110,86.4,NOT
Sports > Hockey > AHL,0,,N/A,2,50.0,NOT,0,,N/A,43,86.0,NOT
Sports > Hockey > KHL,0,,N/A,1,0.0,NOT,1,100.0,PROFITABLE,39,87.2,NOT
Sports > Hockey > NHL,0,,N/A,8,100.0,PROFITABLE,12,66.7,NOT,172,91.3,PROFITABLE
Sports > MMA > UFC,1,100.0,PROFITABLE,0,,N/A,2,50.0,NOT,78,66.7,NOT
Sports > Motorsport > Formula 1,2,100.0,PROFITABLE,8,75.0,NOT,13,92.3,PROFITABLE,3,100.0,PROFITABLE
Sports > Other Sports,2,100.0,PROFITABLE,13,100.0,PROFITABLE,28,85.7,NOT,434,86.6,NOT
Sports > Soccer > AFCON,0,,N/A,2,100.0,PROFITABLE,2,100.0,PROFITABLE,56,87.5,NOT
Sports > Soccer > Argentina Primera Division,0,,N/A,0,,N/A,0,,N/A,60,86.7,NOT
Sports > Soccer > Australian A-League,0,,N/A,0,,N/A,3,66.7,NOT,64,79.7,NOT
Sports > Soccer > Belgian Pro League,0,,N/A,0,,N/A,0,,N/A,61,83.6,NOT
Sports > Soccer > Brasileiro Serie A,0,,N/A,0,,N/A,1,100.0,PROFITABLE,72,80.6,NOT
Sports > Soccer > Bundesliga,2,50.0,NOT,2,100.0,PROFITABLE,0,,N/A,115,87.0,NOT
Sports > Soccer > Club World Cup,0,,N/A,2,100.0,PROFITABLE,0,,N/A,42,83.3,NOT
Sports > Soccer > Copa del Rey,1,0.0,NOT,4,75.0,NOT,2,100.0,PROFITABLE,42,73.8,NOT
Sports > Soccer > Croatia HNL,0,,N/A,0,,N/A,0,,N/A,27,92.6,PROFITABLE
Sports > Soccer > EFL Championship,0,,N/A,0,,N/A,0,,N/A,64,89.1,NOT
Sports > Soccer > English Premier League,2,100.0,PROFITABLE,0,,N/A,2,100.0,PROFITABLE,131,83.2,NOT
Sports > Soccer > Eredivisie,0,,N/A,0,,N/A,0,,N/A,67,82.1,NOT
Sports > Soccer > FA Cup,0,,N/A,2,100.0,PROFITABLE,1,100.0,PROFITABLE,33,93.9,PROFITABLE
Sports > Soccer > Japan J League,0,,N/A,1,100.0,PROFITABLE,2,100.0,PROFITABLE,21,85.7,NOT
Sports > Soccer > La Liga,0,,N/A,0,,N/A,3,66.7,NOT,120,87.5,NOT
Sports > Soccer > Liga MX,0,,N/A,0,,N/A,0,,N/A,53,83.0,NOT
Sports > Soccer > Liga Portugal,0,,N/A,0,,N/A,1,100.0,PROFITABLE,54,85.2,NOT
