sub_category,time_bucket,sample_num,ticker,price,time_to_close_h,correct
Climate and Weather > Other Weather,0-25%,1,KXHMONTHRANGE-25NOV-B1.200,90,577.0,CORRECT
Climate and Weather > Other Weather,0-25%,2,KXHMONTHRANGE-25OCT-T1.30,92,85.6,WRONG
Climate and Weather > Other Weather,0-25%,3,KXHMONTHRANGE-25JUN-B1.060,91,204.3,WRONG
Climate and Weather > Other Weather,25-50%,1,KXHURCAT-MELISSA-T4,90,40.8,CORRECT
Climate and Weather > Other Weather,25-50%,2,KXHURCAT-ERIN-T5,90,12.3,CORRECT
Climate and Weather > Other Weather,25-50%,3,KXHURCAT-ERIN-T4,91,42.3,CORRECT
Climate and Weather > Other Weather,50-75%,1,KXHURCAT-IMELDA-T2,91,8.8,CORRECT
Climate and Weather > Other Weather,50-75%,2,KXHURCAT-GABRIELLE-T3,90,5.2,CORRECT
Climate and Weather > Precipitation,0-25%,1,KXRAINNYCM-25DEC-3,90,217.3,CORRECT
Climate and Weather > Precipitation,0-25%,2,KXRAINNYCM-25DEC-2,92,558.1,CORRECT
Climate and Weather > Precipitation,0-25%,3,KXRAINNYCM-25OCT-1,90,541.7,CORRECT
Climate and Weather > Precipitation,25-50%,1,KXRAINNYCM-25OCT-4,90,32.4,CORRECT
Climate and Weather > Precipitation,25-50%,2,RAINNYCM-24MAR-8,92,42.8,CORRECT
Climate and Weather > Precipitation,25-50%,3,RAINSEA-22AUG09-T0,90,13.2,CORRECT
Climate and Weather > Precipitation,50-75%,1,RAINSEA-22JUN09-T0.5,90,4.7,CORRECT
Climate and Weather > Precipitation,50-75%,2,RAINSEA-22JUN09-T0.4,90,5.6,CORRECT
Climate and Weather > Precipitation,50-75%,3,RAINSEA-22JUN02-T0.05,90,3.6,CORRECT
Climate and Weather > Precipitation,75-100%,1,RAINSEA-22JUN04-T0.1,90,2.8,CORRECT
Climate and Weather > Precipitation,75-100%,2,RAINSEA-22JUN01-T0,90,1.8,CORRECT
Climate and Weather > Precipitation,75-100%,3,RAINSEA-22MAY24-T0,90,1.8,CORRECT
Climate and Weather > Temperature,25-50%,1,KXHIGHTDC-26FEB07-B34.5,92,18.8,CORRECT
Climate and Weather > Temperature,25-50%,2,KXHIGHMIA-26JAN31-B66.5,90,14.1,CORRECT
Climate and Weather > Temperature,25-50%,3,KXHIGHMIA-26JAN18-B82.5,90,12.2,CORRECT
Climate and Weather > Temperature,50-75%,1,KXHIGHTDC-26FEB06-B33.5,92,7.9,CORRECT
Climate and Weather > Temperature,50-75%,2,KXHIGHTDC-26FEB03-B42.5,92,7.3,CORRECT
Climate and Weather > Temperature,50-75%,3,KXHIGHTDC-26FEB02-B35.5,92,8.9,CORRECT
Climate and Weather > Temperature,75-100%,1,KXHIGHTDC-26JAN16-B38.5,90,2.1,CORRECT
Climate and Weather > Temperature,75-100%,2,KXLOWTPHIL-26JAN23-B17.5,92,0.7,CORRECT
