series_ticker,sub_category,total_markets,markets_0-25%,accuracy_0-25%,status_0-25%,markets_25-50%,accuracy_25-50%,status_25-50%,markets_50-75%,accuracy_50-75%,status_50-75%,markets_75-100%,accuracy_75-100%,status_75-100%
KXAAAGASM,Economics > Energy Prices,27,9,100.0,PROFITABLE,4,100.0,PROFITABLE,9,100.0,PROFITABLE,5,60.0,NOT
KXAAAGASW,Economics > Energy Prices,25,12,83.3,NOT,8,100.0,PROFITABLE,2,100.0,PROFITABLE,3,66.7,NOT
KXAFCCLGAME,Sports > Soccer > AFC Champions League,20,0,,N/A,0,,N/A,0,,N/A,20,90.0,NOT
KXAFCONGAME,Sports > Soccer > AFCON,47,0,,N/A,1,100.0,PROFITABLE,0,,N/A,46,89.1,NOT
KXAHLGAME,Sports > Hockey > AHL,90,0,,N/A,2,0.0,NOT,2,100.0,PROFITABLE,86,86.0,NOT
KXALEAGUEGAME,Sports > Soccer > Australian A-League,67,0,,N/A,0,,N/A,0,,N/A,67,79.1,NOT
KXAPRPOTUS,Politics > Other Politics,22,0,,N/A,2,100.0,PROFITABLE,2,0.0,NOT,18,88.9,NOT
KXARGLNBGAME,Sports > Other Sports,25,0,,N/A,1,100.0,PROFITABLE,1,0.0,NOT,23,87.0,NOT
KXARGPREMDIVGAME,Sports > Soccer > Argentina Primera Division,60,0,,N/A,0,,N/A,0,,N/A,60,86.7,NOT
KXATPCHALLENGERMATCH,Sports > Tennis > ATP Challenger,76,1,100.0,PROFITABLE,0,,N/A,1,100.0,PROFITABLE,74,94.6,PROFITABLE
KXATPEXACTMATCH,Sports > Tennis > ATP,22,0,,N/A,1,0.0,NOT,0,,N/A,21,57.1,NOT
KXATPIT,Sports > Tennis > ATP Italian Open,20,7,100.0,PROFITABLE,1,100.0,PROFITABLE,3,100.0,PROFITABLE,9,100.0,PROFITABLE
KXATPMATCH,Sports > Tennis > ATP,70,0,,N/A,1,100.0,PROFITABLE,2,50.0,NOT,67,98.5,PROFITABLE
KXATPSETWINNER,Sports > Tennis > ATP,47,1,100.0,PROFITABLE,1,100.0,PROFITABLE,0,,N/A,45,75.6,NOT
KXATPTOTALSETS,Sports > Tennis > ATP,30,4,50.0,NOT,5,80.0,NOT,2,50.0,NOT,19,57.9,NOT
KXBELGIANPLGAME,Sports > Soccer > Belgian Pro League,61,0,,N/A,0,,N/A,0,,N/A,61,83.6,NOT
KXBILLBOARDRUNNERUPSONG,Entertainment > Music charts,22,4,50.0,NOT,8,75.0,NOT,4,50.0,NOT,6,66.7,NOT
KXBRASILEIROGAME,Sports > Soccer > Brasileiro Serie A,73,0,,N/A,0,,N/A,0,,N/A,73,80.8,NOT
KXBTC15M,Crypto > Bitcoin,110,10,100.0,PROFITABLE,22,90.9,NOT,52,96.2,PROFITABLE,26,84.6,NOT
