series_ticker,sub_category,total_markets,markets_0-15min,accuracy_0-15min,status_0-15min,markets_15-60min,accuracy_15-60min,status_15-60min,markets_1-3hrs,accuracy_1-3hrs,status_1-3hrs,markets_3hrs+,accuracy_3hrs+,status_3hrs+
KXAAAGASM,Economics > Energy Prices,27,0,,N/A,0,,N/A,0,,N/A,27,92.6,PROFITABLE
KXAAAGASW,Economics > Energy Prices,25,0,,N/A,0,,N/A,0,,N/A,25,88.0,NOT
KXAFCONGAME,Sports > Soccer > AFCON,47,20,85.0,NOT,16,93.8,PROFITABLE,11,90.9,NOT,0,,N/A
KXAHLGAME,Sports > Hockey > AHL,45,9,77.8,NOT,10,80.0,NOT,24,91.7,PROFITABLE,2,50.0,NOT
KXALEAGUEGAME,Sports > Soccer > Australian A-League,67,22,81.8,NOT,34,82.4,NOT,8,62.5,NOT,3,66.7,NOT
KXARGLNBGAME,Sports > Other Sports,25,3,100.0,PROFITABLE,15,86.7,NOT,4,75.0,NOT,3,66.7,NOT
KXARGPREMDIVGAME,Sports > Soccer > Argentina Primera Division,60,27,85.2,NOT,24,87.5,NOT,9,88.9,NOT,0,,N/A
KXATPCHALLENGERMATCH,Sports > Tennis > ATP Challenger,76,21,90.5,NOT,40,97.5,PROFITABLE,11,90.9,NOT,4,100.0,PROFITABLE
KXATPEXACTMATCH,Sports > Tennis > ATP,22,0,,N/A,5,60.0,NOT,4,100.0,PROFITABLE,13,38.5,NOT
KXATPIT,Sports > Tennis > ATP Italian Open,20,0,,N/A,2,100.0,PROFITABLE,5,100.0,PROFITABLE,13,100.0,PROFITABLE
KXATPMATCH,Sports > Tennis > ATP,70,13,100.0,PROFITABLE,39,100.0,PROFITABLE,15,93.3,PROFITABLE,3,66.7,NOT
KXATPSETWINNER,Sports > Tennis > ATP,47,7,57.1,NOT,19,84.2,NOT,9,66.7,NOT,12,83.3,NOT
KXATPTOTALSETS,Sports > Tennis > ATP,30,0,,N/A,4,50.0,NOT,5,80.0,NOT,21,57.1,NOT
KXBELGIANPLGAME,Sports > Soccer > Belgian Pro League,61,20,75.0,NOT,27,88.9,NOT,14,85.7,NOT,0,,N/A
KXBRASILEIROGAME,Sports > Soccer > Brasileiro Serie A,73,23,91.3,PROFITABLE,32,71.9,NOT,17,82.4,NOT,1,100.0,PROFITABLE
KXBTC15M,Crypto > Bitcoin,55,55,92.7,PROFITABLE,0,,N/A,0,,N/A,0,,N/A
KXBUNDESLIGAGAME,Sports > Soccer > Bundesliga,58,27,92.6,PROFITABLE,23,73.9,NOT,8,100.0,PROFITABLE,0,,N/A
KXBUNDESLIGATOTAL,Sports > Soccer > Bundesliga,52,10,90.0,NOT,20,90.0,NOT,18,88.9,NOT,4,75.0,NOT
KXCASED,Health > COVID-19,46,0,,N/A,2,50.0,NOT,2,100.0,PROFITABLE,42,97.6,PROFITABLE
KXCBAGAME,Sports > Other Sports,108,8,87.5,NOT,46,87.0,NOT,41,82.9,NOT,13,100.0,PROFITABLE
KXCLUBWCGAME,Sports > Soccer > Club World Cup,44,9,77.8,NOT,12,91.7,PROFITABLE,21,81.0,NOT,2,100.0,PROFITABLE
KXCODGAME,Sports > Esports > Call of Duty,35,8,75.0,NOT,17,82.4,NOT,6,50.0,NOT,4,100.0,PROFITABLE
KXCOLBERTMENTION,Mentions > Mentions,51,0,,N/A,0,,N/A,0,,N/A,51,58.8,NOT
KXCONGRESSMENTION,Mentions > Mentions,107,0,,N/A,0,,N/A,2,50.0,NOT,105,87.6,NOT
KXCOPADELREYGAME,Sports > Soccer > Copa del Rey,32,5,80.0,NOT,15,80.0,NOT,8,50.0,NOT,4,75.0,NOT
KXCPI,Economics > Inflation,30,0,,N/A,0,,N/A,0,,N/A,30,90.0,NOT
KXCPIYOY,Economics > Inflation,28,1,100.0,PROFITABLE,0,,N/A,0,,N/A,27,92.6,PROFITABLE
KXCRICKETT20IMATCH,Sports > Cricket > T20,49,0,,N/A,9,88.9,NOT,12,83.3,NOT,28,78.6,NOT
KXCS2GAME,Sports > Esports > Counter-Strike,65,1,100.0,PROFITABLE,35,97.1,PROFITABLE,25,80.0,NOT,4,100.0,PROFITABLE
KXCS2MAP,Sports > Esports > Counter-Strike,27,10,100.0,PROFITABLE,16,81.2,NOT,1,100.0,PROFITABLE,0,,N/A
KXCSGOGAME,Sports > Esports > Counter-Strike,83,0,,N/A,31,96.8,PROFITABLE,39,87.2,NOT,13,76.9,NOT
KXDARTSMATCH,Sports > Darts > Darts,20,3,100.0,PROFITABLE,4,75.0,NOT,10,70.0,NOT,3,100.0,PROFITABLE
KXDOTA2GAME,Sports > Esports > Dota 2,58,0,,N/A,41,92.7,PROFITABLE,15,80.0,NOT,2,50.0,NOT
KXEFLCHAMPIONSHIPGAME,Sports > Soccer > EFL Championship,64,28,82.1,NOT,29,93.1,PROFITABLE,7,100.0,PROFITABLE,0,,N/A
KXEKSTRAKLASAGAME,Sports > Soccer > Polish Ekstraklasa,21,8,100.0,PROFITABLE,10,80.0,NOT,3,66.7,NOT,0,,N/A
KXEPLGAME,Sports > Soccer > English Premier League,46,28,89.3,NOT,11,90.9,NOT,7,100.0,PROFITABLE,0,,N/A
KXEPLTOTAL,Sports > Soccer > English Premier League,79,14,92.9,PROFITABLE,32,78.1,NOT,31,77.4,NOT,2,100.0,PROFITABLE
KXEREDIVISIEGAME,Sports > Soccer > Eredivisie,67,32,81.2,NOT,22,81.8,NOT,13,84.6,NOT,0,,N/A
KXETH15M,Crypto > Ethereum,60,60,90.0,NOT,0,,N/A,0,,N/A,0,,N/A
KXEUROCUPGAME,Sports > Golf > PGA,85,8,87.5,NOT,42,81.0,NOT,28,89.3,NOT,7,85.7,NOT
KXEUROLEAGUEGAME,Sports > Other Sports,89,3,100.0,PROFITABLE,57,96.5,PROFITABLE,28,89.3,NOT,1,100.0,PROFITABLE
KXFACUPGAME,Sports > Soccer > FA Cup,29,3,100.0,PROFITABLE,8,100.0,PROFITABLE,17,88.2,NOT,1,100.0,PROFITABLE
KXFIBACHAMPLEAGUEGAME,Sports > Other Sports,43,3,100.0,PROFITABLE,31,80.6,NOT,9,100.0,PROFITABLE,0,,N/A
KXFIBAECUPGAME,Sports > Golf > PGA,21,2,100.0,PROFITABLE,6,100.0,PROFITABLE,11,81.8,NOT,2,100.0,PROFITABLE
KXFIFAGAME,Sports > Esports > FIFA,58,7,85.7,NOT,25,96.0,PROFITABLE,22,95.5,PROFITABLE,4,100.0,PROFITABLE
KXFOMEN,Sports > Tennis > French Open Men's Singles,38,0,,N/A,4,100.0,PROFITABLE,7,85.7,NOT,27,81.5,NOT
KXFOWOMEN,Sports > Tennis > French Open Women's Singles,45,2,100.0,PROFITABLE,0,,N/A,17,70.6,NOT,26,92.3,PROFITABLE
KXGAS,Economics > Energy Prices,32,0,,N/A,0,,N/A,0,,N/A,32,87.5,NOT
KXGDP,Economics > GDP,43,0,,N/A,0,,N/A,0,,N/A,43,93.0,PROFITABLE
KXHIGHAUS,Climate and Weather > Temperature,32,0,,N/A,0,,N/A,0,,N/A,32,87.5,NOT
KXHIGHCHI,Climate and Weather > Temperature,25,0,,N/A,0,,N/A,2,100.0,PROFITABLE,23,82.6,NOT
KXHIGHDEN,Climate and Weather > Temperature,26,0,,N/A,0,,N/A,0,,N/A,26,88.5,NOT
KXHIGHHOU,Climate and Weather > Temperature,24,0,,N/A,0,,N/A,1,0.0,NOT,23,87.0,NOT
KXHIGHLAX,Climate and Weather > Temperature,28,0,,N/A,0,,N/A,0,,N/A,28,96.4,PROFITABLE
KXHIGHMIA,Climate and Weather > Temperature,27,0,,N/A,0,,N/A,0,,N/A,27,92.6,PROFITABLE
KXHIGHNY,Climate and Weather > Temperature,26,0,,N/A,0,,N/A,1,0.0,NOT,25,100.0,PROFITABLE
KXHIGHTSFO,Climate and Weather > Temperature,23,0,,N/A,0,,N/A,1,100.0,PROFITABLE,22,68.2,NOT
KXHNLGAME,Sports > Soccer > Croatia HNL,27,8,100.0,PROFITABLE,13,84.6,NOT,6,100.0,PROFITABLE,0,,N/A
KXHOCHULMENTION,Mentions > Mentions,90,0,,N/A,10,90.0,NOT,32,81.2,NOT,48,81.2,NOT
KXHURCAT,Climate and Weather > Other Weather,21,0,,N/A,0,,N/A,0,,N/A,21,90.5,NOT
KXINXZ,Financials > Stock Indices,46,4,100.0,PROFITABLE,5,100.0,PROFITABLE,10,100.0,PROFITABLE,27,88.9,NOT
KXJBLEAGUEGAME,Sports > Other Sports,66,4,75.0,NOT,22,77.3,NOT,29,72.4,NOT,11,100.0,PROFITABLE
KXJLEAGUEGAME,Sports > Soccer > Japan J League,24,2,100.0,PROFITABLE,12,83.3,NOT,7,85.7,NOT,3,100.0,PROFITABLE
KXJOBLESSCLAIMS,Economics > Employment & Fed,23,0,,N/A,0,,N/A,0,,N/A,23,69.6,NOT
KXKBLGAME,Sports > Other Sports,47,6,100.0,PROFITABLE,17,70.6,NOT,24,95.8,PROFITABLE,0,,N/A
KXKHLGAME,Sports > Hockey > KHL,41,9,100.0,PROFITABLE,7,85.7,NOT,23,82.6,NOT,2,50.0,NOT
KXKIMMELMENTION,Mentions > Mentions,52,0,,N/A,0,,N/A,0,,N/A,52,71.2,NOT
KXLALIGAGAME,Sports > Soccer > La Liga,57,35,82.9,NOT,16,93.8,PROFITABLE,6,100.0,PROFITABLE,0,,N/A
KXLALIGATOTAL,Sports > Soccer > La Liga,49,12,83.3,NOT,22,81.8,NOT,12,100.0,PROFITABLE,3,66.7,NOT
KXLATENIGHTMENTION,Mentions > Mentions,57,0,,N/A,0,,N/A,0,,N/A,57,52.6,NOT
KXLIGAMXGAME,Sports > Soccer > Liga MX,53,10,90.0,NOT,25,84.0,NOT,18,77.8,NOT,0,,N/A
KXLIGAPORTUGALGAME,Sports > Soccer > Liga Portugal,55,17,82.4,NOT,25,88.0,NOT,12,83.3,NOT,1,100.0,PROFITABLE
KXLIGUE1GAME,Sports > Soccer > Ligue 1,57,26,92.3,PROFITABLE,18,94.4,PROFITABLE,13,100.0,PROFITABLE,0,,N/A
KXLIGUE1TOTAL,Sports > Soccer > Ligue 1,35,9,77.8,NOT,13,92.3,PROFITABLE,13,84.6,NOT,0,,N/A
KXLNBELITEGAME,Sports > Other Sports,36,0,,N/A,11,100.0,PROFITABLE,17,82.4,NOT,8,75.0,NOT
KXLOLGAME,Sports > Esports > League of Legends,100,5,100.0,PROFITABLE,42,90.5,NOT,38,89.5,NOT,15,80.0,NOT
KXLOLGAMES,Sports > Esports > League of Legends,26,0,,N/A,2,100.0,PROFITABLE,2,100.0,PROFITABLE,22,86.4,NOT
