series_ticker,sub_category,total_markets,markets_0-15min,accuracy_0-15min,status_0-15min,markets_15-60min,accuracy_15-60min,status_15-60min,markets_1-3hrs,accuracy_1-3hrs,status_1-3hrs,markets_3hrs+,accuracy_3hrs+,status_3hrs+
KXAAAGASM,Economics > Energy Prices,25,0,,N/A,0,,N/A,0,,N/A,25,100.0,PROFITABLE
KXAAAGASW,Economics > Energy Prices,18,0,,N/A,1,100.0,PROFITABLE,2,100.0,PROFITABLE,15,100.0,PROFITABLE
KXAFCONGAME,Sports > Soccer > AFCON,42,26,100.0,PROFITABLE,8,100.0,PROFITABLE,8,100.0,PROFITABLE,0,,N/A
KXAHLGAME,Sports > Hockey > AHL,38,13,100.0,PROFITABLE,13,100.0,PROFITABLE,12,100.0,PROFITABLE,0,,N/A
KXALEAGUEGAME,Sports > Soccer > Australian A-League,53,32,100.0,PROFITABLE,17,100.0,PROFITABLE,3,100.0,PROFITABLE,1,100.0,PROFITABLE
KXARGLNBGAME,Sports > Other Sports,21,5,100.0,PROFITABLE,13,100.0,PROFITABLE,2,100.0,PROFITABLE,1,100.0,PROFITABLE
KXARGPREMDIVGAME,Sports > Soccer > Argentina Primera Division,52,40,100.0,PROFITABLE,10,100.0,PROFITABLE,2,100.0,PROFITABLE,0,,N/A
KXATPCHALLENGERMATCH,Sports > Tennis > ATP Challenger,71,39,100.0,PROFITABLE,29,100.0,PROFITABLE,2,100.0,PROFITABLE,1,100.0,PROFITABLE
KXATPEXACTMATCH,Sports > Tennis > ATP,13,2,100.0,PROFITABLE,3,100.0,PROFITABLE,2,100.0,PROFITABLE,6,66.7,NOT
KXATPIT,Sports > Tennis > ATP Italian Open,20,1,100.0,PROFITABLE,2,100.0,PROFITABLE,9,100.0,PROFITABLE,8,100.0,PROFITABLE
KXATPMATCH,Sports > Tennis > ATP,69,35,100.0,PROFITABLE,29,100.0,PROFITABLE,3,100.0,PROFITABLE,2,50.0,NOT
KXATPSETWINNER,Sports > Tennis > ATP,39,10,90.0,NOT,15,100.0,PROFITABLE,7,71.4,NOT,7,100.0,PROFITABLE
KXATPTOTALSETS,Sports > Tennis > ATP,21,0,,N/A,3,66.7,NOT,5,80.0,NOT,13,92.3,PROFITABLE
KXBELGIANPLGAME,Sports > Soccer > Belgian Pro League,51,28,100.0,PROFITABLE,18,100.0,PROFITABLE,5,100.0,PROFITABLE,0,,N/A
KXBRASILEIROGAME,Sports > Soccer > Brasileiro Serie A,59,36,100.0,PROFITABLE,17,100.0,PROFITABLE,6,100.0,PROFITABLE,0,,N/A
KXBTC15M,Crypto > Bitcoin,51,51,100.0,PROFITABLE,0,,N/A,0,,N/A,0,,N/A
KXBUNDESLIGAGAME,Sports > Soccer > Bundesliga,50,32,100.0,PROFITABLE,11,100.0,PROFITABLE,7,100.0,PROFITABLE,0,,N/A
KXBUNDESLIGATOTAL,Sports > Soccer > Bundesliga,46,22,100.0,PROFITABLE,18,100.0,PROFITABLE,6,100.0,PROFITABLE,0,,N/A
KXCASED,Health > COVID-19,38,2,100.0,PROFITABLE,3,100.0,PROFITABLE,5,100.0,PROFITABLE,28,100.0,PROFITABLE
KXCBAGAME,Sports > Other Sports,94,18,100.0,PROFITABLE,53,100.0,PROFITABLE,16,100.0,PROFITABLE,7,100.0,PROFITABLE
KXCLUBWCGAME,Sports > Soccer > Club World Cup,37,16,100.0,PROFITABLE,16,100.0,PROFITABLE,4,100.0,PROFITABLE,1,100.0,PROFITABLE
KXCODGAME,Sports > Esports > Call of Duty,27,20,100.0,PROFITABLE,7,100.0,PROFITABLE,0,,N/A,0,,N/A
KXCOLBERTMENTION,Mentions > Mentions,30,0,,N/A,0,,N/A,0,,N/A,30,100.0,PROFITABLE
KXCONGRESSMENTION,Mentions > Mentions,93,1,100.0,PROFITABLE,0,,N/A,5,100.0,PROFITABLE,87,100.0,PROFITABLE
KXCOPADELREYGAME,Sports > Soccer > Copa del Rey,23,9,100.0,PROFITABLE,9,100.0,PROFITABLE,3,100.0,PROFITABLE,2,100.0,PROFITABLE
KXCPI,Economics > Inflation,24,1,100.0,PROFITABLE,0,,N/A,0,,N/A,23,100.0,PROFITABLE
KXCPIYOY,Economics > Inflation,22,2,100.0,PROFITABLE,1,100.0,PROFITABLE,0,,N/A,19,94.7,PROFITABLE
KXCRICKETT20IMATCH,Sports > Cricket > T20,39,2,100.0,PROFITABLE,13,100.0,PROFITABLE,7,100.0,PROFITABLE,17,100.0,PROFITABLE
KXCS2GAME,Sports > Esports > Counter-Strike,59,14,100.0,PROFITABLE,40,100.0,PROFITABLE,4,100.0,PROFITABLE,1,100.0,PROFITABLE
KXCS2MAP,Sports > Esports > Counter-Strike,24,18,100.0,PROFITABLE,5,100.0,PROFITABLE,1,100.0,PROFITABLE,0,,N/A
KXCSGOGAME,Sports > Esports > Counter-Strike,74,1,100.0,PROFITABLE,49,100.0,PROFITABLE,18,100.0,PROFITABLE,6,100.0,PROFITABLE
KXDARTSMATCH,Sports > Darts > Darts,14,5,100.0,PROFITABLE,2,100.0,PROFITABLE,7,85.7,NOT,0,,N/A
KXDOTA2GAME,Sports > Esports > Dota 2,51,0,,N/A,47,100.0,PROFITABLE,3,100.0,PROFITABLE,1,100.0,PROFITABLE
KXEFLCHAMPIONSHIPGAME,Sports > Soccer > EFL Championship,57,32,100.0,PROFITABLE,20,100.0,PROFITABLE,5,100.0,PROFITABLE,0,,N/A
KXEKSTRAKLASAGAME,Sports > Soccer > Polish Ekstraklasa,18,11,100.0,PROFITABLE,7,100.0,PROFITABLE,0,,N/A,0,,N/A
KXEPLGAME,Sports > Soccer > English Premier League,42,30,100.0,PROFITABLE,9,100.0,PROFITABLE,3,100.0,PROFITABLE,0,,N/A
KXEPLTOTAL,Sports > Soccer > English Premier League,64,28,100.0,PROFITABLE,31,100.0,PROFITABLE,5,100.0,PROFITABLE,0,,N/A
KXEREDIVISIEGAME,Sports > Soccer > Eredivisie,55,35,100.0,PROFITABLE,13,100.0,PROFITABLE,7,100.0,PROFITABLE,0,,N/A
KXETH15M,Crypto > Ethereum,54,54,100.0,PROFITABLE,0,,N/A,0,,N/A,0,,N/A
KXEUROCUPGAME,Sports > Golf > PGA,72,21,100.0,PROFITABLE,36,100.0,PROFITABLE,15,100.0,PROFITABLE,0,,N/A
KXEUROLEAGUEGAME,Sports > Other Sports,84,16,100.0,PROFITABLE,57,100.0,PROFITABLE,11,100.0,PROFITABLE,0,,N/A
KXFACUPGAME,Sports > Soccer > FA Cup,27,7,100.0,PROFITABLE,6,100.0,PROFITABLE,14,100.0,PROFITABLE,0,,N/A
