sub_category,series_ticker,time_bucket,price_bucket,total_markets,wins,losses,accuracy,avg_profit,total_profit,profitable_yes_no,sample_tickers
Sports > Tennis > ATP,KXATPMATCH,0-1h,90-92¢,52,52,0,100.0,9.69,504.0,yes,KXATPMATCH-26FEB11FRINAK-FRI|KXATPMATCH-26FEB11KOPBER-KOP|KXATPMATCH-26FEB10KOVKYP-KOV|KXATPMATCH-26FEB11MICDAV-DAV|KXATPMATCH-26FEB11KORTIA-KOR
Sports > Tennis > WTA,KXWTAMATCH,0-1h,90-92¢,72,70,2,97.2,6.86,494.0,yes,KXWTAMATCH-26FEB11KALSVI-KAL|KXWTAMATCH-26FEB11ZHERYB-RYB|KXWTAMATCH-26FEB11OSTOSO-OST|KXWTAMATCH-26FEB11SWIKAS-SWI|KXWTAMATCH-26FEB11GRASAK-SAK
Sports > Basketball > NBA,KXNBATOTAL,0-1h,90-92¢,42,42,0,100.0,9.74,409.0,yes,KXNBATOTAL-26FEB11MIANOP-232|KXNBATOTAL-26FEB11MIANOP-229|KXNBATOTAL-26FEB11MIANOP-226|KXNBATOTAL-26FEB11MIANOP-223|KXNBATOTAL-26FEB11MIANOP-220
Sports > Other Sports,KXEUROLEAGUEGAME,0-1h,90-92¢,60,58,2,96.7,6.5,390.0,yes,KXEUROLEAGUEGAME-26FEB06FCBBVG-FCB|KXEUROLEAGUEGAME-26FEB06OLMASV-OLM|KXEUROLEAGUEGAME-26FEB06MTACZV-MTA|KXEUROLEAGUEGAME-26FEB06ZALEFS-EFS|KXEUROLEAGUEGAME-26FEB05MONBAY-BAY
Sports > Hockey > NHL,KXNHLGAME,1-3h,90-92¢,34,34,0,100.0,9.82,334.0,yes,KXNHLGAME-26FEB05NSHWSH-WSH|KXNHLGAME-26FEB05PITBUF-PIT|KXNHLGAME-26FEB04VANVGK-VGK|KXNHLGAME-26FEB04SEALA-SEA|KXNHLGAME-26FEB04DETUTA-UTA
Sports > Football > NFL,KXNFLTOTAL,1-3h,90-92¢,42,41,1,97.6,7.52,316.0,yes,KXNFLTOTAL-26JAN25LASEA-56|KXNFLTOTAL-26JAN25LASEA-53|KXNFLTOTAL-26JAN25LASEA-38|KXNFLTOTAL-26JAN25LASEA-35|KXNFLTOTAL-26JAN18HOUNE-41
Sports > Tennis > ATP Challenger,KXATPCHALLENGERMATCH,0-1h,90-92¢,61,58,3,95.1,4.79,292.0,yes,KXATPCHALLENGERMATCH-26FEB11TULELL-TUL|KXATPCHALLENGERMATCH-26FEB11SATMOR-MOR|KXATPCHALLENGERMATCH-26FEB11ZEPSQU-SQU|KXATPCHALLENGERMATCH-26FEB11ILALAN-ILA|KXATPCHALLENGERMATCH-26FEB11BOUNAR-BOU
Sports > Football > NCAA Football,KXNCAAFGAME,0-1h,90-92¢,28,28,0,100.0,9.43,264.0,yes,KXNCAAFGAME-25DEC27GTBYU-BYU|KXNCAAFGAME-25DEC23UNLVOHIO-OHIO|KXNCAAFGAME-25DEC17ULLDEL-DEL|KXNCAAFGAME-25DEC16TROYJVST-JVST|KXNCAAFGAME-25DEC20MIATXAM-MIA
Sports > Esports > Counter-Strike,KXCS2GAME,0-1h,90-92¢,36,35,1,97.2,6.67,240.0,yes,KXCS2GAME-26FEB11WCPSSNUA-PSSNUA|KXCS2GAME-26FEB11EYEENCE-ENCE|KXCS2GAME-26FEB11OGALL-ALL|KXCS2GAME-26FEB11ICECS-ICE|KXCS2GAME-26FEB11JSK27-JS
Sports > Football > NCAA Football,KXNCAAFTOTAL,3-6h,90-92¢,47,45,2,95.7,4.79,225.0,yes,KXNCAAFTOTAL-26JAN08MIAMISS-48|KXNCAAFTOTAL-26JAN08MIAMISS-39|KXNCAAFTOTAL-26JAN09OREIND-46|KXNCAAFTOTAL-26JAN09OREIND-43|KXNCAAFTOTAL-26JAN09OREIND-40
