Sub_Category,Kalshi_Ticker,Market_Question,Price_At_85_Plus,Settlement_Date,Result,Settlement_Value,First_Touch_Time,Series_Ticker,Series_Title
Climate and Weather > Temperature,KXHIGHHOU-24DEC26-B76.5,"Will the **high temp in Houston** be 76-77° on Dec 26, 2024?",90,2024-12-27,CORRECT,100,2024-12-26T21:04:26.829594Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-24DEC27-T75,"Will the **high temp in Houston** be >75° on Dec 27, 2024?",90,2024-12-28,CORRECT,100,2024-12-27T13:03:17.034265Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-24DEC28-T79,"Will the **high temp in Houston** be >79° on Dec 28, 2024?",93,2024-12-29,CORRECT,100,2024-12-28T17:21:21.61579Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-24DEC29-B72.5,"Will the **high temp in Houston** be 72-73° on Dec 29, 2024?",98,2024-12-30,WRONG,0,2024-12-28T15:01:08.228698Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-24DEC29-B68.5,"Will the **high temp in Houston** be 68-69° on Dec 29, 2024?",91,2024-12-30,CORRECT,100,2024-12-29T21:19:36.505379Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-24DEC30-T79,"Will the **high temp in Houston** be >79° on Dec 30, 2024?",93,2024-12-31,CORRECT,100,2024-12-30T16:29:07.796866Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-24DEC30-B78.5,"Will the **high temp in Houston** be 78-79° on Dec 30, 2024?",97,2024-12-31,WRONG,0,2024-12-29T15:15:37.786009Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-24DEC31-T69,"Will the **high temp in Houston** be >69° on Dec 31, 2024?",90,2025-01-01,CORRECT,100,2024-12-31T17:29:33.150812Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN01-B63.5,"Will the **high temp in Houston** be 63-64° on Jan 1, 2025?",90,2025-01-02,CORRECT,100,2025-01-01T19:56:26.366927Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN02-B61.5,"Will the **high temp in Houston** be 61-62° on Jan 2, 2025?",92,2025-01-03,CORRECT,100,2025-01-02T20:38:07.021807Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN03-T70,"Will the **high temp in Houston** be >70° on Jan 3, 2025?",93,2025-01-04,CORRECT,100,2025-01-03T17:14:44.845542Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN04-B70.5,"Will the **high temp in Houston** be 70-71° on Jan 4, 2025?",94,2025-01-05,CORRECT,100,2025-01-04T20:26:51.547941Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN05-T77,"Will the **high temp in Houston** be >77° on Jan 5, 2025?",95,2025-01-06,CORRECT,100,2025-01-05T16:53:07.951544Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN06-B46.5,"Will the **high temp in Houston** be 46-47° on Jan 6, 2025?",90,2025-01-07,CORRECT,100,2025-01-06T20:42:52.632041Z,KXHIGHHOU,Highest temperature in Houston
