Rank,Series_Ticker,Series_Title,Category,Events_Analyzed,Events_Crossed_90,Crossing_Rate_Pct,Correct_Predictions,Accuracy_Pct,Avg_Betting_Window_Minutes
1,KXNBAGAME,Professional Basketball Game,Sports,100,98,98.00,98,100.00,44.59
2,KXNFLGAME,Professional Football Game,Sports,100,99,99.00,98,98.99,38.03
3,KXNCAAFGAME,College Football Game,Sports,100,97,97.00,96,98.97,910.52
4,KXNCAAMBGAME,Men's College Basketball Men's Game,Sports,100,99,99.00,97,97.98,294.40
5,KXWTAMATCH,WTA Tennis Match,Sports,100,96,96.00,93,96.88,74.01
6,KXMLBGAME,Professional Baseball Game,Sports,100,96,96.00,92,95.83,91.53
7,KXNHLGAME,NHL Game,Sports,100,99,99.00,93,93.94,66.28
8,KXATPCHALLENGERMATCH,Challenger ATP ,Sports,100,97,97.00,91,93.81,54.28
9,KXEUROLEAGUEGAME,Euroleague Game,Sports,100,100,100.00,93,93.00,55.62
10,KXATPMATCH,ATP Tennis Match,Sports,100,95,95.00,88,92.63,76.17
11,KXKBLGAME,Korea KBL Game,Sports,53,53,100.00,49,92.45,104.15
12,KXUNITEDCUPMATCH,United Cup Match,Sports,52,51,98.08,46,90.20,313.18
13,KXNCAAWBGAME,College Basketball Women's Game,Sports,100,100,100.00,90,90.00,713.17
14,KXUFCFIGHT,UFC Fight,Sports,100,88,88.00,79,89.77,119.64
15,KXWTACHALLENGERMATCH,Challenger WTA,Sports,78,78,100.00,70,89.74,140.96
16,KXSHLGAME,SHL Game,Sports,56,56,100.00,50,89.29,60.81
17,KXCS2MAP,Counter-Strike 2 Map Winner ,Sports,100,98,98.00,87,88.78,169.81
18,KXWNBAGAME,Professional Women's Basketball Game,Sports,100,100,100.00,88,88.00,267.04
19,KXR6MAP,R6 Map Winner,Sports,86,82,95.35,72,87.80,32.43
20,KXCS2GAME,Counter-Strike 2 Game,Sports,100,97,97.00,85,87.63,271.96
21,KXETH15M,ETH 15M price up down,Crypto,100,55,55.00,48,87.27,6.68
22,KXCSGOGAME,Counter-Strike 2 Games,Sports,100,100,100.00,87,87.00,133.55
23,KXCBAGAME,Chinese Basketball Association Game ,Sports,100,100,100.00,87,87.00,340.77
24,KXFOWOMEN,French Open Women's,Sports,100,96,96.00,83,86.46,437.43
25,KXEREDIVISIEGAME,Eredivisie Game,Sports,67,51,76.12,44,86.27,54.86
26,KXSOL15M,Solana 15 minutes,Crypto,100,51,51.00,44,86.27,6.71
27,KXLOLGAME,League of Legends Game,Sports,100,100,100.00,86,86.00,192.84
28,KXAHLGAME,AHL Game,Sports,100,99,99.00,85,85.86,380.52
29,KXINXZ,S&P 500 up,Financials,100,54,54.00,46,85.19,325.41
30,KXVALORANTMAP,Valorant Map Winner,Sports,61,60,98.36,51,85.00,36.90
31,KXNBLGAME,NBL Basketball Game,Sports,81,80,98.77,68,85.00,195.13
32,KXEUROCUPGAME,Eurocup Basketball Game,Sports,86,86,100.00,73,84.88,164.87
33,KXFOMEN,French Open Men's,Sports,100,99,99.00,82,82.83,736.65
34,KXLOLTOTALMAPS,League of Legends Total Maps,Sports,100,57,57.00,47,82.46,162.46
35,KXARGLNBGAME,Liga Nacional de Basquetbol Game,Sports,60,51,85.00,42,82.35,147.05
36,KXKHLGAME,KHL Game,Sports,100,100,100.00,81,81.00,268.55
37,KXDOTA2GAME,Dota 2 Game,Sports,100,100,100.00,80,80.00,160.48
38,KXDARTSMATCH,Darts Match,Sports,100,84,84.00,67,79.76,230.76
39,KXJBLEAGUEGAME,Japan B League Game,Sports,83,83,100.00,66,79.52,272.11
40,KXATPSETWINNER,ATP Set Winner,Sports,100,92,92.00,71,77.17,245.29
41,KXCRICKETT20IMATCH,Cricket T20I Match,Sports,68,61,89.71,47,77.05,709.00
42,KXRAINNYC,NYC rain,Climate and Weather,100,56,56.00,43,76.79,1287.83
43,KXCODGAME,Call of Duty Games,Sports,55,55,100.00,42,76.36,854.25
44,KXR6GAME,R6 Game,Sports,97,96,98.97,73,76.04,318.30
45,KXVALORANTGAME,Valorant game winner,Sports,100,100,100.00,75,75.00,658.84
46,KXALEAGUEGAME,Australian A League Game,Sports,67,51,76.12,38,74.51,39.79
47,KXLOLMAP,League of Legends Map Winner,Sports,100,100,100.00,74,74.00,31.33
48,KXUCLTOTAL,Champions League Total Goals,Sports,67,57,85.07,42,73.68,66.27
49,KXXRP15M,XRP 15 Minute,Crypto,81,50,61.73,34,68.00,6.91
50,KXATPTOTALSETS,ATP Total Sets,Sports,82,60,73.17,38,63.33,1400.79
